Entity,Year,Iron and steel production (Correlates of War: National Material Capabilities (v4.0)),"Military expenditure (1816-1913, current prices) (Correlates of War: National Material Capabilities (v4.0))","Military expenditure (1914-2007, current prices) (Correlates of War: National Material Capabilities (v4.0))",Military personnel (Correlates of War: National Material Capabilities (v4.0))
Argentina,1927,,,50322,37
Argentina,1928,,,48982,37
Argentina,1929,,,46838,38
Argentina,1930,,,60441,38
Argentina,1931,,,44626,42
Argentina,1932,,,35302,43
Argentina,1933,,,43024,43
Argentina,1934,,,38557,44
Argentina,1935,,,45183,44
Argentina,1936,,,58311,44
Argentina,1937,,,82099,57
Argentina,1938,,,41860,59
Argentina,1939,18,,58984,61
Argentina,1940,24,,69908,
Argentina,1941,45,,77783,
Argentina,1942,53,,98297,
Argentina,1943,73,,58374,
Argentina,1944,150,,223944,
Argentina,1945,141,,299824,
Argentina,1946,133,,255555,62
Argentina,1947,125,,282293,62
Argentina,1948,122,,299976,62
Argentina,1949,125,,489598,62
Argentina,1950,130,,320525,62
Argentina,1951,132,,326267,62
Argentina,1952,126,,442667,62
Argentina,1953,174,,503333,71
Argentina,1954,186,,566133,71
Argentina,1955,218,,411867,148
Argentina,1956,202,,301111,148
Argentina,1957,221,,395278,147
Argentina,1958,244,,265703,145
Argentina,1959,214,,252657,145
Argentina,1960,277,,288613,130
Argentina,1961,442,,330919,127
Argentina,1962,644,,404818,129
Argentina,1963,913,,299687,155
Argentina,1964,1267,,340815,155
Argentina,1965,1371,,428781,155
Argentina,1966,1286,,510499,160
Argentina,1967,1348,,341560,160
Argentina,1968,1579,,307000,160
Argentina,1969,1720,,434631,160
Argentina,1970,1859,,514286,140
Argentina,1971,1743,,478261,140
Argentina,1972,1929,,426829,140
Argentina,1973,1995,,468085,160
Argentina,1974,2196,,719101,150
Argentina,1975,2043,,628415,160
Argentina,1976,2244,,571428,155
Argentina,1977,2671,,1020608,155
Argentina,1978,2651,,1491581,155
Argentina,1979,3090,,2641609,155
Argentina,1980,2556,,3060636,155
Argentina,1981,2389,,3573110,155
Argentina,1982,2752,,4147000,175
Argentina,1983,2828,,2337872,175
Argentina,1984,2508,,2282003,174
Argentina,1985,2775,,1889000,129
Argentina,1986,3116,,1150000,104
Argentina,1987,3463,,1220000,118
Argentina,1988,3527,,1240000,95
Argentina,1989,3909,,790800,95
Argentina,1990,3636,,770980,85
Argentina,1991,2991,,2720000,70
Argentina,1992,2700,,2600000,65
Argentina,1993,2886,,2700000,65
Argentina,1994,3289,,3738000,69
Argentina,1995,3581,,3879000,65
Argentina,1996,4075,,4644000,65
Argentina,1997,4169,,4972000,65
Argentina,1998,4216,,5365000,73
Argentina,1999,3799,,5418000,73
Argentina,2000,4474,,4776000,71
Argentina,2001,4107,,4408000,70
Argentina,2002,4356,,1466000,69
Argentina,2003,5044,,1507000,71
Argentina,2004,5133,,1629000,71
Argentina,2005,5380,,1780000,71
Argentina,2006,5533,,1873000,71
Argentina,2007,5387,,2093000,72
Armenia,1991,,,147000,
Armenia,1992,,,75000,20
Armenia,1993,,,151000,21
Armenia,1994,,,,45
Armenia,1995,,,79000,60
Armenia,1996,,,125000,60
Armenia,1997,,,138000,60
Armenia,1998,,,151000,50
Armenia,1999,,,159000,50
Armenia,2000,,,690000,41
Armenia,2001,,,637000,42
Armenia,2002,,,700000,44
Armenia,2003,,,700000,45
Armenia,2004,,,98000,46
Armenia,2005,,,125000,48
Armenia,2006,,,184000,48
Armenia,2007,,,296000,44
Australia,1920,263,,12895,6
Australia,1921,286,,11043,6
Australia,1922,72,,30710,6
Australia,1923,278,,21105,7
Australia,1924,365,,24302,7
Australia,1925,405,,25002,7
Australia,1926,380,,26229,8
Australia,1927,417,,40456,8
Australia,1928,412,,23934,8
Australia,1929,440,,22678,7
Australia,1930,320,,17246,7
Australia,1931,232,,10815,6
Australia,1932,225,,8534,6
Australia,1933,399,,9726,6
Australia,1934,526,,12679,8
Australia,1935,708,,15624,8
Australia,1936,833,,29867,8
Australia,1937,1106,,36568,8
Australia,1938,1199,,55092,8
Australia,1939,1202,,67076,8
Australia,1940,1326,,179418,82
Australia,1941,1700,,550072,400
Australia,1942,1793,,1032686,
Australia,1943,1720,,1811765,680
Australia,1944,1613,,1755318,680
Australia,1945,1413,,1484291,596
Australia,1946,1104,,1032619,103
Australia,1947,1360,,397825,82
Australia,1948,1401,,237440,61
Australia,1949,1227,,182751,41
Australia,1950,1275,,169340,38
Australia,1951,1497,,295232,33
Australia,1952,1577,,407711,32
Australia,1953,1859,,417039,57
Australia,1954,2179,,382379,54
Australia,1955,2276,,401241,52
Australia,1956,2390,,414808,52
Australia,1957,2849,,392374,48
Australia,1958,3122,,393208,46
Australia,1959,3293,,407003,48
Australia,1960,3620,,418895,47
Australia,1961,3856,,436189,46
Australia,1962,4190,,456385,49
Australia,1963,4334,,480812,49
Australia,1964,4841,,549866,53
Australia,1965,5213,,698889,53
Australia,1966,5650,,871263,59
Australia,1967,6212,,1014541,72
Australia,1968,6388,,1114710,80
Australia,1969,6531,,1139156,82
Australia,1970,6874,,1185192,86
Australia,1971,6800,,1204491,86
Australia,1972,6628,,1317515,86
Australia,1973,7209,,1772656,71
Australia,1974,7504,,2241752,68
Australia,1975,7856,,2422694,70
Australia,1976,7937,,2751572,71
Australia,1977,7473,,2621716,70
Australia,1978,7532,,2902930,70
Australia,1979,7541,,3101174,70
Australia,1980,7895,,3605227,71
Australia,1981,7954,,4061221,72
Australia,1982,7260,,4032104,73
Australia,1983,5392,,5460087,73
Australia,1984,4639,,4493023,71
Australia,1985,6301,,4670000,70
Australia,1986,6826,,4780000,71
Australia,1987,6188,,5400000,70
Australia,1988,6093,,6320000,71
Australia,1989,6651,,6170000,70
Australia,1990,6676,,7270000,68
Australia,1991,6140,,7570000,68
Australia,1992,6802,,7200000,68
Australia,1993,7853,,7300000,68
Australia,1994,8424,,7300000,65
Australia,1995,8460,,8399000,65
Australia,1996,8415,,8755000,65
Australia,1997,8831,,8625000,65
Australia,1998,8941,,7682000,65
Australia,1999,8172,,7775000,55
Australia,2000,7129,,7384000,51
Australia,2001,7033,,6752000,51
Australia,2002,7527,,9299000,51
Australia,2003,7544,,11529000,54
Australia,2004,7414,,13907000,53
Australia,2005,7757,,15550000,52
Australia,2006,7881,,17208000,53
Australia,2007,7939,,20216000,52
Austria,1919,102,,,29
Austria,1920,198,,5649,29
Austria,1921,297,,5649,29
Austria,1922,481,,18198,29
Austria,1923,500,,8720,29
Austria,1924,370,,8992,30
Austria,1925,464,,9723,30
Austria,1926,474,,10136,22
Austria,1927,551,,11954,20
Austria,1928,636,,13860,20
Austria,1929,632,,14029,21
Austria,1930,468,,15242,21
Austria,1931,323,,14283,21
Austria,1932,205,,11340,21
Austria,1933,226,,12054,21
Austria,1934,309,,19646,21
Austria,1935,364,,21808,25
Austria,1936,418,,23763,26
Austria,1937,650,,39383,42
Austria,1938,673,,41523,58
Austria,1955,1823,,7209,15
Austria,1956,2078,,38500,19
Austria,1957,2509,,65923,23
Austria,1958,2393,,76385,27
Austria,1959,2512,,76500,31
Austria,1960,3163,,72724,35
Austria,1961,3101,,72581,38
Austria,1962,2970,,80247,38
Austria,1963,2947,,100851,75
Austria,1964,3194,,131736,55
Austria,1965,3221,,114302,55
Austria,1966,3193,,134183,55
Austria,1967,3023,,141297,60
Austria,1968,3467,,145865,55
Austria,1969,3926,,154791,55
Austria,1970,4079,,164722,55
Austria,1971,3960,,172276,60
Austria,1972,4070,,211984,60
Austria,1973,4238,,271910,60
Austria,1974,4699,,351210,60
Austria,1975,4068,,456221,50
Austria,1976,4377,,499028,40
Austria,1977,4093,,575724,37
Austria,1978,4335,,741427,40
Austria,1979,4917,,863330,40
Austria,1980,4624,,947596,40
Austria,1981,4656,,700215,40
Austria,1982,4258,,829546,40
Austria,1983,4411,,937463,50
Austria,1984,4870,,792584,40
Austria,1985,4660,,863940,40
Austria,1986,4292,,1230000,39
Austria,1987,4301,,1446000,70
Austria,1988,4560,,1430000,55
Austria,1989,5004,,1410000,48
Austria,1990,4548,,1540000,43
Austria,1991,4404,,1680000,44
Austria,1992,3936,,1660000,52
Austria,1993,4152,,1730000,52
Austria,1994,4399,,1600000,45
Austria,1995,4990,,2129000,45
Austria,1996,4442,,2098000,45
Austria,1997,5181,,1786000,48
Austria,1998,5282,,1796000,60
Austria,1999,5202,,1696000,49
Austria,2000,5707,,1612000,40
Austria,2001,5869,,1417000,35
Austria,2002,6189,,1532000,35
Austria,2003,6261,,1958000,35
Austria,2004,6530,,2250000,37
Austria,2005,7031,,2263000,39
Austria,2006,7129,,2630000,40
Austria,2007,7578,,3603000,40
Austria-Hungary,1816,60,,,222
Austria-Hungary,1817,70,6815,,202
Austria-Hungary,1818,70,5948,,182
Austria-Hungary,1819,70,5525,,242
Austria-Hungary,1820,70,6175,,258
Austria-Hungary,1821,72,7864,,273
Austria-Hungary,1822,72,7066,,273
Austria-Hungary,1823,72,6136,,272
Austria-Hungary,1824,72,5805,,273
Austria-Hungary,1825,72,5087,,273
Austria-Hungary,1826,87,4635,,273
Austria-Hungary,1827,87,4722,,273
Austria-Hungary,1828,87,4932,,273
Austria-Hungary,1829,87,5253,,273
Austria-Hungary,1830,87,4567,,273
Austria-Hungary,1831,99,7634,,273
Austria-Hungary,1832,99,7231,,252
Austria-Hungary,1833,99,6829,,253
Austria-Hungary,1834,99,6963,,271
Austria-Hungary,1835,99,6827,,256
Austria-Hungary,1836,124,5646,,281
Austria-Hungary,1837,124,5136,,306
Austria-Hungary,1838,124,5326,,332
Austria-Hungary,1839,124,5501,,357
Austria-Hungary,1840,124,5574,,267
Austria-Hungary,1841,137,5877,,331
Austria-Hungary,1842,142,5399,,396
Austria-Hungary,1843,143,5405,,462
Austria-Hungary,1844,158,5398,,393
Austria-Hungary,1845,166,5272,,319
Austria-Hungary,1846,181,5882,,318
Austria-Hungary,1847,196,6278,,317
Austria-Hungary,1848,158,7074,,409
Austria-Hungary,1849,141,15472,,408
Austria-Hungary,1850,155,11210,,434
Austria-Hungary,1851,197,10118,,461
Austria-Hungary,1852,209,9491,,487
Austria-Hungary,1853,241,10937,,514
Austria-Hungary,1854,255,17799,,540
Austria-Hungary,1855,276,17078,,427
Austria-Hungary,1856,300,11198,,427
Austria-Hungary,1857,331,11607,,427
Austria-Hungary,1858,373,12835,,403
Austria-Hungary,1859,318,22828,,355
Austria-Hungary,1860,313,10621,,306
Austria-Hungary,1861,315,6962,,254
Austria-Hungary,1862,348,9707,,255
Austria-Hungary,1863,345,10257,,278
Austria-Hungary,1864,375,10644,,298
Austria-Hungary,1865,292,9121,,300
Austria-Hungary,1866,275,22756,,275
Austria-Hungary,1867,310,8267,,268
Austria-Hungary,1868,395,7663,,256
Austria-Hungary,1869,405,8222,,252
Austria-Hungary,1870,403,8949,,252
Austria-Hungary,1871,425,9326,,260
Austria-Hungary,1872,460,9130,,264
Austria-Hungary,1873,534,9762,,292
Austria-Hungary,1874,494,9818,,285
Austria-Hungary,1875,463,9723,,303
Austria-Hungary,1876,400,10838,,278
Austria-Hungary,1877,388,9838,,278
Austria-Hungary,1878,434,14821,,278
Austria-Hungary,1879,404,14045,,277
Austria-Hungary,1880,464,10314,,273
Austria-Hungary,1881,544,10460,,273
Austria-Hungary,1882,611,12668,,279
Austria-Hungary,1883,698,10807,,297
Austria-Hungary,1884,735,11097,,279
Austria-Hungary,1885,715,10426,,295
Austria-Hungary,1886,720,10227,,297
Austria-Hungary,1887,705,13574,,295
Austria-Hungary,1888,790,13484,,280
Austria-Hungary,1889,856,12947,,275
Austria-Hungary,1890,965,12801,,332
Austria-Hungary,1891,922,13455,,315
Austria-Hungary,1892,941,13116,,324
Austria-Hungary,1893,982,13477,,333
Austria-Hungary,1894,1072,13319,,307
Austria-Hungary,1895,1128,13719,,312
Austria-Hungary,1896,1218,14144,,305
Austria-Hungary,1897,1308,16042,,305
Austria-Hungary,1898,1427,16755,,312
Austria-Hungary,1899,1467,16462,,308
Austria-Hungary,1900,1170,16242,,308
Austria-Hungary,1901,1099,16948,,309
Austria-Hungary,1902,1167,17147,,309
Austria-Hungary,1903,1162,17630,,311
Austria-Hungary,1904,1257,19241,,312
Austria-Hungary,1905,1459,20591,,313
Austria-Hungary,1906,1608,20252,,314
Austria-Hungary,1907,1731,20297,,316
Austria-Hungary,1908,2018,22296,,314
Austria-Hungary,1909,1963,26217,,317
Austria-Hungary,1910,2174,23208,,315
Austria-Hungary,1911,2348,22227,,300
Austria-Hungary,1912,2708,27376,,322
Austria-Hungary,1913,2611,37513,,358
Austria-Hungary,1914,2162,,1042000,839
Austria-Hungary,1915,2667,,2013000,3800
Austria-Hungary,1916,2781,,2445000,839
Austria-Hungary,1917,2896,,2862000,839
Austria-Hungary,1918,,,2133000,839
Azerbaijan,1991,384,,302500,
Azerbaijan,1992,385,,189860,43
Azerbaijan,1993,236,,128000,45
Azerbaijan,1994,40,,132000,50
Azerbaijan,1995,20,,107000,78
Azerbaijan,1996,20,,133000,80
Azerbaijan,1997,25,,146000,75
Azerbaijan,1998,8,,197000,70
Azerbaijan,1999,8,,203000,75
Azerbaijan,2000,8,,830000,72
Azerbaijan,2001,8,,833000,72
Azerbaijan,2002,,,900000,72
Azerbaijan,2003,,,950000,66
Azerbaijan,2004,,,245000,66
Azerbaijan,2005,,,314000,66
Azerbaijan,2006,300,,658000,67
Azerbaijan,2007,150,,936000,67
Baden,1816,,,,10
Baden,1817,,,,10
Baden,1818,,,,10
Baden,1819,,,,10
Baden,1820,,,,10
Baden,1821,,,,10
Baden,1822,,,,10
Baden,1823,,,,10
Baden,1824,,,,11
Baden,1825,,,,11
Baden,1826,,,,12
Baden,1827,,,,12
Baden,1828,,,,12
Baden,1829,,,,12
Baden,1830,,,,12
Baden,1831,,,,11
Baden,1832,,,,11
Baden,1833,,,,11
Baden,1834,,,,11
Baden,1835,10,,,11
Baden,1836,10,,,11
Baden,1837,,,,11
Baden,1838,,,,10
Baden,1839,10,,,10
Baden,1840,10,,,10
Baden,1841,,,,9
Baden,1842,,,,8
Baden,1843,10,86,,8
Baden,1844,10,87,,7
Baden,1845,10,86,,6
Baden,1846,10,87,,6
Baden,1847,10,87,,5
Baden,1848,10,288,,7
Baden,1849,10,283,,9
Baden,1850,10,175,,10
Baden,1851,10,179,,13
Baden,1852,10,172,,15
Baden,1853,10,171,,15
Baden,1854,10,176,,15
Baden,1855,10,176,,15
Baden,1856,10,204,,15
Baden,1857,10,204,,15
Baden,1858,10,215,,8
Baden,1859,10,221,,8
Baden,1860,10,234,,8
Baden,1861,10,243,,8
Baden,1862,10,242,,8
Baden,1863,10,245,,8
Baden,1864,10,249,,8
Baden,1865,10,250,,8
Baden,1866,10,256,,8
Baden,1867,10,255,,8
Baden,1868,10,385,,15
Baden,1869,10,414,,15
Baden,1870,10,795,,14
Baden,1871,10,,,
Bahamas,1976,,,5500,
Bahamas,1977,,,4800,
Bahamas,1978,,,4900,
Bahamas,1979,,,2700,
Bahamas,1980,,,5000,
Bahamas,1981,,,6600,
Bahamas,1982,,,9000,
Bahamas,1983,,,8000,
Bahamas,1984,,,8600,
Bahamas,1985,,,9600,1
Bahamas,1986,,,11100,
Bahamas,1987,,,14337,
Bahamas,1988,,,77700,
Bahamas,1989,,,66500,2
Bahamas,1990,,,65700,1
Bahamas,1991,,,48000,
Bahamas,1992,,,17800,1
Bahamas,1993,,,,1
Bahamas,1994,,,20000,
Bahamas,1995,,,19000,
Bahamas,1996,,,22000,
Bahamas,1997,,,22000,
Bahamas,1998,,,26000,
Bahamas,1999,,,26000,1
Bahamas,2000,,,30000,1
Bahamas,2001,,,29000,1
Bahamas,2002,,,28000,1
Bahamas,2003,,,33000,1
Bahamas,2004,,,34000,1
Bahamas,2005,,,36000,1
Bahamas,2006,,,48000,1
Bahamas,2007,,,58000,1
Bahrain,1971,,,8847,1
Bahrain,1972,,,11172,3
Bahrain,1973,,,14525,3
Bahrain,1974,,,23562,2
Bahrain,1975,,,14665,2
Bahrain,1976,,,23508,2
Bahrain,1977,,,36138,2
Bahrain,1978,,,50593,2
Bahrain,1979,,,57667,2
Bahrain,1980,,,157809,2
Bahrain,1981,,,215604,2
Bahrain,1982,,,281023,2
Bahrain,1983,,,332550,2
Bahrain,1984,,,319082,3
Bahrain,1985,,,151000,3
Bahrain,1986,,,134840,4
Bahrain,1987,,,143365,4
Bahrain,1988,,,164894,5
Bahrain,1989,,,183560,5
Bahrain,1990,,,201920,8
Bahrain,1991,,,237000,8
Bahrain,1992,,,252000,7
Bahrain,1993,,,245000,7
