Entity,Year,IIASA rates of no education projections (IIASA (2015)),Total number of people aged 15+ with no education (millions) (IIASA (2015)),"No education, 1970-2050 (IIASA (2015))","Primary education, 1970-2050 (IIASA (2015))","Secondary education, 1970-2050 (IIASA (2015))","Tertiary education, 1970-2050 (IIASA (2015))","Aged 0-14, 1970-2050 (IIASA (2015))","Tertiary education for those aged 15+ (proportion), 1970-2050 (IIASA (2015))"
Argentina,2050,0.003729542,,157589.914,7425780.716,24342408.98,10328716.28,8665680,24.44406461
Armenia,1970,0.02013421,,30840.77806,446007.186,919185.138,135726.8979,986640,8.86084621
Armenia,1975,0.014189627,,26326.58233,424751.2919,1227147.905,177114.2203,970350,9.546186699
Armenia,1980,0.010302364,,22199.74058,389619.864,1513944.678,229055.7177,941490,10.62992351
Armenia,1985,0.007961606,,18569.64892,338756.1647,1687298.752,287775.434,1006760,12.33816815
Armenia,1990,0.006059944,,14956.91133,284589.5699,1818866.07,349747.4486,1076540,14.1703718
Armenia,1995,0.004990827,,11354.1804,222499.7812,1682155.523,359000.5154,950490,15.78017307
Armenia,2000,0.004021982,,9186.246825,179597.8334,1708796.358,386429.5622,795500,16.9189085
Armenia,2005,0.003109631,,7429.144077,144137.8675,1810538.899,426969.6212,671970,17.87175062
Armenia,2010,0.002401548,,5890.699793,110470.3243,1853145.318,483370.1447,623840,19.70625702
Armenia,2015,0.001894283,,4648.378354,79792.82659,1826399.77,543058.2133,620820,22.13042068
Armenia,2020,0.001520052,,3687.108939,57915.9252,1777092.302,586951.7539,594840,24.19773908
Armenia,2025,0.001228926,,2965.931753,42960.04042,1753199.653,614308.1862,537970,25.45369934
Armenia,2030,0.001012352,,2431.953689,31890.11541,1726790.909,641166.7708,504160,26.68992947
Armenia,2035,0.000852199,,2020.739157,25744.92163,1670174.712,673264.6897,479310,28.39335578
Armenia,2040,0.000727514,,1677.821452,21211.99981,1579525.554,703824.5541,463810,30.51827111
Armenia,2045,0.000620068,,1372.018186,17553.52772,1468609.244,725153.7144,448060,32.77251692
Armenia,2050,0.000518293,,1092.674943,14397.51365,1357219.365,735508.8509,428760,34.88769709
Aruba,1970,,,,,,,22040,
Aruba,1975,,,,,,,19160,
Aruba,1980,,,,,,,15930,
Aruba,1985,,,,,,,15450,
Aruba,1990,,,,,,,15260,
Aruba,1995,,,,,,,18810,
Aruba,2000,,,,,,,20980,
Aruba,2005,,,,,,,21760,
Aruba,2010,,,,,,,20610,
Aruba,2015,,,,,,,19120,
Aruba,2020,,,,,,,19250,
Aruba,2025,,,,,,,19990,
Aruba,2030,,,,,,,20940,
Aruba,2035,,,,,,,20980,
Aruba,2040,,,,,,,20400,
Aruba,2045,,,,,,,19650,
Aruba,2050,,,,,,,19360,
Asia,1970,,543.0627898,,,,,,
Asia,1975,,542.216741,,,,,,
Asia,1980,,551.1921929,,,,,,
Asia,1985,,555.890135,,,,,,
Asia,1990,,555.7083876,,,,,,
Asia,1995,,545.3016543,,,,,,
Asia,2000,,531.9538142,,,,,,
Asia,2005,,516.4350823,,,,,,
Asia,2010,,496.2043581,,,,,,
Asia,2015,,471.9026993,,,,,,
Asia,2020,,444.6036777,,,,,,
Asia,2025,,415.5046212,,,,,,
Asia,2030,,384.8388952,,,,,,
Asia,2035,,352.4441054,,,,,,
Asia,2040,,318.4865588,,,,,,
Asia,2045,,283.54146,,,,,,
Asia,2050,,248.4860704,,,,,,
Australia,1970,,,435840.0716,3871958.543,4222067.297,527644.0892,3670860,5.825487239
Australia,1975,,,336031.178,3553332.31,5180408.575,796327.9367,3812570,8.071354808
Australia,1980,,,270634.0433,3293779.4,6225350.56,1146525.997,3716500,10.4836832
Australia,1985,,,207403.2823,2946036.654,7256373.27,1562196.794,3724500,13.04874281
Australia,1990,,,165193.0333,2609611.316,8296160.474,2107235.177,3765570,15.9903111
Australia,1995,,,126186.9424,2245654.981,9165050.163,2646767.913,3888900,18.66068358
Australia,2000,,,93674.07482,1868347.047,9985521.336,3232951.095,3966700,21.29674561
Australia,2005,,,68402.60919,1533345.281,11019045.31,3723438.507,4028190,22.78136149
Australia,2010,,,48684.60915,1190386.177,11926926.49,4258894.688,4228190,24.441441
Australia,2015,,,33919.627,876033.868,12656082.58,4821489,4432590,26.22152236
Australia,2020,,,23252.9352,612339.9306,13245076.13,5387991.377,4746510,27.96245962
Australia,2025,,,15718.49976,410842.0158,13717286.96,5941994.091,4980830,29.58299791
Australia,2030,,,10415.45755,265752.852,14070000.02,6489321.652,5159550,31.14551978
Australia,2035,,,6656.269082,165474.9423,14313318.15,7030989.298,5236750,32.67729111
Australia,2040,,,3993.181079,98005.6108,14447121.48,7573052.246,5296480,34.23285954
Australia,2045,,,2163.096225,53632.67356,14465699.38,8120987.759,5412470,35.86615387
Australia,2050,,,1008.061671,26109.70318,14383246.12,8675236.871,5580950,37.57856234
Austria,1970,7.57E-7,,4.277639,323602.3622,4980947.284,343276.0762,1824030,6.078017153
Austria,1975,3.48E-7,,2.022587,350655.3322,5092880.199,374652.4457,1763010,6.439329855
Austria,1980,1.42E-7,,0.8514,376000.8939,5216822.988,415245.2664,1545550,6.911458528
Austria,1985,4.36E-8,,0.269793,367916.5426,5349571.176,475062.0119,1383510,7.671508698
Austria,1990,9.95E-9,,0.0635,335261.3673,5488758.744,558189.8253,1339990,8.746027243
Austria,1995,5.73E-10,,0.0038,317621.8148,5653669.585,663618.5965,1403780,10.00192311
Austria,2000,0.006170687,,0,320881.7184,5693285.554,744532.7273,1357490,11.01591619
Austria,2005,0.004185122,,0,369876.7029,5789146.879,824599.4401,1315400,11.80761673
Austria,2010,0.002793969,,0,418680.3066,5871228.291,911535.579,1235950,12.6576775
Austria,2015,0.001844709,,0,404719.3743,5907196.613,1000042.005,1198030,13.67680184
Austria,2020,0.001206775,,0,393444.7801,5892508.508,1092717.054,1186800,14.80913231
Austria,2025,0.000782566,,0,383115.1313,5849721.242,1181625.958,1192370,15.93677201
Austria,2030,0.00049989,,0,370798.7435,5785158.568,1266412.561,1187270,17.06210526
Austria,2035,0.000309357,,0,383986.8573,5673244.096,1349423.702,1162460,18.21907143
Austria,2040,0.000180506,,0,392144.4701,5534294.983,1432725.04,1132210,19.4685829
Austria,2045,9.55E-5,,0,394645.1092,5365178.405,1517994.328,1113300,20.85782251
Austria,2050,4.37E-5,,0,391268.6997,5165736.73,1604555.566,1113870,22.40510927
Bahamas,1970,0.030267482,,2897.808772,24969.89387,60558.67158,7313.62578,71390,7.639049279
Bahamas,1975,0.027656406,,3071.243879,23592.76677,74776.31683,9609.672517,76220,8.653464671
Bahamas,1980,0.024146183,,3126.447827,21724.0254,92357.04649,12272.48028,77860,9.478282576
Bahamas,1985,0.021047577,,3167.870885,20543.4047,110544.5392,16254.1852,82100,10.79940549
Bahamas,1990,0.018286184,,3148.880856,19249.83009,128539.7252,21261.56391,83150,12.34701737
Bahamas,1995,0.015894159,,3059.625608,17953.74874,143608.1093,27878.51637,87780,14.48234617
Bahamas,2000,0.013358694,,2858.092673,16541.02706,158037.8089,36513.07136,87170,17.0661703
Bahamas,2005,0.012325334,,2886.995398,16087.38991,171923.1456,43335.0961,82190,18.50087951
Bahamas,2010,0.010980834,,2825.787816,15335.84357,188673.6533,50502.9021,77220,19.62510995
Bahamas,2015,0.009551853,,2670.177608,14544.19998,203378.2231,58952.91432,75010,21.08884284
Bahamas,2020,0.008195879,,2438.574994,13596.17795,213654.6844,67847.26952,77360,22.80299135
Bahamas,2025,0.006849742,,2154.175874,12496.69807,223198.1725,76641.02509,77560,24.36993471
Bahamas,2030,0.005552775,,1833.521798,11352.02598,231328.1964,85685.41676,77590,25.94961675
Bahamas,2035,0.004376047,,1506.49599,10198.95773,237512.0129,95042.10922,76800,27.60768788
Bahamas,2040,0.003319779,,1179.115319,8988.480265,240667.378,104343.8985,75590,29.377845
Bahamas,2045,0.002396787,,872.273496,7796.375573,241577.9139,113688.006,74240,31.23858399
Bahamas,2050,0.001626754,,603.517048,6655.860261,240565.7497,123169.4964,73650,33.19980631
Bahrain,1970,0.516718583,,61298.32555,25831.2792,28226.75712,3273.638136,94230,2.759536488
Bahrain,1975,0.384264341,,59564.81556,36093.27791,53748.74458,5603.161946,104370,3.614709984
Bahrain,1980,0.286440032,,64950.2772,54849.64302,92957.12123,13992.95855,123330,6.171095281
Bahrain,1985,0.226162726,,63992.74344,67316.37248,128608.928,23031.95603,139460,8.139938516
Bahrain,1990,0.163513566,,55243.0584,73110.83975,180829.9154,28666.18641,160780,8.484885721
Bahrain,1995,0.121754809,,48946.65096,78955.96812,237094.8127,37012.56822,168260,9.206877496
Bahrain,2000,0.091551098,,42844.99813,82699.86925,294220.1831,48224.9495,179310,10.30469657
Bahrain,2005,0.072470465,,38737.75844,93562.92133,341475.2624,60755.72104,198190,11.36615943
Bahrain,2010,0.055713757,,33600.50784,104547.1488,390953.7795,73990.32615,252800,12.2685022
Bahrain,2015,0.042728857,,28494.29022,111726.4836,437790.2052,88851.94135,315850,13.32386892
Bahrain,2020,0.032436953,,23690.49997,117603.8056,483490.922,105570.06,365400,14.45461706
Bahrain,2025,0.024331208,,19185.41312,121191.5137,525124.4206,123009.1684,388200,15.60019378
Bahrain,2030,0.01800539,,15131.15171,122666.4727,561061.6215,141508.6729,384900,16.83889517
Bahrain,2035,0.013084423,,11576.7871,124291.3796,588605.7864,160302.3477,387140,18.11783922
Bahrain,2040,0.009238878,,8518.182082,124039.1587,610172.3305,179263.5111,404370,19.44304085
Bahrain,2045,0.006257046,,5972.640839,122345.5369,627764.2138,198464.0048,429680,20.79144666
Bahrain,2050,0.004020321,,3948.628402,119474.3917,640388.2342,218356.1556,451120,22.23207097
Bangladesh,1970,0.643926533,,24779542.22,7895951.711,5168176.787,638269.2865,29909530,1.658620346
Bangladesh,1975,0.609529577,,26840031.51,9381428.545,6837877.471,974672.4759,32330740,2.213453819
Bangladesh,1980,0.579074567,,29373760.11,11277668.69,8551939.783,1521981.424,36274050,3.00043553
Bangladesh,1985,0.548752768,,32064705.3,13496948.96,10641576.22,2228739.518,40512010,3.814246752
Bangladesh,1990,0.512244593,,34316592.03,15785271.69,13617181.9,3273544.382,44766350,4.886427562
Bangladesh,1995,0.459616663,,35085619.31,18279159.14,18229349.55,4742572.001,47293290,6.212702411
Bangladesh,2000,0.403400985,,35298046.05,21343014.52,23364290.75,7495788.699,48333640,8.566504045
Bangladesh,2005,0.354870537,,35257759.62,24962150.74,29110291.16,10023663.93,48185640,10.08885149
Bangladesh,2010,0.311330398,,34835075.53,27998832.56,36071181.09,12985930.02,46543700,11.60587339
Bangladesh,2015,0.273454255,,33926112.02,30548054.31,43172167.63,16418702.21,44857920,13.23394787
Bangladesh,2020,0.238504293,,32650731.76,32813434.14,51302561.66,20131151.26,43376580,14.70523242
Bangladesh,2025,0.207503315,,30936737.2,34518147.75,59222481.15,24412961.58,42812530,16.37461125
Bangladesh,2030,0.179092524,,28854959.52,35750863.03,67537875.26,28973912.52,41429560,17.98308233
Bangladesh,2035,0.153161075,,26432672.59,36484945.5,75669056.6,33994201.46,39468650,19.69754831
Bangladesh,2040,0.129639972,,23752797.88,36646464.14,83420004.31,39401984.23,37357270,21.50513879
Bangladesh,2045,0.108512217,,20925882.55,36234354.38,90556009.37,45127316.44,35418740,23.40099706
Bangladesh,2050,0.089732114,,18060150.3,35261234.24,96860998.16,51085028.76,33608060,25.38166929
Barbados,1970,,,,,,,88500,
Barbados,1975,,,,,,,77260,
Barbados,1980,,,,,,,73130,
Barbados,1985,,,,,,,67760,
Barbados,1990,,,,,,,62190,
Barbados,1995,,,,,,,60330,
Barbados,2000,,,,,,,58520,
Barbados,2005,,,,,,,53090,
Barbados,2010,,,,,,,47530,
Barbados,2015,,,,,,,42620,
Barbados,2020,,,,,,,41280,
Barbados,2025,,,,,,,39270,
Barbados,2030,,,,,,,37660,
Barbados,2035,,,,,,,35880,
Barbados,2040,,,,,,,34040,
Barbados,2045,,,,,,,32260,
Barbados,2050,,,,,,,30700,
Belgium,1970,1.18E-6,,8.671566,4258259.689,2588893.404,518138.2354,2255270,7.034855816
Belgium,1975,6.86E-7,,5.209559,3911643.076,3021446.17,664785.545,2192610,8.749618907
Belgium,1980,3.46E-7,,2.713005,3554062.487,3444734.135,843230.6647,2020600,10.75270899
Belgium,1985,1.63E-7,,1.293527,3142579.928,3768617.39,1040451.388,1895990,13.08472315
Belgium,1990,6.43E-8,,0.522996,2800242.081,4058069.971,1281277.426,1800790,15.74130179
Belgium,1995,9.23E-9,,0.0764,2462240.843,4274586.434,1546612.647,1776990,18.67113961
Belgium,2000,1.05E-9,,0.0088,2143864.581,4444558.708,1824069.47,1739310,21.68286524
Belgium,2005,,,0,1900634.255,4659182.291,2066645.622,1759500,23.9570473
Belgium,2010,,,0,1671212.654,4824225.23,2311271.035,1806750,26.24443542
Belgium,2015,,,0,1427516.451,4943147.963,2560133.122,1845950,28.66634376
Belgium,2020,,,0,1210570.775,5006109.527,2805993.786,1873680,31.09935878
Belgium,2025,,,0,1023640.564,5057497.191,3039628.244,1883330,33.32645794
Belgium,2030,,,0,860257.1349,5065162.733,3269438.595,1902270,35.55724765
Belgium,2035,,,0,745702.2164,5000587.039,3496423.782,1918870,37.82897693
Belgium,2040,,,0,647913.6052,4900786.289,3711002.682,1938410,40.07691016
Belgium,2045,,,0,564393.5352,4772380.891,3912202.782,1962330,42.29876119
Belgium,2050,,,0,492464.9528,4622991.844,4100832.914,1987720,44.49548617
Belize,1970,0.224446518,,14557.60114,41289.77207,7361.218573,1651.408226,57700,2.546111973
Belize,1975,0.187639049,,13282.96827,45755.59819,9680.424088,2071.009445,63070,2.925567799
Belize,1980,0.159846521,,12352.93912,50970.02232,10925.28784,3031.750722,67100,3.92307288
Belize,1985,0.132493649,,11815.78364,59703.20611,13273.01839,4387.991857,75210,4.920376606
Belize,1990,0.107064024,,11081.12652,69643.93363,16728.53385,6046.405999,83920,5.841938163
Belize,1995,0.084218196,,10416.94867,82606.14707,21943.39772,8723.506536,96380,7.05271771
Belize,2000,0.066813638,,9820.268519,96766.58985,26907.14953,13485.99213,104140,9.175392656
Belize,2005,0.053689204,,9228.526864,110794.9338,33883.18388,17981.29807,108660,10.46105841
Belize,2010,0.04306721,,8578.633749,123565.1453,43801.29071,23246.70003,109210,11.67051232
Belize,2015,0.034616531,,7883.291933,134956.8814,55270.82269,29621.00726,110250,13.00695855
Belize,2020,0.027932146,,7137.706531,143909.6029,67493.60183,36996.43624,113290,14.47789789
Belize,2025,0.02264446,,6401.472706,150792.5154,80239.94741,45260.93126,115480,16.01052463
Belize,2030,0.018338525,,5666.987135,155539.9435,93586.90391,54227.04901,115880,17.54802083
Belize,2035,0.014734785,,4922.858687,158115.0199,107041.0407,64018.84286,114080,19.16170957
Belize,2040,0.011690218,,4172.120206,158233.9136,119983.4291,74500.3814,111760,20.87489532
Belize,2045,0.00911767,,3432.79493,155781.9694,131820.0412,85464.32502,109330,22.69974034
Belize,2050,0.006957927,,2731.329279,150993.1086,142180.199,96644.62233,107360,24.6197439
Benin,1970,0.829841612,,1311249.328,209018.4294,55593.74824,4258.494056,1215410,0.269504472
Benin,1975,0.790051188,,1412137.493,272243.9532,94058.05564,8960.497692,1406590,0.50131463
Benin,1980,0.748424127,,1520378.709,346738.48,147614.3908,16708.41993,1633730,0.822491431
Benin,1985,0.699254774,,1640780.349,435701.4125,244826.9587,25161.27982,1901060,1.072303495
Benin,1990,0.659624993,,1806158.772,564349.3062,331596.6678,36055.2545,2205930,1.316769455
Benin,1995,0.618356392,,2055095.102,771002.644,446167.206,51215.0475,2572860,1.541006641
Benin,2000,0.565545763,,2225993.779,960542.3241,672405.1429,77068.75331,2970980,1.95804262
Benin,2005,0.508444369,,2408619.3,1279568.474,938942.1183,110102.8248,3404480,2.324201308
Benin,2010,0.457724736,,2573160.55,1611529.438,1285848.871,151094.2974,3866960,2.687729583
Benin,2015,0.411663975,,2709894.667,1962499.387,1708762.373,201626.7012,4288780,3.062940055
Benin,2020,0.367801585,,2828634.892,2348493.52,2246043.319,267482.7127,4657620,3.47802277
Benin,2025,0.32644608,,2922859.566,2756653.576,2921199.304,352862.8816,4902110,3.941027676
Benin,2030,0.288530193,,2981448.025,3159366.943,3729436.793,462975.3852,5048940,4.480452996
Benin,2035,0.254400487,,2996756.271,3538674.742,4643251.306,600997.4573,5115160,5.101984677
Benin,2040,0.223885,,2967547.133,3873981.748,5645164.583,768089.7187,5140120,5.79481164
Benin,2045,0.196473821,,2896420.385,4158587.314,6722060.098,964949.0923,5160700,6.545570389
Benin,2050,0.171675726,,2786258.223,4386921.79,7863180.523,1193413.362,5144090,7.353234675
Bolivia,1970,0.397367713,,954660.0361,818947.1445,515131.6123,113721.2071,1806690,4.733531759
Bolivia,1975,0.336907874,,913296.6027,967693.8204,669537.5608,160292.0161,2042410,5.913045355
Bolivia,1980,0.280179041,,862043.6651,1120356.193,873545.4893,220814.6522,2268620,7.17685657
Bolivia,1985,0.230917381,,800378.1144,1263374.645,1111255.444,291071.7957,2491200,8.397722952
Bolivia,1990,0.187694388,,739307.5481,1413717.769,1410130.604,375734.078,2727210,9.539085326
Bolivia,1995,0.151271809,,672678.5054,1542044.723,1731191.634,500905.1371,3035370,11.26434479
Bolivia,2000,0.120192095,,603845.0846,1638990.789,2048731.466,732432.6607,3297330,14.57867557
Bolivia,2005,0.094087728,,534821.1287,1720189.498,2500022.104,929248.7459,3501260,16.34769055
Bolivia,2010,0.072351696,,466120.3691,1789039.149,3018632.719,1168632.677,3582450,18.13963985
Bolivia,2015,0.055371166,,399491.5293,1800825.114,3550811.714,1463665.141,3613920,20.28699978
Bolivia,2020,0.04206225,,337177.7684,1785596.2,4098436.306,1794950.805,3595100,22.3916509
Bolivia,2025,0.031854122,,280288.4078,1736921.118,4614275.477,2167640.269,3585500,24.6347245
Bolivia,2030,0.02404247,,229603.9097,1660481.721,5090526.334,2569318.054,3579300,26.90405111
Bolivia,2035,0.018085261,,185419.8293,1593179.53,5478948.058,2994990.757,3531560,29.2121883
Bolivia,2040,0.01353807,,147455.7608,1506373.302,5801758.46,3436346.492,3439990,31.54946117
Bolivia,2045,0.010064987,,115295.9343,1403776.552,6051919.43,3884157.469,3328060,33.90752349
Bolivia,2050,0.007413341,,88439.58406,1289349.876,6223317.045,4328681.305,3216700,36.28464625
Brazil,1970,0.328603064,,18176563.49,24576925.44,10851201.86,1709959.213,40627990,3.091331524
Brazil,1975,0.280687875,,18114576.54,28975889.42,15079799.81,2366104.225,43523700,3.666311299
Brazil,1980,0.236822752,,17832310.4,33829755.85,20428722.27,3207341.482,46220600,4.25952342
Brazil,1985,0.200295025,,17180207.63,38072684.92,26360790.74,4160826.706,50213830,4.850889508
Brazil,1990,0.169918968,,16438113.89,42378960.55,32761406.46,5162419.1,52640760,5.336335614
Brazil,1995,0.142084891,,15496238.54,46681516.12,40619740.54,6265744.809,52436160,5.745056546
Brazil,2000,0.118251608,,14496023.58,49952536.17,50637353.37,7500356.869,51497400,6.118431427
Brazil,2005,0.099127294,,13365334.37,51648951.7,60819814.46,8995912.396,51169470,6.672040001
Brazil,2010,0.083287854,,12135691.83,52401957.56,70402506.46,10767666.84,49615360,7.389903054
Brazil,2015,0.069335171,,10868230.11,52192074.16,81005406.5,12683453.32,46998520,8.091560423
Brazil,2020,0.057204806,,9599535.001,51283389.2,92192593.35,14734420.63,44349510,8.780421938
Brazil,2025,0.046890463,,8352358.827,49565419.74,103147663.2,17059454.62,43354000,9.577243251
Brazil,2030,0.038225455,,7151588.602,47110469.64,113135704.5,19691928.24,41935130,10.5253946
Brazil,2035,0.030921289,,6019099.27,44817126.67,121268489,22554030.42,39968140,11.586446
Brazil,2040,0.024732781,,4968887.803,42005327.53,128365707.4,25562993.14,37844440,12.72405282
Brazil,2045,0.019495833,,4011853.858,38768930.74,134294010.2,28705277.93,35929320,13.94949353
Brazil,2050,0.01509016,,3156744.073,35213559.05,138819386.9,32002532.23,34127280,15.29814631
Bulgaria,1970,0.078551956,,514648.0645,1699630.442,3896095.384,441316.1093,1937880,6.735912555
Bulgaria,1975,0.059025806,,401429.1952,1573467.71,4278213.984,547799.1113,1919830,8.054791363
Bulgaria,1980,0.044214221,,305070.6096,1392825.859,4541091.823,660841.7079,1961710,9.577652028
Bulgaria,1985,0.033040993,,233101.8898,1219909.414,4808600.864,793317.8322,1905520,11.24487177
Bulgaria,1990,0.025651638,,180248.4191,1025762.49,4917001.732,903767.3585,1792150,12.86175686
Bulgaria,1995,0.020783766,,142606.354,839531.9316,4906168.667,973123.0471,1495210,14.18251075
Bulgaria,2000,0.017925642,,120957.3102,683317.0634,4886159.116,1057291.989,1257390,15.6688649
Bulgaria,2005,0.015868184,,105951.0882,550496.0569,4858222.859,1162281.246,1062680,17.40736457
Bulgaria,2010,0.01419577,,91967.80925,431938.8076,4697307.448,1257322.137,1027890,19.40750345
Bulgaria,2015,0.012799392,,79453.8562,333043.9117,4458075.147,1337054.636,1029430,21.53889912
Bulgaria,2020,0.011578585,,69047.73942,265308.6803,4242311.535,1386732.76,1003660,23.25405966
Bulgaria,2025,0.010538282,,60539.93575,215562.5885,4052237.329,1416423.702,913460,24.65590948
Bulgaria,2030,0.00971336,,53504.36882,177352.5815,3829210.863,1448259.866,847310,26.29218795
Bulgaria,2035,0.009048928,,47426.59491,153785.9928,3558861.117,1481054.72,798800,28.25831768
Bulgaria,2040,0.008451158,,41824.59478,133722.2208,3271418.996,1502012.123,771670,30.34994584
Bulgaria,2045,0.007826218,,36411.19797,115426.8494,2992690.871,1507935.299,751270,32.41153996
Bulgaria,2050,0.007105884,,30990.91205,97904.54221,2731153.466,1501254.055,721020,34.42214548
Burkina Faso,1970,0.946189547,,2891356.555,126409.9413,35072.31375,2951.190396,2530780,0.096577003
Burkina Faso,1975,0.931724235,,3074242.749,173405.149,46704.68128,5167.421011,2890460,0.156611295
Burkina Faso,1980,0.909764847,,3258204.53,246027.1238,68215.96736,8922.378914,3348910,0.249133123
Burkina Faso,1985,0.880228402,,3521177.678,341249.3429,122822.5347,15050.44457,3870760,0.376232897
Burkina Faso,1990,0.845429682,,3931205.751,468927.0546,223171.4479,26645.74698,4448100,0.573032978
Burkina Faso,1995,0.805149007,,4352096.08,610738.7569,400103.8562,42391.30648,5046240,0.78425011
Burkina Faso,2000,0.76258266,,4788073.502,799476.7419,620870.9743,70338.77999,5720290,1.120265467
Burkina Faso,2005,0.717411811,,5381393.948,1105955.438,895420.624,118352.5868,6521930,1.577798327
Burkina Faso,2010,0.670978404,,5903362.622,1477500.462,1241558.936,175719.0053,7466130,1.997228788
Burkina Faso,2015,0.622465851,,6420180.889,1911187.847,1731685.19,251055.4823,8398980,2.434097529
Burkina Faso,2020,0.572927013,,6915373.347,2421818.506,2382954.489,350105.5311,9289540,2.900565247
Burkina Faso,2025,0.523721325,,7378384.199,2992146.689,3237383.007,480464.5029,10079680,3.410360577
Burkina Faso,2030,0.476631607,,7773534.773,3575259.438,4310999.107,649521.1594,10768130,3.982516618
Burkina Faso,2035,0.432170339,,8079663.693,4207040.632,5544333.587,864515.5716,11318090,4.624177468
Burkina Faso,2040,0.390595384,,8276747.312,4802880.337,6978656.219,1131795.818,11703060,5.341158859
Burkina Faso,2045,0.35196539,,8350269.644,5338459.752,8581904.464,1454055.815,11902300,6.128871801
Burkina Faso,2050,0.316128173,,8296137.223,5804531.168,10309209.34,1833076.65,11984590,6.985023956
Cambodia,1970,0.544531737,,2144311.529,1431263.531,355380.988,6943.952004,3000100,0.176336423
Cambodia,1975,0.481204871,,1972324.028,1702646.711,414645.5844,9103.676529,2999100,0.222110233
Cambodia,1980,0.450717023,,1788215.283,1789427.339,380223.2346,9624.143048,2538200,0.242575105
Cambodia,1985,0.394276279,,1813319.978,2190618.983,582564.957,12606.08239,3334850,0.274098301
Cambodia,1990,0.346971558,,1861950.001,2599212.89,885778.3079,19348.80117,4178600,0.360561974
Cambodia,1995,0.314413019,,1923173.255,3004692.935,1157167.384,31676.42517,5306190,0.517867042
Cambodia,2000,0.270035293,,2006472.939,3750182.08,1618994.074,54760.9062,5175530,0.736983642
Cambodia,2005,0.232611304,,2026069.592,4417129.306,2182353.413,84555.752,4863960,0.970777301
Cambodia,2010,0.199879706,,2019019.809,5087597.92,2868310.184,126246.6943,4509800,1.249821919
Cambodia,2015,0.173998002,,1967462.116,5550265.32,3607686.859,181969.0978,4438570,1.609294489
Cambodia,2020,0.151954731,,1889315.737,5914287.72,4385883.437,243924.817,4510420,1.961849432
Cambodia,2025,0.131893367,,1798845.848,6228359.534,5296977.701,314454.6351,4507830,2.305616159
Cambodia,2030,0.113603481,,1699368.474,6482541.176,6378342.503,398519.0009,4361250,2.664115901
Cambodia,2035,0.097419205,,1587457.998,6704836.711,7500761.145,502067.7989,4137840,3.081092292
Cambodia,2040,0.083380354,,1461144.552,6815322.372,8620946.869,626432.9927,3940790,3.57474589
Cambodia,2045,0.071210517,,1324882.389,6818207.935,9693935.699,768124.6288,3818910,4.128559038
Cambodia,2050,0.06043317,,1182758.085,6729895.584,10735394.61,923291.3168,3719330,4.717568321
