Entity,Year,Mammals (total endemic),Mammals (threatened endemic),Birds (total endemic),Birds (threatened endemic),Crocodiles & Alligators (total endemic),Crocodiles & Alligators (threatened endemic),Chameleons (total endemic),Chameleons (threatened endemic),Amphibians (total endemic),Amphibians (threatened endemic),Groupers (total endemic),Groupers (threatened endemic),"Herrings, anchovies etc. (total endemic)","Herrings, anchovies etc. (threatened endemic)",Seahorses & Pipefishes (total endemic),Seahorses & Pipefishes (threatened endemic),Sturgeons (total endemic),Sturgeons (threatened endemic),Wrasses & Parrotfishes (total endemic),Wrasses & Parrotfishes (threatened endemic),Sharks & Rays (total endemic),Sharks & Rays (threatened endemic)
Luxembourg,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,2019,205,115,119,28,0,0,85,44,312,145,0,0,2,1,0,0,0,0,0,0,4,1
Malawi,2019,3,1,1,1,0,0,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,2019,20,5,9,2,0,0,0,0,85,22,0,0,1,1,0,0,0,0,0,0,0,0
Maldives,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,2019,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Martinique,2019,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,2019,2,2,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Mayotte,2019,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,2019,153,74,116,25,0,0,0,0,246,182,3,1,4,0,3,0,0,0,3,2,7,0
Micronesia (region),2019,2,2,22,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0
Moldova,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Monaco,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mongolia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Montenegro,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Montserrat,2019,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,2019,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,2019,3,2,2,1,0,0,6,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0
Myanmar,2019,5,1,9,2,0,0,0,0,7,1,0,0,3,0,1,0,0,0,0,0,3,1
Namibia,2019,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,2019,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,2019,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,2019,6,6,27,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0
New Zealand,2019,4,4,90,44,0,0,0,0,4,3,0,0,2,0,4,0,0,0,0,0,26,0
Nicaragua,2019,2,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0
Niger,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,2019,5,3,3,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Niue,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island,2019,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Northern Mariana Islands,2019,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oman,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0
Pakistan,2019,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Palau,2019,1,0,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestine,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,2019,12,2,11,4,0,0,0,0,32,17,0,0,2,0,0,0,0,0,0,0,3,2
Papua New Guinea,2019,83,21,113,23,0,0,0,0,176,9,0,0,1,1,1,0,0,0,0,0,4,2
Paraguay,2019,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,2019,51,16,133,37,0,0,0,0,302,114,0,0,1,0,0,0,0,0,0,0,3,1
Philippines,2019,130,23,258,76,1,1,0,0,93,26,0,0,3,1,1,1,0,0,0,0,4,1
Pitcairn,2019,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,2019,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1
Puerto Rico,2019,1,0,14,4,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion,2019,1,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Russia,2019,21,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0,0,0,0,0
Rwanda,2019,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Saint Barthlemy,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,2019,0,0,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Saint Kitts and Nevis,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,2019,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Martin (French part),2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,2019,2,0,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,2019,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,2019,6,3,28,11,0,0,0,0,7,3,0,0,0,0,0,0,0,0,2,0,0,0
Saudi Arabia,2019,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Seychelles,2019,3,2,17,8,0,0,1,1,11,6,0,0,0,0,1,0,0,0,0,0,2,0
Sierra Leone,2019,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sint Maarten (Dutch part),2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Slovenia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Solomon Islands,2019,20,13,68,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Somalia,2019,9,0,9,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1
South Africa,2019,36,12,18,7,0,0,15,3,52,15,0,0,0,0,2,2,0,0,1,0,12,4
South Georgia and the South Sandwich Islands,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,2019,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0
South Sudan,2019,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,2019,2,2,8,1,0,0,0,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0
Sri Lanka,2019,17,14,31,8,0,0,0,0,91,55,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,2019,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,2019,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Svalbard and Jan Mayen,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,2019,20,0,29,1,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,7,2
Tajikistan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tanzania,2019,30,17,33,16,0,0,22,10,86,58,0,0,0,0,1,0,0,0,0,0,1,0
Thailand,2019,4,3,3,2,0,0,0,0,9,2,0,0,1,0,0,0,0,0,0,0,0,0
Timor,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,2019,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,2019,0,0,3,1,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Turkey,2019,8,0,0,0,0,0,0,0,8,7,0,0,1,1,0,0,4,0,0,0,0,0
Turkmenistan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Turks and Caicos Islands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,2019,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
United Arab Emirates,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
United States,2019,103,19,76,41,1,0,0,0,183,49,0,0,5,0,3,1,5,3,12,0,13,0
United States Minor Outlying Islands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Virgin Islands,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,2019,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Vanuatu,2019,2,2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Vatican,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,2019,27,9,52,17,0,0,0,0,147,64,0,0,3,0,0,0,0,0,1,0,1,0
Vietnam,2019,16,3,10,6,0,0,0,0,46,28,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,2019,3,1,10,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,5,2
Zambia,2019,5,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,2019,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
