Entity,Year,"Literacy rates (World Bank, CIA World Factbook, and other sources)"
Costa Rica,1978,91
Costa Rica,1979,91
Costa Rica,1980,92
Costa Rica,1981,92
Costa Rica,1982,92
Costa Rica,1983,92
Costa Rica,1984,92.629044
Costa Rica,2000,94.868187
Costa Rica,2011,97.406578
Costa Rica,2015,97.647247
Cote d'Ivoire,1988,34.139278
Cote d'Ivoire,1998,36.350239
Cote d'Ivoire,2000,48.740761
Cote d'Ivoire,2012,40.981628
Cote d'Ivoire,2015,43.26532
Croatia,1991,96.701553
Croatia,2001,98.146683
Croatia,2011,99.125359
Croatia,2015,99.272591
Cuba,1900,46
Cuba,1910,57
Cuba,1920,64
Cuba,1930,71
Cuba,1940,76
Cuba,1950,78
Cuba,1960,79
Cuba,1970,89
Cuba,1971,90
Cuba,1972,90
Cuba,1973,90
Cuba,1974,91
Cuba,1975,91
Cuba,1976,91
Cuba,1977,92
Cuba,1978,92
Cuba,1979,92
Cuba,1980,93
Cuba,1981,97.846649
Cuba,2002,99.799072
Cuba,2012,99.752533
Cuba,2015,99.710716
Cyprus,1992,94.362473
Cyprus,2001,96.803627
Cyprus,2011,98.678429
Cyprus,2015,99.059776
Czech Republic,2011,99
Democratic Republic of Congo,2001,67.172989
Democratic Republic of Congo,2007,61.205551
Democratic Republic of Congo,2012,75.017189
Democratic Republic of Congo,2015,77.221672
Denmark,2003,99
Djibouti,2003,67.900002
Dominica,2003,94
Dominican Republic,1920,29
Dominican Republic,1930,26
Dominican Republic,1940,30
Dominican Republic,1950,43
Dominican Republic,1960,64
Dominican Republic,1970,67
Dominican Republic,1971,68
Dominican Republic,1972,68
Dominican Republic,1973,69
Dominican Republic,1974,70
Dominican Republic,1975,70
Dominican Republic,1976,71
Dominican Republic,1977,72
Dominican Republic,1978,73
Dominican Republic,1979,73
Dominican Republic,1980,74
Dominican Republic,1981,73.064568
Dominican Republic,2002,86.996468
Dominican Republic,2007,88.244461
Dominican Republic,2010,89.538727
Dominican Republic,2011,90.10627
Dominican Republic,2012,90.155182
Dominican Republic,2013,90.858147
Dominican Republic,2014,91.763771
Dominican Republic,2015,92.465424
Early-demographic dividend,1990,59.518055
Early-demographic dividend,2000,69.116608
Early-demographic dividend,2010,76.508362
East Asia & Pacific,1990,82.054344
East Asia & Pacific,2000,91.61869
East Asia & Pacific,2010,95.108223
East Asia & Pacific (excluding high income),1990,79.744202
East Asia & Pacific (excluding high income),2000,90.773033
East Asia & Pacific (excluding high income),2010,94.751671
East Asia & Pacific (IDA & IBRD),1990,79.458626
East Asia & Pacific (IDA & IBRD),2000,90.649956
East Asia & Pacific (IDA & IBRD),2010,94.689247
Ecuador,1900,33
Ecuador,1910,38
Ecuador,1920,42
Ecuador,1930,46
Ecuador,1940,51
Ecuador,1950,56
Ecuador,1960,65
Ecuador,1970,74
Ecuador,1971,75
Ecuador,1972,76
Ecuador,1973,77
Ecuador,1974,77
Ecuador,1975,78
Ecuador,1976,79
Ecuador,1977,80
Ecuador,1978,80
Ecuador,1979,81
Ecuador,1980,82
Ecuador,1981,82
Ecuador,1982,83.552689
Ecuador,1990,88.298759
Ecuador,2001,90.984032
Ecuador,2007,84.192719
Ecuador,2009,84.206963
Ecuador,2010,91.854042
Ecuador,2011,91.586899
Ecuador,2012,92.064728
Ecuador,2013,93.294632
Ecuador,2014,94.222649
Ecuador,2015,94.515472
Egypt,1976,38.196758
Egypt,1986,44.423988
Egypt,1996,55.587002
Egypt,2005,71.408859
Egypt,2006,66.369911
Egypt,2010,72.047852
Egypt,2012,73.865593
Egypt,2013,75.06073
Egypt,2015,75.842621
El Salvador,1900,26
El Salvador,1910,27
El Salvador,1920,27
El Salvador,1930,28
El Salvador,1940,35
El Salvador,1950,42
El Salvador,1960,48
El Salvador,1970,58
El Salvador,1971,59
El Salvador,1972,60
El Salvador,1973,61
El Salvador,1974,61
El Salvador,1975,62
El Salvador,1992,74.143158
El Salvador,2004,80.778358
El Salvador,2006,83.559464
El Salvador,2007,82.028633
El Salvador,2008,83.951302
El Salvador,2009,84.10289
El Salvador,2010,84.492722
El Salvador,2011,85.493988
El Salvador,2013,86.767578
El Salvador,2015,87.648216
Equatorial Guinea,2000,88.308296
Equatorial Guinea,2014,94.956741
Equatorial Guinea,2015,95.195663
Eritrea,2002,52.51395
Eritrea,2014,72.790489
Eritrea,2015,73.845253
Estonia,1989,99.72644
Estonia,2000,99.767197
Estonia,2011,99.885788
Estonia,2015,99.823509
Ethiopia,1994,27.01136
Ethiopia,2004,35.900002
Ethiopia,2005,29.820339
Ethiopia,2007,38.995979
Ethiopia,2015,49.031521
Europe & Central Asia,1990,97.260788
Europe & Central Asia,2000,98.145844
Europe & Central Asia,2010,98.997589
Europe & Central Asia (excluding high income),1990,95.567757
Europe & Central Asia (excluding high income),2000,97.218407
Europe & Central Asia (excluding high income),2010,98.799637
Europe & Central Asia (IDA & IBRD),1990,95.9422
Europe & Central Asia (IDA & IBRD),2000,97.452644
Europe & Central Asia (IDA & IBRD),2010,98.890953
Fiji,2003,93.699997
Finland,2000,100
Fragile and conflict affected situations,2000,63.947193
Fragile and conflict affected situations,2010,68.33667
France,1475,6
France,1550,19
France,1650,29
France,1750,29
France,1820,38
France,1870,69
France,2003,99
French Polynesia,1977,98
Gabon,1993,72.233673
Gabon,2004,81.84552
Gabon,2012,82.283798
Gabon,2015,83.237877
Gambia,2000,36.81773
Gambia,2014,54.387562
Gambia,2015,55.572762
Georgia,2002,99.652351
Georgia,2014,99.752243
Georgia,2015,99.759621
Germany,1475,9
Germany,1550,16
Germany,1650,31
Germany,1750,38
Germany,2003,99
Ghana,2000,57.897469
Ghana,2010,71.49707
Ghana,2015,76.575897
Gibraltar,2011,80
Greece,1981,90.512321
Greece,1991,92.610451
Greece,2001,95.994362
Greece,2014,97.532379
Greece,2015,95.29287
Greenland,2001,100
Grenada,1970,97.794472
Grenada,2003,96
Guam,1980,96.420647
Guam,1990,99.369148
Guam,2015,99.78904
Guatemala,1900,12
Guatemala,1910,13
Guatemala,1920,15
Guatemala,1930,19
Guatemala,1940,24
Guatemala,1950,29
Guatemala,1960,35
Guatemala,1970,45
Guatemala,1971,46
Guatemala,1972,47
Guatemala,1973,48
Guatemala,1974,48
Guatemala,1975,49
Guatemala,1976,50
Guatemala,1977,51
Guatemala,1978,52
Guatemala,1979,52
Guatemala,1994,64.211639
Guatemala,2002,69.10173
Guatemala,2012,78.264862
Guatemala,2013,77.038673
Guatemala,2014,81.285896
Guatemala,2015,79.074211
Guinea,1996,20.553749
Guinea,2003,29.70402
Guinea,2010,25.307739
Guinea,2015,30.47279
Guinea-Bissau,1979,19.95825
Guinea-Bissau,2000,41.357769
Guinea-Bissau,2014,58.729321
Guinea-Bissau,2015,59.77285
Guyana,2009,84.994011
Guyana,2015,87.535316
Haiti,1900,8
Haiti,1910,8
Haiti,1920,8
Haiti,1930,8
Haiti,1940,9
Haiti,1950,11
Haiti,1960,16
Haiti,1970,22
Haiti,1971,23
Haiti,1972,24
Haiti,1973,25
Haiti,1974,25
Haiti,1975,26
Haiti,1976,27
Haiti,1977,28
Haiti,1978,29
Haiti,1979,30
Haiti,1980,31
Haiti,1981,31
Haiti,1982,34.734692
Haiti,2003,58.7439
Haiti,2006,48.68502
Haiti,2015,60.68935
Heavily indebted poor countries (HIPC),1990,45.420242
Heavily indebted poor countries (HIPC),2000,52.221073
Heavily indebted poor countries (HIPC),2010,57.837166
Honduras,1900,28
Honduras,1910,30
Honduras,1920,32
Honduras,1930,33
Honduras,1940,35
Honduras,1950,40
Honduras,1960,44
Honduras,1970,53
Honduras,1971,54
Honduras,1972,55
Honduras,1973,56
Honduras,1974,57
Honduras,1975,58
Honduras,1976,58
Honduras,1977,59
Honduras,1978,60
Honduras,1979,61
Honduras,1980,61
Honduras,1981,62
Honduras,1982,63
Honduras,1983,64
Honduras,1984,64
Honduras,1985,65
Honduras,1986,66
Honduras,1987,66
Honduras,1988,67
Honduras,1989,68
Honduras,2001,80.011032
Honduras,2007,83.588989
Honduras,2010,84.755363
Honduras,2011,85.123306
Honduras,2012,85.355553
Honduras,2013,85.464417
Honduras,2014,87.197533
Honduras,2015,88.424583
Hong Kong,2002,93.5
Hungary,1980,98.858292
Hungary,1994,98.982071
Hungary,2004,99.029221
Hungary,2014,99.050117
Hungary,2015,99.380882
IBRD only,1990,73.642052
IBRD only,2000,82.563576
IBRD only,2010,87.329063
Iceland,2003,99
IDA & IBRD total,1990,69.861198
IDA & IBRD total,2000,77.905838
IDA & IBRD total,2010,82.390694
IDA blend,1990,63.288082
IDA blend,2010,69.031975
IDA only,1990,48.29747
IDA only,2000,55.4478
IDA only,2010,61.650894
IDA total,1990,54.144699
IDA total,2000,59.467594
IDA total,2010,64.433121
India,1981,40.763592
India,1991,48.222069
India,2001,61.014561
India,2006,62.754471
India,2011,69.302559
India,2015,72.225304
Indonesia,1980,67.312668
Indonesia,1990,81.519852
Indonesia,2004,90.384789
Indonesia,2006,91.982269
Indonesia,2008,92.192299
Indonesia,2009,92.581703
Indonesia,2011,92.811913
Indonesia,2014,95.116219
Indonesia,2015,95.437683
Iran,1976,36.518398
Iran,1986,52.319759
Iran,1991,65.531403
Iran,1996,73.060249
Iran,2002,77
Iran,2005,82.4412
Iran,2006,82.331322
Iran,2008,82.962303
Iran,2012,83.625992
Iran,2013,84.626801
Iran,2015,87.172531
Iraq,2000,74.0522
Iraq,2014,79.5187
Iraq,2015,79.721764
Ireland,1475,0
Ireland,1550,0
Ireland,1650,3
Ireland,1750,21
Ireland,2003,99
Israel,1983,91.751411
Israel,2004,97.099998
Italy,1475,15
Italy,1550,18
Italy,1650,23
Italy,1750,23
Italy,1820,22
Italy,1870,32
Italy,1981,96.460541
Italy,2001,98.416618
Italy,2011,98.848282
Italy,2015,99.015793
Jamaica,1999,79.92012
Jamaica,2014,88.132248
Jamaica,2015,88.499901
Japan,2002,99
Jordan,1979,66.796806
Jordan,2003,89.892319
Jordan,2005,91.130753
Jordan,2007,92.199577
Jordan,2010,92.551041
Jordan,2011,95.904449
Jordan,2012,97.89032
Jordan,2015,98.014351
Kazakhstan,1989,97.529381
Kazakhstan,1999,99.512657
Kazakhstan,2009,99.732407
Kazakhstan,2015,99.787849
Kenya,2000,82.22908
Kenya,2007,72.157028
Kenya,2015,78.023399
Kosovo,2007,91.900002
Kuwait,1975,59.564388
Kuwait,1980,67.517662
Kuwait,1985,74.490868
Kuwait,1995,78.3955
Kuwait,2005,93.27446
Kuwait,2006,93.28212
Kuwait,2007,93.664192
Kuwait,2008,93.906212
Kuwait,2012,95.513168
Kuwait,2013,95.585823
Kuwait,2015,96.117706
Kyrgyzstan,1999,98.701607
Kyrgyzstan,2009,99.241402
Kyrgyzstan,2015,99.50132
Laos,1995,60.251331
Laos,2000,69.583122
Laos,2001,68.73439
Laos,2005,72.702263
Laos,2015,79.867462
Late-demographic dividend,1990,82.479462
Late-demographic dividend,2000,91.466995
Late-demographic dividend,2010,94.784943
Latin America & Caribbean,1990,87.463829
Latin America & Caribbean,2000,89.736443
Latin America & Caribbean,2010,92.624313
Latin America & Caribbean (excluding high income),1990,87.101639
Latin America & Caribbean (excluding high income),2000,89.450394
Latin America & Caribbean (excluding high income),2010,92.44799
Latin America & Caribbean (IDA & IBRD),1990,87.065071
Latin America & Caribbean (IDA & IBRD),2000,89.473671
Latin America & Caribbean (IDA & IBRD),2010,92.4664
Latvia,1989,99.452301
Latvia,2000,99.746567
Latvia,2011,99.895897
Latvia,2015,99.892693
Least developed countries: UN classification,1990,45.830433
Least developed countries: UN classification,2000,53.413399
Least developed countries: UN classification,2010,60.568233
Lebanon,2007,89.612442
Lebanon,2015,94.051102
Lesotho,2000,86.254433
Lesotho,2009,75.800201
Lesotho,2015,79.360931
Liberia,1984,32.10677
Liberia,1994,42.66605
Liberia,2004,43.108372
Liberia,2007,42.941078
Liberia,2015,47.60014
Libya,1984,60.164391
Libya,1994,76.505203
Libya,2004,85.416817
Libya,2014,91.041443
Libya,2015,91.38887
Liechtenstein,2011,100
Lithuania,1989,98.441269
Lithuania,2001,99.645752
Lithuania,2011,99.815598
Lithuania,2015,99.82328
Low income,1990,46.024578
Low income,2000,52.694969
Low income,2010,56.574059
Lower middle income,1990,58.596119
Lower middle income,2000,67.331596
Lower middle income,2010,73.91008
Luxembourg,2000,100
Macao,1981,90.378181
Macao,2001,91.295372
Macao,2006,93.499748
Macao,2011,95.640038
Macao,2015,96.2276
Macedonia,1994,94.058746
Macedonia,2002,96.128929
Macedonia,2014,97.751747
Macedonia,2015,97.843758
Madagascar,2000,70.686172
Madagascar,2009,64.480911
Madagascar,2015,64.656303
Malawi,1987,48.536652
Malawi,1998,64.134247
Malawi,2010,61.309719
Malawi,2015,65.963829
Malaysia,1980,69.516327
Malaysia,1991,82.915367
Malaysia,2000,88.687759
Malaysia,2010,93.117889
Malaysia,2015,94.636993
Maldives,1977,82.299957
Maldives,1985,92.230049
Maldives,1990,96.018257
Maldives,1995,96.3265
Maldives,2000,96.3265
Maldives,2006,98.397903
Maldives,2015,99.321022
Mali,1976,9.4338102
Mali,1998,19.04497
Mali,2003,24
Mali,2006,26.17655
Mali,2010,31.099751
Mali,2011,33.56094
Mali,2015,33.068871
Malta,1985,85.653717
Malta,1995,87.868698
Malta,2005,92.363091
Malta,2011,93.307358
Malta,2015,94.066612
Marshall Islands,2011,98.265083
Marshall Islands,2015,98.265083
Mauritania,2000,51.20768
Mauritania,2007,45.50378
Mauritania,2015,52.123562
Mauritius,1990,79.86866
Mauritius,2000,84.303093
Mauritius,2011,89.24984
Mauritius,2012,91.766006
Mauritius,2013,91.490028
Mauritius,2014,92.474762
Mauritius,2015,90.616043
Mexico,1900,24
Mexico,1910,30
Mexico,1920,35
Mexico,1930,36
Mexico,1940,46
Mexico,1950,60
Mexico,1960,65
Mexico,1970,75
Mexico,1979,82
Mexico,1980,82.989243
Mexico,1990,87.556152
Mexico,2000,90.535622
Mexico,2002,90.274651
Mexico,2004,90.953743
Mexico,2005,91.630272
Mexico,2006,91.73452
Mexico,2007,92.795174
Mexico,2008,92.925598
Mexico,2009,93.441879
Mexico,2010,93.068939
Mexico,2011,93.519981
Mexico,2012,94.228401
Mexico,2013,93.962852
Mexico,2014,94.555878
Mexico,2015,94.545593
Micronesia,1980,89
Middle East & North Africa,1990,58.496243
Middle East & North Africa,2000,70.403152
Middle East & North Africa,2010,80.750015
Middle East & North Africa (excluding high income),1990,56.039429
Middle East & North Africa (excluding high income),2000,68.023575
Middle East & North Africa (excluding high income),2010,78.438812
Middle East & North Africa (IDA & IBRD),1990,55.750252
Middle East & North Africa (IDA & IBRD),2000,67.76973
Middle East & North Africa (IDA & IBRD),2010,78.232857
Middle income,1990,71.371117
Middle income,2000,79.700737
Middle income,2010,84.38868
Moldova,1989,96.377548
Moldova,2000,96.653801
Moldova,2014,99.34346
Moldova,2015,99.244392
Monaco,2003,99
Mongolia,2000,97.768852
Mongolia,2010,98.257004
Mongolia,2015,98.367638
Montenegro,1981,89.635109
Montenegro,1991,93.462997
Montenegro,2003,97.77346
Montenegro,2011,98.442207
Montenegro,2015,98.719948
Montserrat,1970,97
Morocco,1982,30.257799
Morocco,1994,41.594109
Morocco,2004,52.306259
Morocco,2008,55.147919
Morocco,2009,56.083672
Morocco,2011,67.08416
Morocco,2015,71.710548
Mozambique,1980,27.10178
Mozambique,1997,38.707878
Mozambique,2003,48.15884
Mozambique,2009,50.583809
Mozambique,2015,58.836552
Myanmar,1983,78.570412
Myanmar,2000,89.941757
Myanmar,2014,92.923157
Myanmar,2015,93.09005
Namibia,1991,75.816582
Namibia,2001,85.041283
Namibia,2007,76.486588
Namibia,2011,89.400993
Namibia,2015,90.820503
Nepal,1981,20.573669
Nepal,1991,32.97559
Nepal,2001,48.608971
Nepal,2011,59.627251
Nepal,2015,64.663643
Netherlands,1475,17
Netherlands,1550,12
Netherlands,1650,53
Netherlands,1750,85
Netherlands,2003,99
New Caledonia,1976,91.300369
New Caledonia,1989,93.080627
New Caledonia,1996,96.137917
New Caledonia,2014,96.806671
New Caledonia,2015,96.93782
New Zealand,2003,99
Nicaragua,1920,39
Nicaragua,1930,39
Nicaragua,1940,38
Nicaragua,1950,38
Nicaragua,1960,47
Nicaragua,1970,57
Nicaragua,1971,57
Nicaragua,1972,58
Nicaragua,1973,58
Nicaragua,1974,59
Nicaragua,1975,59
Nicaragua,1976,59
Nicaragua,1977,60
Nicaragua,1978,60
Nicaragua,1979,61
Nicaragua,1980,61
Nicaragua,1981,61
Nicaragua,1982,62
Nicaragua,1983,62
Nicaragua,1984,63
Nicaragua,1985,63
Nicaragua,1986,63
Nicaragua,1987,64
Nicaragua,1988,64
Nicaragua,1989,64
Nicaragua,1990,65
Nicaragua,1991,65
Nicaragua,1992,65
Nicaragua,1993,66
Nicaragua,1994,66
Nicaragua,1995,67
Nicaragua,1996,67
Nicaragua,1997,67
Nicaragua,1998,68
Nicaragua,1999,68
Nicaragua,2000,66
Nicaragua,2001,76.677132
Nicaragua,2005,78.002983
Nicaragua,2015,82.471848
Niger,2001,14.37604
Niger,2005,28.672421
Niger,2012,15.4567
Niger,2015,19.1026
Nigeria,1991,55.446751
Nigeria,2003,54.773178
Nigeria,2008,51.07766
Nigeria,2015,59.568081
Niue,2011,95
North Korea,2008,99.99826
North Korea,2015,99.999237
Northern Mariana Islands,1980,97
Norway,2011,100
Oman,2003,81.363312
Oman,2008,86.62114
Oman,2010,87.201721
Oman,2014,91.981201
Oman,2015,93.971649
Other small states,1990,73.338379
Other small states,2000,78.839775
Other small states,2010,83.649963
Pacific island small states,2000,86.692055
Pakistan,1981,25.725189
Pakistan,1998,42.69931
Pakistan,2005,49.873638
Pakistan,2006,54.151211
Pakistan,2008,55.526371
Pakistan,2009,54.892639
Pakistan,2010,55.375191
Pakistan,2011,54.738022
Pakistan,2012,56.764339
Pakistan,2013,55.59499
Pakistan,2015,56.440311
Palau,1980,91.921417
Palau,1994,94.433296
Palau,2004,96.989799
Palau,2013,99.523972
Palau,2015,99.523972
Palestine,1997,86.062889
Palestine,2004,92.279968
Palestine,2006,93.449966
Palestine,2007,93.882141
Palestine,2008,94.058647
Palestine,2009,94.599167
Palestine,2010,94.932007
Palestine,2011,95.267242
Palestine,2012,95.913757
Palestine,2013,96.284859
Palestine,2014,96.428421
Palestine,2015,96.668037
Panama,1900,17
Panama,1910,27
Panama,1920,42
Panama,1930,46
Panama,1940,58
Panama,1950,67
Panama,1960,73
Panama,1970,79
Panama,1971,80
Panama,1972,80
Panama,1973,81
Panama,1974,81
Panama,1975,82
Panama,1976,83
Panama,1977,83
Panama,1978,84
Panama,1979,84
Panama,1980,88.071739
Panama,1990,88.779861
Panama,2000,91.89962
Panama,2010,94.094116
Panama,2015,95.038231
Papua New Guinea,2000,57.343262
Papua New Guinea,2014,63.096088
Papua New Guinea,2015,63.433491
Paraguay,1900,31
Paraguay,1910,38
Paraguay,1920,45
Paraguay,1930,52
Paraguay,1940,59
Paraguay,1950,66
Paraguay,1960,73
Paraguay,1970,80
Paraguay,1971,80
Paraguay,1972,81
Paraguay,1973,82
Paraguay,1974,82
Paraguay,1975,83
Paraguay,1976,84
Paraguay,1977,84
Paraguay,1978,85
Paraguay,1979,85
Paraguay,1980,86
Paraguay,1981,86
Paraguay,1982,87
Paraguay,1992,90.27182
Paraguay,2007,94.55822
Paraguay,2008,93.292084
Paraguay,2009,93.754242
Paraguay,2010,93.870918
Paraguay,2014,94.616722
Paraguay,2015,95.53611
Peru,1900,24
Peru,1910,29
Peru,1920,33
Peru,1930,37
Peru,1940,42
Peru,1950,51
Peru,1960,60
Peru,1970,72
Peru,1979,79
Peru,1980,79
Peru,1981,81.918457
Peru,1993,87.150627
Peru,2004,87.669853
Peru,2005,87.908669
Peru,2006,88.699341
Peru,2007,89.590813
Peru,2012,93.841721
Peru,2014,93.707947
Peru,2015,94.374352
Philippines,1980,83.31723
Philippines,1990,93.573898
Philippines,2000,92.60006
Philippines,2003,92.590691
Philippines,2008,95.420097
Philippines,2013,96.398003
Philippines,2015,96.618027
Poland,1475,0
Poland,1550,0
Poland,1650,3
Poland,1750,5
Poland,1978,98.742737
Poland,1994,99.402367
Poland,2004,99.617943
Poland,2014,99.774109
Poland,2015,99.787422
Portugal,1981,79.435608
Portugal,1991,87.947853
Portugal,2011,94.477051
Portugal,2015,95.428108
Pre-demographic dividend,1990,51.186974
Pre-demographic dividend,2000,55.785202
Pre-demographic dividend,2010,58.624794
Puerto Rico,1980,86.746063
Puerto Rico,1990,89.622498
Puerto Rico,2004,90.529343
Puerto Rico,2010,91.965233
Puerto Rico,2015,93.329422
Qatar,1986,75.63504
Qatar,1997,83.262161
Qatar,2004,88.962387
Qatar,2007,93.082741
Qatar,2008,93.989731
Qatar,2009,94.724289
