Entity,Year,Income share of the top 1% (%)
France,1920,20.07
France,1921,19.13
France,1922,20.94
France,1923,23.270001
France,1924,21.58
France,1925,20.96
France,1926,20.559999
France,1927,21.259999
France,1928,21.39
France,1929,20.020001
France,1930,17.24
France,1931,16.46
France,1932,16.869999
France,1933,17.659999
France,1934,17.640001
France,1935,18.39
France,1936,17.299999
France,1937,17.45
France,1938,16.52
France,1939,16.410001
France,1940,16.779999
France,1941,16.02
France,1942,14.650001
France,1943,11.83
France,1944,9.9799998
France,1945,8.4700003
France,1946,10.43
France,1947,10.71
France,1948,9.9100001
France,1949,10.27
France,1950,10.34
France,1951,10.7
France,1952,10.96
France,1953,10.84
France,1954,11.05
France,1955,11.26
France,1956,10.96
France,1957,11.23
France,1958,10.36
France,1959,11.22
France,1960,11.46
France,1961,11.57
France,1962,10.94
France,1963,10.73
France,1964,10.84
France,1965,10.94
France,1966,10.73
France,1967,10.71
France,1968,10.16
France,1969,9.8999999
France,1970,9.6600004
France,1971,9.6699998
France,1972,9.4999999
France,1973,10.09
France,1974,9.7400002
France,1975,9.11
France,1976,9.0999998
France,1977,8.5299999
France,1978,8.2699999
France,1979,8.5600004
France,1980,8.1699997
France,1981,8.2099997
France,1982,7.5199999
France,1983,7.3299997
France,1984,7.4699998
France,1985,7.7399999
France,1986,8.2500003
France,1987,9.02
France,1988,9.1600001
France,1989,9.5200002
France,1990,9.33
France,1991,9.1499999
France,1992,8.6199999
France,1993,9.0800002
France,1994,9.1799997
France,1995,9.2200004
France,1996,10.03
France,1997,10.44
France,1998,10.68
France,1999,10.6
France,2000,11.03
France,2001,11.32
France,2002,10.95
France,2003,11.35
France,2004,11.62
France,2005,11.47
France,2006,11.24
France,2007,11.69
France,2008,11.57
France,2009,10.18
France,2010,10.84
France,2011,11.45
France,2012,10.43
France,2013,10.8
France,2014,10.8
France,2015,11.27
France,2016,11.16
France,2017,11.15
Germany,1900,18.13
Germany,1901,17.89
Germany,1902,17.380001
Germany,1903,17.290001
Germany,1904,17.41
Germany,1905,17.749999
Germany,1906,17.739999
Germany,1907,17.58
Germany,1908,17.129999
Germany,1909,16.93
Germany,1910,17.039999
Germany,1911,16.93
Germany,1912,17.020001
Germany,1913,17.649999
Germany,1914,17.93
Germany,1915,19.79
Germany,1916,21.359999
Germany,1917,22.47
Germany,1918,19.63
Germany,1925,10.79
Germany,1926,10.73
Germany,1927,11.01
Germany,1928,10.68
Germany,1929,10.66
Germany,1932,10.79
Germany,1933,10.43
Germany,1934,10.62
Germany,1935,11.57
Germany,1936,13.060001
Germany,1937,14.32
Germany,1949,9.2100002
Germany,1950,9.7099997
Germany,1954,9.1399997
Germany,1957,10.7
Germany,1961,12.540001
Germany,1965,11.82
Germany,1968,10.82
Germany,1971,10.93
Germany,1974,9.7599998
Germany,1977,9.8999999
Germany,1980,10.22
Germany,1981,9.99
Germany,1982,9.77
Germany,1983,9.5399998
Germany,1984,9.6799999
Germany,1985,9.8200001
Germany,1986,9.9799998
Germany,1987,10.57
Germany,1988,11.17
Germany,1989,11.77
Germany,1990,11.15
Germany,1991,10.6
Germany,1992,9.8899998
Germany,1993,9.4899997
Germany,1994,9.1700003
Germany,1995,8.9699998
Germany,1996,9.7599998
Germany,1997,10.46
Germany,1998,11.2
Germany,1999,10.91
Germany,2000,10.78
Germany,2001,10.57
Germany,2002,10.36
Germany,2003,9.7800002
Germany,2004,10.83
Germany,2005,12.46
Germany,2006,12.31
Germany,2007,13.2
Germany,2008,12.88
Germany,2009,11.6
Germany,2010,11.95
Germany,2011,12.1
Germany,2012,12.41
Germany,2013,12.23
Germany,2014,12.31
Germany,2015,12.48
Germany,2016,12.540001
Germany,2017,12.530001
Italy,1974,5.4499999
Italy,1975,5.2900001
Italy,1976,5.1899999
Italy,1977,4.9699999
Italy,1978,4.8999999
Italy,1979,4.9899999
Italy,1980,5.04
Italy,1981,4.6
Italy,1982,4.5000002
Italy,1983,4.47
Italy,1984,4.6799999
Italy,1985,4.9699999
Italy,1986,5.61
Italy,1987,5.7700001
Italy,1988,6.0899999
Italy,1989,6.2100001
Italy,1990,6.1700001
Italy,1991,6.2100001
Italy,1992,6.2399998
Italy,1993,6.4800002
Italy,1994,6.7000002
Italy,1995,7.2300002
Italy,1996,7.4100003
Italy,1997,7.5099997
Italy,1998,7.8400001
Italy,1999,7.6399997
Italy,2000,8.14
Italy,2001,8.4700003
Italy,2002,8.1500001
Italy,2003,8.2400002
Italy,2004,8.1200004
Italy,2005,8.0399998
Italy,2006,8.1200004
Italy,2007,8.1
Italy,2008,7.7200003
Italy,2009,7.4500002
Italy,2010,7.8199998
Italy,2011,7.9099998
Italy,2012,7.79
Italy,2013,7.6700002
Italy,2014,7.8100003
Italy,2015,7.6800004
Italy,2016,8.6400002
Italy,2017,8.7300003
Japan,1886,19.14
Japan,1887,19.89
Japan,1888,17.67
Japan,1889,16.07
Japan,1890,14.33
Japan,1891,13.19
Japan,1892,14.45
Japan,1893,14.27
Japan,1894,13.4
Japan,1895,12.82
Japan,1896,13.23
Japan,1897,12.16
Japan,1898,13.57
Japan,1899,15.72
Japan,1900,16.26
Japan,1901,16.93
Japan,1902,17.99
Japan,1903,17.55
Japan,1904,16.58
Japan,1905,18.07
Japan,1906,18.11
Japan,1907,18.25
Japan,1908,18.93
Japan,1909,18.74
Japan,1910,18.88
Japan,1911,17.99
Japan,1912,17.91
Japan,1913,17.45
Japan,1914,18.55
Japan,1915,19.6
Japan,1916,19.52
Japan,1917,18.68
Japan,1918,16.62
Japan,1919,15.25
Japan,1920,17.09
Japan,1921,18.48
Japan,1922,19.55
Japan,1923,19.72
Japan,1924,19.72
Japan,1925,18.32
Japan,1926,18.55
Japan,1927,17.89
Japan,1928,18.51
Japan,1929,18.35
Japan,1930,16.78
Japan,1931,17.38
Japan,1932,17.56
Japan,1933,18.28
Japan,1934,18.96
Japan,1935,18.74
Japan,1936,18.68
Japan,1937,19.26
Japan,1938,19.92
Japan,1939,17.95
Japan,1940,16.45
Japan,1941,16.67
Japan,1942,15.11
Japan,1943,13.63
Japan,1944,10.74
Japan,1945,6.43
Japan,1947,7.38
Japan,1948,7.84
Japan,1949,7.94
Japan,1950,7.71
Japan,1951,8.05
Japan,1952,8.67
Japan,1953,8.24
Japan,1954,7.96
Japan,1955,7.65
Japan,1956,8.19
Japan,1957,8.57
Japan,1958,8.67
Japan,1959,9.05
Japan,1960,9.47
Japan,1961,9.91
Japan,1962,10.03
Japan,1963,9.01
Japan,1964,8.76
Japan,1965,8.26
Japan,1966,8.04
Japan,1967,8.11
Japan,1968,8.01
Japan,1969,10.03
Japan,1970,10.71
Japan,1971,12.99
Japan,1972,12.16
Japan,1973,13.82
Japan,1974,8.35
Japan,1975,8.99
Japan,1976,7.54
Japan,1977,7.64
Japan,1978,7.91
Japan,1979,8.4
Japan,1980,8.36
Japan,1981,8.25
Japan,1982,8.22
Japan,1983,8.23
Japan,1984,8.25
Japan,1985,8.38
Japan,1986,8.87
Japan,1987,10.3
Japan,1988,10.57
Japan,1989,11.9
Japan,1990,12.98
Japan,1991,12.14
Japan,1992,8.42
Japan,1993,8.64
Japan,1994,8.55
Japan,1995,8.67
Japan,1996,8.9
Japan,1997,8.4
Japan,1998,8.47
Japan,1999,8.74
Japan,2000,9.06
Japan,2001,9.38
Japan,2002,9.51
Japan,2003,9.8
Japan,2004,10.47
Japan,2005,11.04
Japan,2006,11.31
Japan,2007,11.35
Japan,2008,10.9
Japan,2009,10.42
Japan,2010,10.44
Netherlands,1914,20.96
Netherlands,1915,25.58
Netherlands,1916,27.88
Netherlands,1917,26.51
Netherlands,1918,21.95
Netherlands,1919,23.74
Netherlands,1920,20.59
Netherlands,1921,18.29
Netherlands,1922,16.82
Netherlands,1923,16.45
Netherlands,1924,17.34
Netherlands,1925,17.75
Netherlands,1926,17.99
Netherlands,1927,18.37
Netherlands,1928,18.63
Netherlands,1929,18.09
Netherlands,1930,17.15
Netherlands,1931,15.59
Netherlands,1932,14.43
Netherlands,1933,14.2
Netherlands,1934,14.02
Netherlands,1935,14
Netherlands,1936,14.83
Netherlands,1937,16.05
Netherlands,1938,15.68
Netherlands,1939,15.79
Netherlands,1941,17.64
Netherlands,1946,12.86
Netherlands,1950,10.71
Netherlands,1952,11.21
Netherlands,1953,10.66
Netherlands,1957,9.2399999
Netherlands,1958,10.04
Netherlands,1959,9.2699997
Netherlands,1962,9.3999997
Netherlands,1964,8.9500003
Netherlands,1966,8.4100001
Netherlands,1967,8.23
Netherlands,1970,7.6800004
Netherlands,1973,6.1299998
Netherlands,1975,5.4400001
Netherlands,1977,5.3399999
Netherlands,1980,5.26
Netherlands,1981,5.2000001
Netherlands,1982,5.2200001
Netherlands,1983,5.37
Netherlands,1984,5.4400001
Netherlands,1985,5.3100001
Netherlands,1986,5.3300001
Netherlands,1987,5.3100001
Netherlands,1988,5.3199999
Netherlands,1989,5.2999999
Netherlands,1990,5.13
Netherlands,1991,5.1199999
Netherlands,1992,5.0099999
Netherlands,1993,4.91
Netherlands,1994,5.06
Netherlands,1995,5.2999999
Netherlands,1996,5.3300001
Netherlands,1997,5.4499999
Netherlands,1998,5.3100001
Netherlands,1999,5.4099999
Netherlands,2000,5.6200001
Netherlands,2001,6.2100001
Netherlands,2002,6.1299998
Netherlands,2003,6.0600001
Netherlands,2004,6.3000001
Netherlands,2005,6.3000001
Netherlands,2006,6.5399997
Netherlands,2007,7.0100002
Netherlands,2008,6.05
Netherlands,2009,5.8200002
Netherlands,2010,6.0600001
Netherlands,2011,6.1099999
Netherlands,2012,5.9
Netherlands,2013,5.9300002
Netherlands,2014,6.1700001
Netherlands,2015,6.1799999
Netherlands,2016,6.12
Netherlands,2017,6.2100001
Sweden,1903,26.429999
Sweden,1907,30.829999
Sweden,1911,28.099999
Sweden,1912,30.050001
Sweden,1916,40.270001
Sweden,1919,23.469999
Sweden,1920,19.36
Sweden,1930,19.73
Sweden,1934,17.15
Sweden,1935,17.68
Sweden,1941,14.78
Sweden,1943,15.000001
Sweden,1944,14.42
Sweden,1945,14.040001
Sweden,1946,14.5
Sweden,1947,12.43
Sweden,1948,11.42
Sweden,1949,11.07
Sweden,1950,11.01
Sweden,1951,10.66
Sweden,1952,9.8899998
Sweden,1953,10.03
Sweden,1954,10.03
Sweden,1955,9.8499998
Sweden,1956,9.6600004
Sweden,1957,9.8899998
Sweden,1958,9.8899998
Sweden,1959,10.16
Sweden,1960,9.9200003
Sweden,1961,9.8300003
Sweden,1962,9.64
Sweden,1963,9.6299998
Sweden,1964,9.4300002
Sweden,1965,9.3900003
Sweden,1966,9.2
Sweden,1967,9.4999999
Sweden,1968,9.6000001
Sweden,1969,9.4300002
Sweden,1970,9.0700001
Sweden,1971,8.5100003
Sweden,1972,8.3400004
Sweden,1973,8.2699999
Sweden,1974,8.1500001
Sweden,1975,7.7600002
Sweden,1976,7.2800003
Sweden,1977,6.8499997
Sweden,1978,6.5399997
Sweden,1979,6.2100001
Sweden,1980,5.9300002
Sweden,1981,6.03
Sweden,1982,6.8700001
Sweden,1983,7.1800001
Sweden,1984,8.2500003
Sweden,1985,8.0499999
Sweden,1986,7.8400001
Sweden,1987,7.9099998
Sweden,1988,8.4799998
Sweden,1989,7.9499997
Sweden,1990,6.6200003
Sweden,1991,6.69
Sweden,1992,6.5499999
Sweden,1993,7.3299997
Sweden,1994,9.3800001
Sweden,1995,10.13
Sweden,1996,9.2399999
Sweden,1997,10.01
Sweden,1998,10.13
Sweden,1999,10.33
Sweden,2000,8.6800002
Sweden,2001,7.7600002
Sweden,2002,8.1
Sweden,2003,9.3099996
Sweden,2004,9.8099999
Sweden,2005,10.4
Sweden,2006,11.54
Sweden,2007,11.25
Sweden,2008,10.44
Sweden,2009,8.6499996
Sweden,2010,9.99
Sweden,2011,9.3400002
Sweden,2012,8.9599997
Sweden,2013,8.9100003
Sweden,2014,8.89
Sweden,2015,9.3900003
Sweden,2016,8.5199997
Sweden,2017,9.0300001
