Entity,Year,Nuclear (BP Statistics (2016))
Middle East,2004,0
Middle East,2005,0
Middle East,2006,0
Middle East,2007,0
Middle East,2008,0
Middle East,2009,0
Middle East,2010,0
Middle East,2011,0.023337295
Middle East,2012,0.316382553
Middle East,2013,0.927410961
Middle East,2014,0.986082893
Middle East,2015,0.802597638
North America,1965,0.899931403
North America,1966,1.353674826
North America,1967,1.85797167
North America,1968,3.191792884
North America,1969,3.437091722
North America,1970,5.428123846
North America,1971,9.980903373
North America,1972,14.4006577
North America,1973,23.11949526
North America,1974,30.29322885
North America,1975,43.75799599
North America,1976,49.11585572
North America,1977,65.81245253
North America,1978,73.28686446
North America,1979,68.27381855
North America,1980,67.89678083
North America,1981,73.10154025
North America,1982,76.02814068
North America,1983,80.95027128
North America,1984,89.85315889
North America,1985,105.0850971
North America,1986,114.7463553
North America,1987,125.9232452
North America,1988,144.2706924
North America,1989,144.115392
North America,1990,154.4602706
North America,1991,165.9471707
North America,1992,166.3767814
North America,1993,167.5856598
North America,1994,177.7331824
North America,1995,184.2906331
North America,1996,183.3376635
North America,1997,170.6444682
North America,1998,178.6251083
North America,1999,192.2362334
North America,2000,197.7847
North America,2001,202.3309207
North America,2002,204.9756275
North America,2003,201.1255862
North America,2004,210.2053924
North America,2005,209.3832756
North America,2006,211.9746108
North America,2007,215.4434972
North America,2008,215.8204918
North America,2009,212.8944377
North America,2010,213.9085724
North America,2011,211.5267655
North America,2012,206.5426259
North America,2013,213.8444085
North America,2014,216.2576881
North America,2015,216.0799194
