Entity,Year,age-standardized_death_rate_per_100k_both_sexes,age-standardized_death_rate_per_100k_female,age-standardized_death_rate_per_100k_male
Austria,1966,26.99,7.0,56.58
Austria,1967,26.83,6.92,56.44
Austria,1968,27.81,7.27,58.89
Austria,1969,27.08,7.12,57.28
Austria,1970,26.16,6.51,56.04
Austria,1971,26.54,7.42,56.14
Austria,1972,26.99,7.17,57.6
Austria,1973,27.49,7.41,58.76
Austria,1974,27.18,7.93,57.33
Austria,1975,27.08,7.65,57.71
Austria,1976,26.76,7.43,57.28
Austria,1977,27.08,7.67,57.9
Austria,1978,26.59,8.01,56.27
Austria,1979,27.48,8.08,58.39
Austria,1980,27.16,8.35,57.32
Austria,1981,26.65,8.42,55.77
Austria,1982,26.43,9.3,54.28
Austria,1983,26.83,8.97,55.5
Austria,1984,28.41,10.1,57.49
Austria,1985,26.63,9.18,54.35
Austria,1986,26.36,9.14,53.53
Austria,1987,26.86,10.23,53.12
Austria,1988,26.89,10.71,52.29
Austria,1989,26.55,9.75,52.14
Austria,1990,26.56,9.98,51.95
Austria,1991,27.4,10.97,52.22
Austria,1992,26.28,10.62,49.73
Austria,1993,27.3,10.97,51.76
Austria,1994,26.23,11.68,47.64
Austria,1995,25.63,11.02,46.88
Austria,1996,26.18,11.75,47.1
Austria,1997,25.99,12.35,45.47
Austria,1998,26.18,12.28,46.04
Austria,1999,25.38,12.47,43.22
Austria,2000,25.32,13.1,42.13
Austria,2001,24.31,12.12,40.82
Austria,2002,25.41,13.41,42.02
Austria,2003,24.31,12.74,40.04
Austria,2004,24.61,13.67,39.06
Austria,2005,23.86,12.95,38.21
Austria,2006,23.85,13.1,37.83
Austria,2007,23.71,14.74,35.41
Austria,2008,24.36,14.75,36.83
Austria,2009,23.94,14.43,35.96
Austria,2010,24.0,14.98,35.25
Austria,2011,23.36,15.37,33.43
Austria,2012,23.38,15.82,32.92
Austria,2013,22.99,14.87,33.11
Austria,2014,23.74,16.63,32.69
Austria,2015,23.06,16.54,31.2
Austria,2016,23.11,16.86,30.9
Austria,2017,22.1,15.82,29.96
Austria,2018,22.67,16.31,30.36
Austria,2019,21.81,17.0,27.79
Austria,2020,21.49,16.04,28.04
Azerbaijan,1981,17.96,4.92,38.43
Azerbaijan,1982,18.45,5.95,37.75
Azerbaijan,1985,17.07,4.94,35.13
Azerbaijan,1986,19.32,5.38,39.75
Azerbaijan,1987,20.02,6.11,40.46
Azerbaijan,1988,18.97,5.9,37.46
Azerbaijan,1989,17.62,5.22,35.06
Azerbaijan,1990,14.81,4.76,28.79
Azerbaijan,1991,15.71,5.14,30.37
Azerbaijan,1992,16.19,5.19,30.84
Azerbaijan,1993,14.62,4.59,28.03
Azerbaijan,1994,13.17,4.81,24.07
Azerbaijan,1995,12.06,3.42,23.15
Azerbaijan,1996,12.85,3.88,24.36
Azerbaijan,1997,13.34,4.2,25.39
Azerbaijan,1998,11.76,3.74,22.37
Azerbaijan,1999,12.99,4.34,24.77
Azerbaijan,2000,12.07,4.21,21.9
Azerbaijan,2001,12.74,4.39,22.95
Azerbaijan,2002,13.15,5.11,23.17
Azerbaijan,2003,14.03,4.89,25.56
Azerbaijan,2004,13.47,5.0,23.82
Azerbaijan,2007,7.54,2.98,13.08
Bahamas,1972,11.41,6.56,16.96
Bahamas,1975,10.64,11.62,8.59
Bahamas,1979,8.41,4.33,14.1
Bahamas,1980,15.83,0.69,34.89
Bahamas,1981,12.28,1.16,25.4
Bahamas,1984,20.77,9.27,34.66
Bahamas,1985,16.93,10.98,23.95
Bahamas,1987,20.64,14.63,27.24
Bahamas,1993,10.46,5.26,17.08
Bahamas,1994,13.95,4.84,25.21
Bahamas,1995,16.51,7.08,28.17
Bahamas,1996,12.53,5.33,21.66
Bahamas,1997,11.36,3.96,20.92
Bahamas,1998,11.92,5.82,18.77
Bahamas,1999,11.07,7.08,16.23
Bahamas,2000,11.22,7.75,14.97
Bahamas,2001,8.45,5.42,12.52
Bahamas,2002,9.65,1.54,20.33
Bahamas,2003,14.64,6.2,25.6
Bahamas,2004,6.44,1.59,12.49
Bahamas,2005,11.32,6.37,18.27
Bahamas,2006,9.33,5.03,14.84
Bahamas,2007,9.65,4.03,16.27
Bahamas,2008,10.63,4.7,18.42
Bahamas,2009,11.32,7.52,15.99
Bahamas,2010,12.56,7.94,17.98
Bahamas,2011,11.84,5.58,19.75
Bahamas,2012,8.01,4.65,12.49
Bahamas,2013,7.61,5.69,10.23
Bahamas,2014,6.39,3.96,9.24
Bahamas,2015,8.23,4.88,12.23
Bahrain,1985,33.93,17.34,49.25
Bahrain,1987,29.62,11.38,45.38
Bahrain,1988,27.98,14.44,38.01
Bahrain,1997,20.95,5.83,34.83
Bahrain,1998,25.94,13.53,37.44
Bahrain,1999,20.38,10.63,29.7
Bahrain,2000,19.33,12.23,25.54
Bahrain,2001,21.93,7.42,36.16
Bahrain,2002,23.84,6.39,40.45
Bahrain,2003,20.45,12.17,28.51
Bahrain,2004,18.86,10.28,27.12
Bahrain,2005,12.32,10.07,15.2
Bahrain,2006,12.25,7.77,16.8
Bahrain,2007,10.46,5.18,15.84
Bahrain,2008,13.31,10.76,15.55
Bahrain,2009,9.62,6.64,12.36
Bahrain,2010,11.51,6.6,16.68
Bahrain,2011,10.72,6.68,14.77
Bahrain,2012,8.71,4.0,13.47
Bahrain,2013,7.4,5.54,9.79
Bahrain,2014,4.63,1.22,7.68
Barbados,1960,5.84,3.2,9.89
Barbados,1961,7.89,4.98,15.06
Barbados,1962,6.26,5.36,8.6
Barbados,1963,7.72,6.26,10.45
Barbados,1964,6.16,3.56,10.53
Barbados,1966,2.8,0.0,9.01
Barbados,1967,5.37,2.02,13.71
Barbados,1968,5.11,2.63,8.09
Barbados,1969,6.73,5.6,9.39
Barbados,1970,5.75,2.76,10.61
Barbados,1971,6.62,1.38,14.75
Barbados,1972,3.55,0.62,7.27
Barbados,1973,6.83,3.16,11.58
Barbados,1974,8.29,2.56,16.38
Barbados,1975,10.72,6.37,16.66
Barbados,1976,7.94,4.11,12.96
Barbados,1977,6.94,3.64,11.42
Barbados,1978,11.25,4.31,22.03
Barbados,1979,6.32,4.9,8.49
Barbados,1980,9.98,3.88,17.86
Barbados,1981,11.6,4.28,22.73
Barbados,1982,8.81,5.32,14.48
Barbados,1983,8.15,4.05,15.79
Barbados,1984,9.08,1.91,18.74
Barbados,1985,8.88,5.49,13.83
Barbados,1986,9.16,3.39,18.21
Barbados,1987,8.82,5.01,14.95
Barbados,1988,8.37,3.25,15.95
Barbados,1989,8.57,3.76,15.76
Barbados,1990,8.02,1.97,16.84
Barbados,1991,8.18,5.39,12.63
Barbados,1992,10.31,6.23,16.67
Barbados,1993,10.63,3.93,20.56
Barbados,1994,6.61,2.24,13.27
Barbados,1995,7.58,4.11,13.1
Barbados,2000,5.87,2.56,9.71
Barbados,2001,3.79,1.46,6.88
Barbados,2002,5.85,4.94,7.16
Barbados,2003,6.87,3.37,11.6
Barbados,2004,5.29,2.02,9.7
Barbados,2005,6.7,5.05,9.14
Barbados,2006,4.02,0.81,8.17
Barbados,2007,4.42,2.11,7.53
Barbados,2008,4.92,1.9,8.91
Barbados,2009,6.86,4.97,9.08
Barbados,2010,6.56,5.52,7.84
Barbados,2011,6.85,6.56,6.99
Barbados,2012,7.76,4.25,11.81
Barbados,2013,5.86,4.06,7.95
Belarus,1981,17.54,4.25,40.29
Belarus,1982,18.57,4.18,43.21
Belarus,1985,22.5,4.79,51.48
Belarus,1986,22.77,4.76,52.51
Belarus,1987,24.63,5.61,55.21
Belarus,1988,24.59,4.96,56.4
Belarus,1989,26.78,5.19,61.17
Belarus,1990,26.66,5.08,60.75
Belarus,1991,27.34,5.74,61.36
Belarus,1992,28.68,5.62,64.75
Belarus,1993,29.35,5.49,65.86
Belarus,1994,28.7,4.87,65.5
Belarus,1995,29.27,4.9,66.92
Belarus,1996,28.1,4.64,64.29
Belarus,1997,28.81,5.08,65.49
Belarus,1998,27.71,4.7,64.05
Belarus,1999,26.96,4.13,62.52
Belarus,2000,26.53,4.33,60.77
Belarus,2001,26.15,4.23,60.32
Belarus,2002,25.93,4.23,59.8
Belarus,2003,25.32,4.01,59.06
Belarus,2007,22.75,3.96,52.7
Belarus,2008,22.83,3.97,52.93
Belarus,2009,22.2,3.82,51.23
Belarus,2010,22.51,4.16,51.76
Belarus,2011,21.66,3.91,49.76
Belarus,2013,19.04,3.62,43.5
Belarus,2014,19.25,3.52,43.77
Belarus,2018,19.58,3.79,44.52
Belgium,1954,15.34,3.97,28.55
Belgium,1955,15.86,4.19,29.37
Belgium,1956,16.91,3.54,32.48
Belgium,1957,17.6,4.2,33.26
Belgium,1958,18.19,4.28,34.48
Belgium,1959,18.96,4.04,36.56
Belgium,1960,21.17,4.28,41.16
Belgium,1961,22.39,4.71,43.57
Belgium,1962,23.52,5.03,45.63
Belgium,1963,24.47,4.69,48.19
Belgium,1964,25.46,5.22,49.9
Belgium,1965,27.43,5.01,54.72
Belgium,1966,27.05,4.6,54.65
Belgium,1967,28.58,5.38,57.11
Belgium,1968,29.3,5.14,59.23
Belgium,1969,29.75,5.19,60.38
Belgium,1970,31.21,4.94,64.17
Belgium,1971,33.89,5.12,70.26
Belgium,1972,35.34,5.81,72.99
Belgium,1973,36.23,6.48,74.41
Belgium,1974,35.76,6.07,73.74
Belgium,1975,36.71,6.52,76.01
Belgium,1976,37.66,6.39,78.4
Belgium,1977,40.59,6.79,84.92
Belgium,1978,41.14,6.45,87.11
Belgium,1979,40.88,6.61,86.52
Belgium,1980,41.85,6.93,88.33
Belgium,1981,42.38,7.59,89.28
Belgium,1982,41.24,7.14,87.24
Belgium,1983,42.95,7.2,91.77
Belgium,1984,42.56,7.16,90.36
Belgium,1985,43.39,8.02,91.04
Belgium,1986,42.25,8.43,88.0
Belgium,1987,41.74,8.3,87.23
Belgium,1988,42.1,8.44,88.31
Belgium,1989,40.11,8.59,83.0
Belgium,1990,40.32,9.28,82.76
Belgium,1991,39.75,9.56,81.29
Belgium,1992,40.67,10.31,81.95
Belgium,1993,40.63,10.23,82.04
Belgium,1994,39.83,10.76,79.18
Belgium,1995,40.57,10.82,80.54
Belgium,1996,38.36,10.63,75.47
Belgium,1997,39.85,11.7,77.31
Belgium,1998,36.81,11.17,70.76
Belgium,1999,34.92,11.03,66.63
Belgium,2000,35.12,11.91,65.85
Belgium,2001,35.09,11.63,65.66
Belgium,2002,34.09,12.03,63.01
Belgium,2003,33.48,12.63,60.73
Belgium,2004,32.44,13.04,57.91
Belgium,2005,33.87,14.28,59.55
Belgium,2006,33.51,14.73,57.85
Belgium,2007,32.72,14.82,55.74
Belgium,2008,33.3,15.51,55.97
Belgium,2009,32.25,15.14,53.9
Belgium,2010,32.98,16.69,53.78
Belgium,2011,32.45,17.52,51.6
Belgium,2012,30.09,16.22,47.67
Belgium,2013,30.37,17.37,46.68
Belgium,2014,29.98,17.17,45.87
Belgium,2015,28.47,17.23,42.41
Belgium,2016,27.83,16.77,41.58
Belgium,2017,25.31,15.61,37.24
Belgium,2018,24.9,15.87,36.08
Belize,1964,10.48,10.17,10.81
Belize,1965,10.07,12.53,7.0
Belize,1966,11.61,10.28,13.05
Belize,1967,0.0,0.0,0.0
Belize,1968,4.47,0.0,9.25
Belize,1969,7.14,2.55,11.84
Belize,1970,4.41,0.0,9.15
Belize,1971,1.34,2.67,0.0
Belize,1972,9.71,5.69,13.62
Belize,1973,7.02,8.62,5.35
Belize,1974,0.0,0.0,0.0
Belize,1975,2.66,2.69,2.69
Belize,1976,2.51,0.0,5.08
Belize,1977,4.81,2.21,7.29
Belize,1978,5.57,0.0,11.29
Belize,1979,1.17,0.0,1.68
Belize,1980,1.42,2.67,0.0
Belize,1982,9.87,5.92,14.85
Belize,1983,4.24,2.69,5.98
Belize,1984,14.5,5.52,26.7
Belize,1986,4.96,3.26,6.66
Belize,1987,8.01,2.13,13.87
Belize,1989,6.39,1.81,11.24
Belize,1990,7.92,5.3,10.56
Belize,1991,1.95,0.0,4.0
Belize,1993,10.24,4.02,16.71
Belize,1994,8.51,5.41,11.49
Belize,1995,9.56,0.0,19.41
Belize,1996,10.25,3.83,17.3
Belize,1997,12.24,5.24,19.86
Belize,1998,11.45,1.77,21.33
Belize,1999,13.16,1.89,25.51
Belize,2000,11.81,8.08,15.78
Belize,2001,12.51,4.74,20.51
Belize,2002,19.83,8.02,32.32
Belize,2003,10.2,3.16,17.74
Belize,2004,9.13,3.16,15.59
Belize,2005,18.4,9.03,28.64
Belize,2006,16.0,14.11,17.88
Belize,2007,13.22,7.15,19.45
Belize,2008,12.81,8.73,16.49
Belize,2009,9.14,7.34,10.83
Belize,2010,8.99,7.58,10.39
Belize,2011,12.01,3.07,20.5
Belize,2012,8.23,5.02,11.16
Belize,2013,8.34,3.4,12.99
Belize,2014,7.78,2.98,12.17
Belize,2015,11.61,7.83,15.23
Belize,2016,8.55,2.94,13.88
Bosnia and Herzegovina,1985,30.74,10.09,58.31
Bosnia and Herzegovina,1986,29.33,9.85,55.42
Bosnia and Herzegovina,1987,30.78,10.73,57.44
Bosnia and Herzegovina,1988,32.04,8.58,62.94
Bosnia and Herzegovina,1989,32.9,8.72,64.9
Bosnia and Herzegovina,1990,31.19,8.28,61.3
Bosnia and Herzegovina,1991,34.01,10.33,64.49
Bosnia and Herzegovina,2011,29.98,10.69,53.74
Bosnia and Herzegovina,2014,28.56,11.04,50.32
Bosnia and Herzegovina,2016,29.79,13.4,50.49
Bosnia and Herzegovina,2017,28.8,13.44,48.07
Bosnia and Herzegovina,2018,29.01,12.31,49.58
Bosnia and Herzegovina,2019,29.86,14.39,49.13
Bosnia and Herzegovina,2020,27.03,12.09,45.76
Brazil,1979,8.94,4.09,14.12
Brazil,1980,9.59,4.4,15.14
Brazil,1981,9.64,4.26,15.39
Brazil,1982,10.22,4.51,16.32
Brazil,1983,10.14,4.53,16.15
Brazil,1984,10.26,4.61,16.33
Brazil,1985,10.44,4.83,16.49
Brazil,1986,10.56,4.66,17.35
Brazil,1987,11.4,5.41,18.42
Brazil,1988,11.81,5.57,19.16
Brazil,1989,11.57,5.34,18.93
Brazil,1990,11.73,5.58,19.06
Brazil,1991,11.82,5.82,18.97
Brazil,1992,12.01,5.92,19.28
Brazil,1993,11.77,5.75,18.98
Brazil,1994,12.1,6.09,19.33
Brazil,1995,12.11,6.22,19.29
Brazil,1996,12.01,6.24,18.98
Brazil,1997,12.3,6.51,19.38
Brazil,1998,12.1,6.44,19.01
Brazil,1999,12.16,6.73,18.83
Brazil,2000,12.32,6.95,19.04
Brazil,2001,12.26,6.95,18.88
Brazil,2002,12.17,6.89,18.77
Brazil,2003,12.33,7.3,18.66
Brazil,2004,12.67,7.52,19.16
Brazil,2005,12.65,7.63,19.06
Brazil,2006,12.6,7.98,18.52
Brazil,2007,12.89,8.22,18.9
Brazil,2008,12.89,8.41,18.66
Brazil,2009,12.72,8.42,18.26
Brazil,2010,12.75,8.57,18.19
Brazil,2011,12.56,8.78,17.54
Brazil,2012,12.69,8.95,17.6
Brazil,2013,12.75,9.04,17.62
Brazil,2014,12.76,9.28,17.34
Brazil,2015,12.81,9.52,17.18
Brazil,2016,12.7,9.44,17.03
Brazil,2017,12.53,9.51,16.56
Brazil,2018,12.42,9.59,16.19
Brazil,2019,12.06,9.34,15.65
Brunei,1996,22.61,15.04,29.84
Brunei,1997,20.12,23.15,18.48
Brunei,1998,26.29,19.85,32.1
Brunei,1999,25.54,28.73,22.51
Brunei,2000,35.11,33.86,36.3
Brunei,2001,29.57,29.51,29.66
Brunei,2002,35.08,36.02,33.95
Brunei,2003,24.88,16.02,35.97
Brunei,2004,28.02,24.44,32.5
Brunei,2005,34.27,19.68,48.47
Brunei,2006,22.51,19.69,25.63
Brunei,2007,30.97,26.03,36.56
Brunei,2008,28.91,22.31,36.02
Brunei,2009,19.34,15.3,23.53
Brunei,2010,22.8,18.38,27.53
Brunei,2011,23.69,19.53,28.86
Brunei,2012,21.19,19.72,22.98
Brunei,2013,28.88,25.7,32.01
Brunei,2014,27.25,23.07,31.64
Brunei,2015,21.25,20.33,21.23
Brunei,2016,19.45,13.87,25.33
Brunei,2017,18.94,14.51,25.02
Brunei,2018,16.22,16.39,15.9
Brunei,2019,20.38,21.6,19.15
Bulgaria,1964,23.07,8.79,39.13
Bulgaria,1965,23.05,7.38,40.87
Bulgaria,1966,23.49,7.38,41.47
Bulgaria,1967,22.6,7.77,39.17
Bulgaria,1968,22.55,7.29,39.59
Bulgaria,1969,22.0,7.07,38.74
Bulgaria,1970,20.87,6.66,36.54
Bulgaria,1971,22.55,6.45,40.42
Bulgaria,1972,22.32,7.11,39.2
Bulgaria,1973,23.36,7.19,41.12
Bulgaria,1974,22.48,7.07,39.46
Bulgaria,1975,21.37,6.42,37.8
Bulgaria,1976,21.77,6.56,38.63
Bulgaria,1977,22.12,6.95,38.85
Bulgaria,1978,21.21,6.07,37.91
Bulgaria,1979,22.69,7.11,39.82
Bulgaria,1980,20.78,6.39,36.63
Bulgaria,1981,22.46,6.44,40.07
Bulgaria,1982,22.8,5.86,41.52
Bulgaria,1983,24.13,6.99,43.21
Bulgaria,1984,24.44,7.5,43.23
Bulgaria,1985,23.71,7.61,41.39
Bulgaria,1986,24.15,7.12,42.9
Bulgaria,1987,24.66,7.3,44.06
Bulgaria,1988,24.03,6.95,43.14
Bulgaria,1989,24.44,6.68,44.39
Bulgaria,1990,23.84,6.44,43.45
Bulgaria,1991,24.2,7.64,42.77
Bulgaria,1992,25.36,7.09,46.04
Bulgaria,1993,25.38,7.55,45.65
Bulgaria,1994,25.89,7.46,46.79
Bulgaria,1995,25.61,7.98,45.83
Bulgaria,1996,25.16,7.63,45.28
Bulgaria,1997,23.93,6.86,43.61
Bulgaria,1998,23.09,7.11,41.8
Bulgaria,1999,23.91,7.58,43.0
Bulgaria,2000,22.39,7.19,40.38
Bulgaria,2001,22.51,7.03,40.88
Bulgaria,2002,23.45,7.01,42.84
Bulgaria,2003,24.02,6.95,44.29
Bulgaria,2004,24.01,7.44,43.94
Bulgaria,2005,26.51,8.8,48.0
