Entity,Year,Mean monthly per capita expenditure in 2011 int-$ (PovcalNet 2017),Median monthly per capita expenditure in 2011 int-$ (PovcalNet 2017)
Bolivia,2000,239.01,124.87
Bolivia,2001,250.91,139.12
Bolivia,2002,248.61,134.21
Bolivia,2004,278.07,157.31
Bolivia,2005,276.65,145.79
Bolivia,2006,298.32,168.19
Bolivia,2007,298.75,173.68
Bolivia,2008,315.34,202.52
Bolivia,2009,329.54,226.08
Bolivia,2011,362.55,257.23
Bolivia,2012,368.53,266.51
Bolivia,2013,407.46,282.98
Bolivia,2014,416.29,285.15
Bolivia (Urban),1992,197.26,121.95
Bosnia and Herzegovina,2001,367.48,311.63
Bosnia and Herzegovina,2004,555.11,449.33
Bosnia and Herzegovina,2007,615.3200000000001,506.87
Bosnia and Herzegovina,2011,605.42,498.5
Botswana,1986,122.48,69.26000000000001
Botswana,1993,174.25,84.20999999999999
Botswana,2003,252.13,97.04000000000001
Botswana,2009,290.39,136.05
Brazil,1981,224.92,116.41
Brazil,1982,236.85,121.14
Brazil,1983,194.63,96.77
Brazil,1984,194.22,97.83
Brazil,1985,209.21,113.7
Brazil,1986,410.4,209.13
Brazil,1987,306.58,151.8
Brazil,1988,283.29,133.37
Brazil,1989,327.69,143.06
Brazil,1990,292.44,140.31
Brazil,1992,224.38,135.97
Brazil,1993,281.29,139.29
Brazil,1995,377.02,184.99
Brazil,1996,379.06,187.83
Brazil,1997,374.68,185.77
Brazil,1998,386.1,192.67
Brazil,1999,362.09,185.22
Brazil,2001,367.94,186.27
Brazil,2002,373.71,191.76
Brazil,2003,356.96,187.36
Brazil,2004,361.99,195.21
Brazil,2005,381.56,207.54
Brazil,2006,412.62,228.89
Brazil,2007,425.41,245.33
Brazil,2008,450.91,264.02
Brazil,2009,461.59,274.39
Brazil,2011,492.15,300.12
Brazil,2012,531.14,329.73
Brazil,2013,556.11,346.1
Brazil,2014,563.5700000000001,358.68
Bulgaria,1989,713.47,650.55
Bulgaria,1992,606.6,517.17
Bulgaria,1994,411.87,372.67
Bulgaria,1995,389.9,309.64
Bulgaria,1997,214.37,185.72
Bulgaria,2001,302.72,259.85
Bulgaria,2003,284.06,244.59
Bulgaria,2006,315.74,268.05
Bulgaria,2007,377.64,337.18
Bulgaria,2008,491.58,413.75
Bulgaria,2009,512.98,436.42
Bulgaria,2010,491.23,411.44
Bulgaria,2011,455.16,389.08
Bulgaria,2012,478.49,396.66
Burkina Faso,1994,40.81,24.48
Burkina Faso,1998,49.31,29.76
Burkina Faso,2003,71.8,48.41
Burkina Faso,2009,72.56999999999999,52.52
Burkina Faso,2014,83.83,62.61
Burundi,1992,42.8,34.76
Burundi,1999,39.29,29.77
Burundi,2006,47.74,36.41
Cambodia,1994,103.18,73.23
Cambodia,2004,118.97,89.92
Cambodia,2007,139.49,95.59
Cambodia,2008,143.1,109.35
Cambodia,2009,165.72,127.86
Cambodia,2010,162.44,125.85
Cambodia,2011,157.27,124.57
Cambodia,2012,166.34,135.47
Cameroon,1996,92.88,59.39
Cameroon,2001,131.46,92.89
Cameroon,2007,124.21,85.84
Cameroon,2014,160.24,108.68
Canada,1981,1271.74,1075.97
Canada,1987,1309.02,1115.28
Canada,1991,1317.58,1129.13
Canada,1994,1341.92,1158
Canada,1997,1345.44,1165.71
Canada,1998,1382.76,1168.41
Canada,2000,1403.98,1186.55
Canada,2004,1515.86,1269.94
Canada,2007,1664.36,1377.99
Canada,2010,1700.77,1426.86
Cape Verde,2002,219.03,126.62
Cape Verde,2007,243.33,157.11
Central African Republic,1992,35.6,16.74
Central African Republic,2003,60.06,42.25
Central African Republic,2008,73.72,40.64
Chad,2003,61.01,44.88
Chad,2011,98.14,73.05
Chile,1987,348.39,182.49
Chile,1990,361.7,184.46
Chile,1992,385.51,208.61
Chile,1994,432.5,226.52
Chile,1996,468.27,253.73
Chile,1998,502.2,269.33
Chile,2000,503.3,270.14
Chile,2003,511.52,283.04
Chile,2006,551.86,323.4
Chile,2009,612.63,356.49
Chile,2011,634.4400000000001,371.92
Chile,2013,720.4,430.86
China,1981,34.64,
China,1984,45.98,
China,1987,56.71,
China,1990,56.11,
China,1993,65.38,
China,1996,82.8,
China,1999,91.04000000000001,
China,2002,115.59,
China,2005,150.35,
China,2008,186.52,0
China,2010,218.54,
China,2011,234.47,
China,2012,255.91,0
China,2013,287.7,
China (Rural),1981,29.2,26.65
China (Rural),1984,40.71,36.12
China (Rural),1987,49.83,43.41
China (Rural),1990,47.69,39.82
China (Rural),1993,51.57,42.25
China (Rural),1996,67.34,53.83
China (Rural),1999,67.62000000000001,52.76
China (Rural),2002,78.37000000000001,58.86
China (Rural),2005,100.33,78.77
China (Rural),2008,117.34,87.23
China (Rural),2010,132.59,96.11
China (Rural),2011,143.29,108.55
China (Rural),2012,158.17,118.03
China (Rural),2013,190.41,154.41
China (Urban),1981,56.23,53.54
China (Urban),1984,64.47,61.29
China (Urban),1987,78.20999999999999,73.8
China (Urban),1990,79.53,71.65000000000001
China (Urban),1993,99.04000000000001,86.23
China (Urban),1996,115.77,99.81
China (Urban),1999,134.8,113.79
China (Urban),2002,175.23,144.03
China (Urban),2005,217.97,176.34
China (Urban),2008,266,214.06
China (Urban),2010,307.2,244.34
China (Urban),2011,323.59,257.34
China (Urban),2012,346.53,276.79
China (Urban),2013,373.4,296.16
Colombia,1992,308.31,187.14
Colombia,1996,281.61,158.48
Colombia,1999,264.41,143.31
Colombia,2000,294.8,157.4
Colombia,2001,233.31,127.68
Colombia,2002,310.42,157.77
Colombia,2003,285.27,161.93
Colombia,2004,303.59,162.05
Colombia,2005,320.57,177.47
Colombia,2008,351.95,195.25
Colombia,2009,370.97,205.2
Colombia,2010,395.34,216.69
Colombia,2011,414.26,237.69
Colombia,2012,405.23,239.19
Colombia,2013,435.55,256.07
Colombia,2014,450.73,264.68
Colombia (Urban),1988,303.78,182.56
Colombia (Urban),1989,309.9,181.97
Colombia (Urban),1991,313.48,195.52
Comoros,2004,246.86,132.18
Congo,2005,90.06999999999999,57.49
Congo,2011,117.41,76.20999999999999
Costa Rica,1981,118.24,83.01000000000001
Costa Rica,1986,179.86,162.09
Costa Rica,1989,268.56,194.93
Costa Rica,1990,286.22,207.16
Costa Rica,1991,262.53,187.43
Costa Rica,1992,278.94,197.78
Costa Rica,1993,323.16,227.76
Costa Rica,1994,365.06,253.63
Costa Rica,1995,348.32,246.51
Costa Rica,1996,329.99,229.87
Costa Rica,1997,348.19,246.12
Costa Rica,1998,391.28,271.01
Costa Rica,1999,381.17,257.06
Costa Rica,2000,377.66,256.87
Costa Rica,2001,451.09,287.51
Costa Rica,2002,446.94,283.55
Costa Rica,2003,458.79,293.01
Costa Rica,2004,430.98,281.67
Costa Rica,2005,450,296.5
Costa Rica,2006,467.97,300.06
Costa Rica,2007,534.71,337.86
Costa Rica,2008,542.71,344
Costa Rica,2009,585.9,356.25
Costa Rica,2010,618.68,396.24
Costa Rica,2011,635.87,406.72
Costa Rica,2012,661.3,421.36
Costa Rica,2013,678.96,421.15
Costa Rica,2014,676.06,428.34
Cote d'Ivoire,1985,268.58,183.1
Cote d'Ivoire,1986,222.64,167.74
Cote d'Ivoire,1987,203.48,149.39
Cote d'Ivoire,1988,160.79,122.58
Cote d'Ivoire,1993,129.64,98.3
Cote d'Ivoire,1995,134.71,99.01000000000001
Cote d'Ivoire,1998,116.94,87.09
Cote d'Ivoire,2002,124.4,88.02
Cote d'Ivoire,2008,119.31,85.09
Croatia,1988,629.58,586.37
Croatia,1998,990.5700000000001,857.17
Croatia,1999,498.04,436.49
Croatia,2000,559.87,469.61
Croatia,2001,528.49,445.99
Croatia,2004,828.61,706.15
Croatia,2008,819.21,657.37
Croatia,2009,805.92,653.1900000000001
Croatia,2010,674.51,595.4
Croatia,2011,551.59,480.92
Croatia,2012,524.49,449.6
Cyprus,2004,770.88,653.55
Cyprus,2005,823.1,692.16
Cyprus,2006,902.46,750.37
Cyprus,2007,904.18,754.51
Cyprus,2008,884.26,732.9500000000001
Cyprus,2009,874.21,715.73
Cyprus,2010,888.36,730.91
Cyprus,2011,884.27,713.21
Cyprus,2012,835.13,659.6900000000001
Czech Republic,1988,584.18,547.66
Czech Republic,1993,512.4,435.68
Czech Republic,1996,592.23,518.13
Czech Republic,2004,688.66,607.1
Czech Republic,2005,707.17,628.04
Czech Republic,2006,746.21,660.31
Czech Republic,2007,785.1,692.27
Czech Republic,2008,804.4,706.77
Czech Republic,2009,815.7000000000001,721.5700000000001
Czech Republic,2010,814.9400000000001,722.34
Czech Republic,2011,813.86,729.16
Czech Republic,2012,799.89,715.12
Democratic Republic of Congo,2005,22.98,16.33
Democratic Republic of Congo,2012,45.83,33.02
Denmark,2004,1379.19,1252.27
Denmark,2005,1397.97,1256.78
Denmark,2006,1436.96,1279.01
Denmark,2007,1468.72,1299.51
Denmark,2008,1415.95,1303.26
Denmark,2009,1456.47,1322.27
Denmark,2010,1508.69,1343.55
Denmark,2011,1487.56,1315.15
Denmark,2012,1492.02,1301.06
Djibouti,2002,134.17,100.64
Djibouti,2012,164.87,118.09
Djibouti,2013,147.67,106.7
Dominican Republic,1986,109.56,75.02
Dominican Republic,1989,125.12,77.83
Dominican Republic,1992,330.92,201.66
Dominican Republic,1996,366.21,245.94
Dominican Republic,1997,401.06,265.44
Dominican Republic,2000,434.62,261.2
Dominican Republic,2001,413.57,256.22
Dominican Republic,2002,399.24,252.71
Dominican Republic,2003,351.74,213.03
Dominican Republic,2004,298.94,179.42
Dominican Republic,2005,345.38,214.83
Dominican Republic,2006,389.99,231.41
Dominican Republic,2007,363.01,234.31
Dominican Republic,2008,357.62,226.86
Dominican Republic,2009,379.7,241.92
Dominican Republic,2010,372.21,245.39
Dominican Republic,2011,378.68,247.01
Dominican Republic,2012,359.45,239.31
Dominican Republic,2013,377.03,246.3
Ecuador,1987,179.87,119.04
Ecuador,1994,223.26,133.88
Ecuador,1998,209.5,126.46
Ecuador,1999,228.84,121.06
Ecuador,2000,176.13,97.55
Ecuador,2003,245.27,140.31
Ecuador,2004,258.34,150.77
Ecuador,2005,286.26,168.45
Ecuador,2006,317.87,188.33
Ecuador,2007,326.81,186.71
Ecuador,2008,305.75,191.46
Ecuador,2009,291.5,188.48
Ecuador,2010,318.86,204.86
Ecuador,2011,326.43,224.33
Ecuador,2012,342.9,235.53
Ecuador,2013,360.36,238.3
Ecuador,2014,361.21,248.5
Ecuador (Urban),1995,220.74,137.5
El Salvador,1989,211.9,
El Salvador,1991,217.24,132.94
El Salvador,1995,182.54,119.93
El Salvador,1996,182.95,115.53
El Salvador,1998,253.39,158.99
El Salvador,1999,264.53,167.67
El Salvador,2000,302.42,191.19
El Salvador,2001,290.57,184.1
El Salvador,2002,294.52,185.19
El Salvador,2003,254.27,169.02
El Salvador,2004,279.33,187.67
El Salvador,2005,281.51,187.31
El Salvador,2006,280.64,192.3
El Salvador,2007,300.69,204.11
El Salvador,2008,281.08,186.83
El Salvador,2009,283.4,194.73
El Salvador,2010,273.07,192.72
El Salvador,2011,270.43,194.14
El Salvador,2012,278.91,203.75
El Salvador,2013,308.44,218.82
El Salvador,2014,302.99,219.33
Estonia,1988,534.36,504.94
Estonia,1993,337.18,254.35
Estonia,1995,277.22,241.39
Estonia,1998,356.64,272.08
Estonia,2000,327.38,262.03
Estonia,2001,317.86,249.97
Estonia,2002,324.84,257.17
Estonia,2003,329.23,268.15
Estonia,2004,378.59,309.53
Estonia,2005,534.11,431.05
Estonia,2006,622.71,505.36
Estonia,2007,700.86,585.02
Estonia,2008,724.75,600.29
Estonia,2009,681.91,573.34
Estonia,2010,640.98,543.63
Estonia,2011,663.97,546.5700000000001
Estonia,2012,701.86,574.83
Ethiopia,1995,66.64,44.41
Ethiopia,2000,64.95,54.33
Ethiopia,2005,81.84,69.04000000000001
Ethiopia,2011,87.56,71.43000000000001
Ethiopia (Rural),1981,56.06,45.78
Fiji,2003,210.94,156.18
Fiji,2009,238.97,165.79
Finland,2004,1309.87,1118.65
Finland,2005,1350.92,1164.18
Finland,2006,1372,1183.15
Finland,2007,1423.14,1221.49
Finland,2008,1439.27,1238.32
Finland,2009,1467.41,1278.54
Finland,2010,1488.81,1290.01
Finland,2011,1497.47,1292.98
Finland,2012,1501.11,1306.37
France,2004,1324.05,1121.66
France,2005,1308.28,1115.93
France,2006,1288.57,1109.03
France,2007,1566.87,1280.2
France,2008,1581.82,1295.66
France,2010,1602.4,1306.45
France,2011,1610.71,1312.87
France,2012,1597.81,1313.09
Gabon,2005,210.08,149.29
Gambia,1998,56.72,36.36
Gambia,2003,97.16,62.45
Georgia,1996,230.26,186.5
Georgia,1997,160.48,121.18
Georgia,1998,161.71,124.61
Georgia,1999,139.66,108.17
Georgia,2000,134.54,103.34
Georgia,2001,128.64,98.65000000000001
Georgia,2002,147.15,113.62
Georgia,2003,146.04,112.74
Georgia,2004,152.6,119.26
Georgia,2005,156.86,120.34
Georgia,2006,162.2,124.65
Georgia,2007,155.31,117.56
Georgia,2008,162.35,123.81
Georgia,2009,164.45,120.18
Georgia,2010,155.88,117.24
Georgia,2011,158.82,121.48
Georgia,2012,167.24,126.43
Georgia,2013,184.84,141.14
Georgia,2014,200.07,152.61
Germany,2006,1594.19,1343.47
Germany,2007,1624.51,1354.3
Germany,2008,1595.46,1345.92
Germany,2009,1619.34,1357.47
Germany,2010,1603.79,1368.42
Germany,2011,1605.69,1376.05
Ghana,1988,83.02,67.43000000000001
Ghana,1989,85.26000000000001,68.09999999999999
Ghana,1992,79.28,60.38
Ghana,1998,104.51,77.75
Ghana,2006,131.42,95.69
Greece,2004,1007.65,852.1900000000001
Greece,2005,1017.68,848.86
Greece,2006,1029.08,860.9400000000001
Greece,2007,1054.9,898.51
Greece,2008,1071.99,905.93
Greece,2009,1093.27,932.28
Greece,2010,945.4,806.29
Greece,2011,779.23,680.15
Greece,2012,680.16,584.6900000000001
Guatemala,1987,106.04,56.43
Guatemala,1989,157.58,81.98
Guatemala,1998,293.55,
Guatemala,2000,321.35,182.77
Guatemala,2006,330.61,191.72
Guatemala,2011,261.71,156.03
Guatemala,2014,257.19,167.87
Guinea,1991,23.01,16.63
Guinea,1994,89.58,59.71
Guinea,2002,65.97,46.2
Guinea,2007,66,48.39
Guinea,2012,87.3,71.01000000000001
Guinea-Bissau,1991,118.19,
Guinea-Bissau,1993,62.57,44.25
Guinea-Bissau,2002,69.13,54.35
Guinea-Bissau,2010,69.18000000000001,42.2
Guyana,1993,127.66,
Guyana,1998,202.89,148.95
Haiti,2001,99.40000000000001,50.82
Haiti,2012,104.7,51.17
Honduras,1989,154.76,78.34
Honduras,1990,124.17,67.09
Honduras,1991,138.05,84.64
Honduras,1992,153.36,92.05
Honduras,1993,183.58,107.74
Honduras,1994,185.69,105.96
Honduras,1995,181.95,101.72
Honduras,1996,167.67,95.47
Honduras,1997,202.59,123.72
Honduras,1998,210.04,121.16
Honduras,1999,194.94,114.39
Honduras,2001,252.73,151.32
Honduras,2002,211.22,114.64
Honduras,2003,217.84,114.67
Honduras,2004,224.99,119.2
Honduras,2005,222.66,116.2
Honduras,2006,241.64,136.21
Honduras,2007,271.4,149.25
Honduras,2008,286.58,164.92
Honduras,2009,277.07,172.92
Honduras,2010,273.71,160.19
Honduras,2011,269.72,149.29
Honduras,2012,236.94,130.37
Honduras,2013,230.61,139.03
Honduras,2014,236.33,151.4
Honduras (Urban),1986,201.64,113.34
Hungary,1987,629.98,582.27
Hungary,1989,300.86,265.48
Hungary,1993,467.73,398.83
Hungary,1998,372.63,331.85
Hungary,1999,377.91,325.93
Hungary,2000,384.03,335.42
Hungary,2001,438.18,386.01
Hungary,2002,447.58,394.68
Hungary,2003,500.08,425.42
Hungary,2004,519.52,445.97
Hungary,2005,530.1900000000001,453.15
Hungary,2006,523.91,452.97
Hungary,2007,536.53,449.24
Hungary,2008,601.09,541.68
Hungary,2009,572.7000000000001,522.65
Hungary,2010,591.9,522.74
Hungary,2011,597.5700000000001,534.08
Hungary,2012,568.43,500.13
Iceland,2004,1413.48,1207.7
Iceland,2005,1470.67,1257.35
Iceland,2006,1692.55,1405.2
Iceland,2007,1785.1,1500.91
Iceland,2008,1860.34,1526.63
Iceland,2009,1561.98,1350.3
Iceland,2010,1384.01,1243.98
Iceland,2011,1384.22,1245.81
Iceland,2012,1413.36,1256.03
India,1983,67.55,
India,1988,77.3,
India,1994,75.34999999999999,
India,2005,86.93000000000001,
India,2010,96.39,
India,2012,111.83,0
India (Rural),1983,60.71,51.24
India (Rural),1988,70.23,58.26
India (Rural),1994,67.41,56.8
India (Rural),2005,76.22,62.16
India (Rural),2010,81.69,67.37000000000001
India (Rural),2012,95.84,77.59999999999999
India (Urban),1983,89.36,71.70999999999999
India (Urban),1988,98.72,76.38
India (Urban),1994,97.75,76.53
India (Urban),2005,113.28,85.29000000000001
India (Urban),2010,129.75,94.97
India (Urban),2012,146.66,107.46
Indonesia,1984,53.24,
Indonesia,1987,53.78,
Indonesia,1990,65.25,
Indonesia,1993,66.3,
Indonesia,1996,79.16,
Indonesia,1998,58.54,
Indonesia,1999,79.90000000000001,
Indonesia,2000,77,
Indonesia,2001,81.05,
Indonesia,2002,100.11,
Indonesia,2003,101.73,
Indonesia,2004,101.15,
Indonesia,2005,105.75,
Indonesia,2006,99.14,
Indonesia,2007,112.17,
Indonesia,2008,113.88,
Indonesia,2009,117.86,
Indonesia,2010,131.57,
Indonesia,2011,147.23,
Indonesia,2012,151.37,
Indonesia,2013,159.19,0
Indonesia,2014,163.97,
Indonesia (Rural),1984,46.37,39.66
Indonesia (Rural),1987,48.26,41.17
Indonesia (Rural),1990,56.24,48.89
Indonesia (Rural),1993,55.32,47.97
Indonesia (Rural),1996,63.96,54.46
Indonesia (Rural),1998,49.2,43.15
Indonesia (Rural),1999,67.62000000000001,59.79
Indonesia (Rural),2000,67.68000000000001,60.16
Indonesia (Rural),2001,69.40000000000001,61.67
Indonesia (Rural),2002,81.44,70.45999999999999
Indonesia (Rural),2003,82.13,71.78
Indonesia (Rural),2004,80.68000000000001,70.8
Indonesia (Rural),2005,85.79000000000001,72.90000000000001
Indonesia (Rural),2006,79.58,67.37000000000001
Indonesia (Rural),2007,89.58,73.77
Indonesia (Rural),2008,92.84,77.42
Indonesia (Rural),2009,96.59999999999999,80.34
Indonesia (Rural),2010,108.78,88.58
Indonesia (Rural),2011,120.73,93.95
Indonesia (Rural),2012,121.89,96.23
Indonesia (Rural),2013,126.1,100.94
Indonesia (Rural),2014,133.13,108.01
Indonesia (Urban),1984,73.61,60.14
Indonesia (Urban),1987,68.12000000000001,55.52
Indonesia (Urban),1990,85.69,67.41
Indonesia (Urban),1993,87.81,67.67
Indonesia (Urban),1996,104.79,78.67
Indonesia (Urban),1998,72.8,57.6
Indonesia (Urban),1999,97.73,75.33
Indonesia (Urban),2000,89.86,72.84999999999999
Indonesia (Urban),2001,96.64,78.36
Indonesia (Urban),2002,124.3,95.53
Indonesia (Urban),2003,126.32,99.59999999999999
Indonesia (Urban),2004,126.02,98.45
Indonesia (Urban),2005,129.24,100.23
Indonesia (Urban),2006,121.45,93.06
Indonesia (Urban),2007,137.1,103.6
Indonesia (Urban),2008,136.36,104.11
Indonesia (Urban),2009,139.88,105.59
Indonesia (Urban),2010,154.44,115.29
Indonesia (Urban),2011,172.98,119.46
Indonesia (Urban),2012,179.15,122.25
Indonesia (Urban),2013,189.42,126.51
Indonesia (Urban),2014,191.32,130.57
Iran,1986,283.51,188.56
Iran,1990,264.56,189.37
Iran,1994,293.75,210.17
Iran,1998,332.75,234.47
Iran,2005,269.5,207.56
Iran,2009,529.62,390.93
Iran,2013,504.64,391.76
Ireland,2004,1366.88,1123.2
Ireland,2005,1437.22,1151.72
Ireland,2006,1532.55,1262.25
Ireland,2007,1521.72,1245.19
Ireland,2008,1405.8,1184.18
Ireland,2009,1380.34,1156.91
Ireland,2010,1330.33,1123.74
Ireland,2011,1248.67,1050.23
Ireland,2012,1248.55,1041.22
Israel,1986,593.61,472.92
Israel,1992,701.22,564.38
Israel,1997,731.21,580.72
Israel,2001,829.03,651.86
Israel,2005,829.61,640.12
Israel,2007,894.87,697.33
Israel,2010,936.83,721.22
Italy,2004,1305.15,1099.96
Italy,2005,1284.6,1096.49
Italy,2006,1308.57,1111.64
Italy,2007,1324.43,1137.83
Italy,2008,1302.94,1110.82
Italy,2009,1312.71,1124.16
Italy,2010,1285.27,1097.66
Italy,2011,1265,1074.73
Italy,2012,1208.21,1022.05
Jamaica,1988,234.57,169.13
Jamaica,1990,233.82,168.06
Jamaica,1993,164.97,134.03
Jamaica,1996,252.25,186.52
Jamaica,1999,339.01,235
Jamaica,2002,369.7,231.79
Jamaica,2004,368.03,240.91
Japan,2008,1211.9,1045.09
Kazakhstan,1988,454.27,410.65
Kazakhstan,1993,174.96,147.51
Kazakhstan,1996,186.59,147.99
Kazakhstan,2001,159.6,129.77
Kazakhstan,2002,168.92,137.15
Kazakhstan,2003,182.04,150.13
Kazakhstan,2004,183.18,152.67
Kazakhstan,2005,287.47,245.91
Kazakhstan,2006,238.15,198.16
Kazakhstan,2007,248.72,211.96
Kazakhstan,2008,277.77,230.83
Kazakhstan,2009,272.44,229.74
Kazakhstan,2010,293.59,246.65
Kazakhstan,2011,340.81,293.39
Kazakhstan,2012,342.73,295.11
Kazakhstan,2013,364.64,317.36
Kenya,1992,208.04,110.64
Kenya,1994,154.55,110.78
Kenya,1997,155.4,102.13
Kenya,2005,124.39,79.09
Kiribati,2006,150.94,120.12
Kosovo,2003,184.33,157.57
Kosovo,2005,189.79,157.91
Kosovo,2006,186.42,156.82
Kosovo,2009,213.22,179.23
Kosovo,2010,221.18,177.48
Kosovo,2011,213.26,183.93
Kosovo,2012,253.21,217.45
Kosovo,2013,255.34,224.91
Kyrgyzstan,1988,121.27,105.3
Kyrgyzstan,1993,107.81,66.91
Kyrgyzstan,1998,129.1,90.87000000000001
Kyrgyzstan,2000,77.88,63.66
Kyrgyzstan,2001,82.43000000000001,68.56
Kyrgyzstan,2002,84.54000000000001,69.89
Kyrgyzstan,2003,88.87000000000001,74.36
Kyrgyzstan,2004,132.6,102.5
Kyrgyzstan,2005,118.52,94.54000000000001
Kyrgyzstan,2006,155.56,116.08
Kyrgyzstan,2007,147.89,118.34
Kyrgyzstan,2008,166.09,139.72
Kyrgyzstan,2009,169.48,140.92
Kyrgyzstan,2010,161.45,136.03
Kyrgyzstan,2011,161.18,137.99
Kyrgyzstan,2012,155.76,134.48
Kyrgyzstan,2013,153.55,129.5
Kyrgyzstan,2014,160.46,137.09
Laos,1992,106.93,82.77
Laos,1997,95.48,74.23
Laos,2002,103.6,80.75
Laos,2007,117.1,87.94
Laos,2012,131.52,98.55
Latvia,1988,760,710.34
Latvia,1993,244.53,213.21
Latvia,1995,289.63,249.66
Latvia,1996,281.09,242.78
Latvia,1997,295.61,247.11
Latvia,1998,282.45,236.11
Latvia,2002,381.23,307.72
Latvia,2003,434.82,333.83
Latvia,2004,434.39,351.8
Latvia,2005,439.19,332.39
Latvia,2006,519.35,419.64
Latvia,2007,610.96,486.14
Latvia,2008,611.25,496.34
Latvia,2009,497.52,405.08
Latvia,2010,519.9400000000001,445.68
Latvia,2011,530.81,433.88
