Entity,Year,"Male lung cancer deaths per 100,000 (WHO (IARC) (2016))"
Canada,1969,38.46
Canada,1970,40.2
Canada,1971,41.82
Canada,1972,42.76
Canada,1973,44.21
Canada,1974,46.37
Canada,1975,45.7
Canada,1976,47.29
Canada,1977,48.94
Canada,1978,49.98
Canada,1979,50.99
Canada,1980,52.59
Canada,1981,51.9
Canada,1982,54.82
Canada,1983,55.24
Canada,1984,56.68
Canada,1985,54.71
Canada,1986,55.09
Canada,1987,54.68
Canada,1988,56.34
Canada,1989,56.12
Canada,1990,55.21
Canada,1991,54.74
Canada,1992,53.67
Canada,1993,53.42
Canada,1994,51.75
Canada,1995,49.49
Canada,1996,49.01
Canada,1997,46.93
Canada,1998,46.99
Canada,1999,47.07
Canada,2000,42.98
Canada,2001,43.01
Canada,2002,42.85
Cape Verde,2002,2.4
Central African Republic,2002,4.6
Chad,2002,4.6
Chile,1955,11.26
Chile,1956,12.3
Chile,1957,11
Chile,1958,10.8
Chile,1959,12.53
Chile,1960,12.77
Chile,1961,12.04
Chile,1962,12.39
Chile,1963,13.87
Chile,1964,13.2
Chile,1965,13.37
Chile,1966,14.09
Chile,1967,15.43
Chile,1968,16.18
Chile,1969,17.19
Chile,1970,16.78
Chile,1971,17.26
Chile,1972,17.45
Chile,1973,19.43
Chile,1974,17.14
Chile,1975,18.26
Chile,1976,19.18
Chile,1977,20.28
Chile,1978,19.38
Chile,1979,19.97
Chile,1980,21.26
Chile,1981,20.6
Chile,1982,22.33
Chile,1983,22.52
Chile,1984,21.52
Chile,1985,22.88
Chile,1986,21.22
Chile,1987,20.61
Chile,1988,20.95
Chile,1989,20.87
Chile,1990,21.16
Chile,1991,23.43
Chile,1992,22.34
Chile,1993,21.6
Chile,1994,20.4
Chile,1995,21.5
Chile,1996,21.86
Chile,1997,19.75
Chile,1998,20.03
Chile,1999,19.32
Chile,2000,19.03
Chile,2001,19.55
Chile,2002,18.89
China,1987,33.24
China,1988,32.77
China,1989,35.81
China,1990,38.3
China,1991,36.3
China,1992,37.36
China,1993,36.97
China,1994,37.58
China,1995,38.83
China,1996,38.5
China,1997,39.5
China,1998,41.2
China,1999,40.81
China,2000,41.7
China,2002,36.7
Colombia,1953,5.33
Colombia,1954,3.65
Colombia,1955,3.67
Colombia,1956,4.56
Colombia,1957,4.79
Colombia,1958,3.83
Colombia,1959,5.11
Colombia,1960,5.26
Colombia,1961,4.84
Colombia,1962,5.58
Colombia,1963,5.89
Colombia,1964,6.53
Colombia,1965,5.83
Colombia,1966,6.35
Colombia,1967,7.01
Colombia,1968,6.68
Colombia,1969,6.47
Colombia,1972,7.02
Colombia,1974,7.53
Colombia,1975,7.59
Colombia,1976,8.94
Colombia,1977,8.61
Colombia,1984,11.84
Colombia,1985,12.86
Colombia,1986,13.22
Colombia,1987,13.79
Colombia,1988,13.18
Colombia,1989,13.5
Colombia,1990,13.23
Colombia,1991,13.91
Colombia,1992,13.5
Colombia,1993,13.77
Colombia,1994,13.76
Colombia,1995,13.81
Colombia,1996,13.97
Colombia,1997,13.93
Colombia,1998,13.24
Colombia,1999,14.08
Colombia,2001,14.06
Colombia,2002,14.41
Comoros,2002,3.5
Congo,2002,3.6
Costa Rica,1961,2.73
Costa Rica,1962,4.99
Costa Rica,1963,3.94
Costa Rica,1964,5.77
Costa Rica,1965,4.17
Costa Rica,1966,4.76
Costa Rica,1967,5.09
Costa Rica,1968,7.87
Costa Rica,1969,4.99
Costa Rica,1970,5.02
Costa Rica,1971,4.84
Costa Rica,1972,8.19
Costa Rica,1973,6.19
Costa Rica,1974,7.47
Costa Rica,1975,9.54
Costa Rica,1976,8.98
Costa Rica,1977,9.11
Costa Rica,1978,9.32
Costa Rica,1979,8.83
Costa Rica,1980,10.19
Costa Rica,1981,12.61
Costa Rica,1982,12.55
Costa Rica,1983,13.03
Costa Rica,1984,14.21
Costa Rica,1985,13
Costa Rica,1986,10.89
Costa Rica,1987,12.72
Costa Rica,1988,14.22
Costa Rica,1989,12.79
Costa Rica,1990,13.38
Costa Rica,1991,11.1
Costa Rica,1992,12.31
Costa Rica,1993,13.12
Costa Rica,1994,12.44
Costa Rica,1995,11.26
Costa Rica,1996,13.91
Costa Rica,1997,12.17
Costa Rica,1998,10.57
Costa Rica,1999,12.18
Costa Rica,2000,11.26
Costa Rica,2001,11.11
Costa Rica,2002,9.7
Cote d'Ivoire,2002,6
Croatia,1985,61.36
Croatia,1986,61.16
Croatia,1987,66.38
Croatia,1988,68.88
Croatia,1989,67.04
Croatia,1990,68.41
Croatia,1991,66.02
Croatia,1992,62.2
Croatia,1993,61.18
Croatia,1994,59.73
Croatia,1995,57.07
Croatia,1996,59.75
Croatia,1997,61.66
Croatia,1998,62.57
Croatia,1999,61.28
Croatia,2000,58.44
Croatia,2001,61.9
Croatia,2002,58.98
Cuba,1964,34.95
Cuba,1968,34.62
Cuba,1969,36.34
Cuba,1970,38.54
Cuba,1971,39.17
Cuba,1972,39.65
Cuba,1973,40.06
Cuba,1974,39.06
Cuba,1975,36.96
Cuba,1976,39.99
Cuba,1977,39.53
Cuba,1978,36.81
Cuba,1979,38.4
Cuba,1980,37.08
Cuba,1981,38.17
Cuba,1982,37.46
Cuba,1983,37.11
Cuba,1984,38.47
Cuba,1985,37.18
Cuba,1986,37.67
Cuba,1987,37.08
Cuba,1988,38.33
Cuba,1989,36.39
Cuba,1990,36.57
Cuba,1991,36.59
Cuba,1992,35.98
Cuba,1993,33.47
Cuba,1994,34.66
Cuba,1995,34.71
Cuba,1996,35.52
Cuba,1997,34.36
Cuba,1998,35.08
Cuba,1999,33.96
Cuba,2000,33.71
Cuba,2001,33.43
Cuba,2002,35.8
Cyprus,2002,24.8
Czech Republic,1986,80.43
Czech Republic,1987,77.85
Czech Republic,1988,78.65
Czech Republic,1989,75.84
Czech Republic,1990,77.83
Czech Republic,1991,75.43
Czech Republic,1992,75.67
Czech Republic,1993,73.28
Czech Republic,1994,68.41
Czech Republic,1995,70.02
Czech Republic,1996,66.19
Czech Republic,1997,65.6
Czech Republic,1998,61.26
Czech Republic,1999,61.74
Czech Republic,2000,61.98
Czech Republic,2001,58.58
Czech Republic,2002,57.02
Czechoslovakia,1953,28.43
Czechoslovakia,1954,31.58
Czechoslovakia,1955,34.97
Czechoslovakia,1956,36.65
Czechoslovakia,1957,38.54
Czechoslovakia,1958,41.06
Czechoslovakia,1959,44.11
Czechoslovakia,1960,47.27
Czechoslovakia,1961,50.48
Czechoslovakia,1962,52.08
Czechoslovakia,1963,55.23
Czechoslovakia,1964,56.64
Czechoslovakia,1965,57.88
Czechoslovakia,1966,60.53
Czechoslovakia,1967,62.11
Czechoslovakia,1968,59.99
Czechoslovakia,1969,61.08
Czechoslovakia,1970,61.8
Czechoslovakia,1971,63.54
Czechoslovakia,1972,62.23
Czechoslovakia,1973,63.52
Czechoslovakia,1974,65.52
Czechoslovakia,1975,66.35
Czechoslovakia,1976,65.76
Czechoslovakia,1977,67.65
Czechoslovakia,1978,68.63
Czechoslovakia,1979,67.55
Czechoslovakia,1980,70.23
Czechoslovakia,1981,69.6
Czechoslovakia,1982,69.95
Czechoslovakia,1983,71.64
Czechoslovakia,1984,72.73
Czechoslovakia,1985,72.65
Czechoslovakia,1986,74.95
Czechoslovakia,1987,73.76
Czechoslovakia,1988,74.68
Czechoslovakia,1989,73.58
Czechoslovakia,1990,74.79
Czechoslovakia,1991,72.66
Democratic Republic of Congo,2002,4.4
Denmark,1951,15.82
Denmark,1952,18.34
Denmark,1953,18.08
Denmark,1954,18.64
Denmark,1955,21.56
Denmark,1956,23.68
Denmark,1957,24.69
Denmark,1958,23.84
Denmark,1959,28.82
Denmark,1960,29.27
Denmark,1961,32.26
Denmark,1962,31.2
Denmark,1963,35
Denmark,1964,35.72
Denmark,1965,38.26
Denmark,1966,37.57
Denmark,1967,39.6
Denmark,1968,40.71
Denmark,1969,41.74
Denmark,1970,40.76
Denmark,1971,44.27
Denmark,1972,48.78
Denmark,1973,45.12
Denmark,1974,47.2
Denmark,1975,46.36
Denmark,1976,46.9
Denmark,1977,48.11
Denmark,1978,52.35
Denmark,1979,52.93
Denmark,1980,52.84
Denmark,1981,54.48
Denmark,1982,54.51
Denmark,1983,54.66
Denmark,1984,54.9
Denmark,1985,55.83
Denmark,1986,54.55
Denmark,1987,54.03
Denmark,1988,52.91
Denmark,1989,53.82
Denmark,1990,52.46
Denmark,1991,48.33
Denmark,1992,49.02
Denmark,1993,51.92
Denmark,1994,49.18
Denmark,1995,49.72
Denmark,1996,48.44
Denmark,1997,46.44
Denmark,1998,43.19
Denmark,1999,43.81
Denmark,2000,44.2
Denmark,2001,42.15
Denmark,2002,40.1
Djibouti,2002,3.5
Dominican Republic,1965,3.51
Dominican Republic,1966,2.77
Dominican Republic,1967,3.9
Dominican Republic,1968,4.46
Dominican Republic,1969,3.11
Dominican Republic,1970,3.7
Dominican Republic,1971,4.13
Dominican Republic,1972,4.56
Dominican Republic,1973,3.57
Dominican Republic,1974,3.65
Dominican Republic,1975,3.52
Dominican Republic,1976,3.9
Dominican Republic,1977,4.2
Dominican Republic,1978,3.96
Dominican Republic,1979,3.84
Dominican Republic,1980,4.8
Dominican Republic,1981,5.81
Dominican Republic,1982,6.06
Dominican Republic,1983,6.69
Dominican Republic,1984,6.56
Dominican Republic,1985,6.47
Dominican Republic,1986,5.67
Dominican Republic,1987,6.21
Dominican Republic,1988,6.27
Dominican Republic,1989,6.17
Dominican Republic,1990,6.42
Dominican Republic,1991,5.25
Dominican Republic,1992,5.68
Dominican Republic,1994,5.81
Dominican Republic,1995,5.21
Dominican Republic,1996,6.65
Dominican Republic,1997,6.72
Dominican Republic,1998,7.38
Dominican Republic,1999,8.29
Dominican Republic,2000,7.05
Dominican Republic,2001,7.19
Dominican Republic,2002,6.985
Ecuador,1961,2.64
Ecuador,1963,3.49
Ecuador,1964,2.83
Ecuador,1968,2.57
Ecuador,1969,4.13
Ecuador,1970,3.55
Ecuador,1971,3.92
Ecuador,1972,3.86
Ecuador,1973,3.16
Ecuador,1974,3.68
Ecuador,1975,3.36
Ecuador,1977,3.96
Ecuador,1978,4.15
Ecuador,1979,5.48
Ecuador,1980,5.2
Ecuador,1981,5.37
Ecuador,1982,5.98
Ecuador,1983,6.35
Ecuador,1984,6.23
Ecuador,1985,7.39
Ecuador,1986,6.38
Ecuador,1987,6.73
Ecuador,1988,6.52
Ecuador,1989,6.52
Ecuador,1990,7.31
Ecuador,1991,7.25
Ecuador,1992,7.47
Ecuador,1993,7.43
Ecuador,1994,6.28
Ecuador,1995,7.14
Ecuador,1996,6.57
Ecuador,1997,6.98
Ecuador,1998,7.05
Ecuador,1999,6.1
Ecuador,2000,6.53
Ecuador,2001,6.44
Ecuador,2002,7.18
Egypt,2002,8.4
El Salvador,1950,0.42
El Salvador,1951,1.82
El Salvador,1952,0.76
El Salvador,1953,1.25
El Salvador,1954,1.36
El Salvador,1955,0.87
El Salvador,1956,2.22
El Salvador,1957,1.74
El Salvador,1958,1.65
El Salvador,1959,1.82
El Salvador,1960,1.44
El Salvador,1961,2.57
El Salvador,1962,0.39
El Salvador,1963,1.31
El Salvador,1964,1.58
El Salvador,1965,1.17
El Salvador,1966,0.83
El Salvador,1967,1.55
El Salvador,1968,1.3
El Salvador,1969,1.34
El Salvador,1970,1.48
El Salvador,1971,1.01
El Salvador,1972,1.65
El Salvador,1973,2.63
El Salvador,1974,2.63
El Salvador,1981,2.06
El Salvador,1982,2.01
El Salvador,1983,2.19
El Salvador,1984,2
El Salvador,1990,3.75
El Salvador,1991,2.6
El Salvador,1992,3
El Salvador,1993,3.78
El Salvador,1995,2.43
El Salvador,1996,4.68
El Salvador,1997,4.09
El Salvador,1998,3.95
El Salvador,1999,3.4
El Salvador,2000,4.74
El Salvador,2001,5.54
El Salvador,2002,5.95
Equatorial Guinea,2002,4.6
Eritrea,2002,3.5
Estonia,1981,60.89
Estonia,1982,63.58
Estonia,1985,59.34
Estonia,1986,60.51
Estonia,1987,61.73
Estonia,1988,69.65
Estonia,1989,67.82
Estonia,1990,65.05
Estonia,1991,78.82
Estonia,1992,70.7
Estonia,1993,67.6
Estonia,1994,66.93
Estonia,1995,70.93
Estonia,1996,63.57
Estonia,1997,65.87
Estonia,1998,65.85
Estonia,1999,59.57
Estonia,2000,62.2
Estonia,2001,59.68
Estonia,2002,60.51
Ethiopia,2002,2.6
Fiji,2002,0.4
Finland,1952,39.72
Finland,1953,48.49
Finland,1954,43.84
Finland,1955,48.1
Finland,1956,45.12
Finland,1957,52.52
Finland,1958,56.49
Finland,1959,57.09
Finland,1960,58.56
Finland,1961,58.78
Finland,1962,61.43
Finland,1963,61.99
Finland,1964,61.91
Finland,1965,63.55
Finland,1966,62.31
Finland,1967,64.07
Finland,1968,67.02
Finland,1969,69.76
Finland,1970,67.12
Finland,1971,70.21
Finland,1972,64.51
Finland,1973,65.83
Finland,1974,65.21
Finland,1975,60.79
Finland,1976,68.74
Finland,1977,66.17
Finland,1978,65.94
Finland,1979,67.23
Finland,1980,64.89
Finland,1981,65.29
Finland,1982,58.56
Finland,1983,61.49
Finland,1984,58.15
Finland,1985,58.08
Finland,1986,53.13
Finland,1987,53.53
Finland,1988,50.84
Finland,1989,47.61
Finland,1990,48.56
Finland,1991,44.45
Finland,1992,47.25
Finland,1993,44.38
Finland,1994,41.07
Finland,1995,41.3
Finland,1996,39.4
Finland,1997,37.67
Finland,1998,37.42
Finland,1999,34.49
Finland,2000,33.48
Finland,2001,32.83
Finland,2002,31.41
France,1950,10.66
France,1952,13.53
France,1953,14.37
France,1954,15.97
France,1955,16.39
France,1956,17.27
France,1957,19.44
France,1958,19.42
France,1959,20.71
France,1960,21.84
France,1961,23.16
France,1962,24
France,1963,25.74
France,1964,26.42
France,1965,27.64
France,1966,29.03
France,1967,29.53
France,1968,30.14
France,1969,31.15
France,1970,30.96
France,1971,32.46
France,1972,34.16
France,1973,34.66
France,1974,36.03
France,1975,37.1
France,1976,39.3
France,1977,39.95
France,1978,41.95
France,1979,42.27
France,1980,43.36
France,1981,44.26
France,1982,44.21
France,1983,44.1
France,1984,44.97
France,1985,45.79
France,1986,46.65
France,1987,47.43
France,1988,47.98
France,1989,48.06
France,1990,47.57
France,1991,48.38
France,1992,48.23
France,1993,47.87
France,1994,46.49
France,1995,46.83
France,1996,46.52
France,1997,46.02
France,1998,46.43
France,1999,45.64
France,2000,44.61
France,2001,43.97
France,2002,43.64
French Polynesia,2002,16
Gabon,2002,9.5
Gambia,2002,4.9
Georgia,2002,31.6
Germany,1973,46.91
Germany,1974,47.41
Germany,1975,48.31
Germany,1976,48.66
Germany,1977,49.08
Germany,1978,49.96
Germany,1980,49.66
Germany,1981,49.61
Germany,1982,49.67
Germany,1983,50.06
Germany,1984,49.59
Germany,1985,50.04
Germany,1986,49.02
Germany,1987,48.81
Germany,1988,49.24
Germany,1989,48.72
Germany,1990,48.35
Germany,1991,48.44
Germany,1992,47.86
Germany,1993,47.9
Germany,1994,46.33
Germany,1995,46.61
Germany,1996,44.85
Germany,1997,44
Germany,1998,43.21
Germany,1999,41.65
Germany,2000,42.07
Germany,2001,40.15
Germany,2002,39.52
Ghana,2002,2.4
Greece,1961,24.32
Greece,1962,28.58
Greece,1963,28.73
Greece,1964,29.83
Greece,1965,31.68
Greece,1966,30.86
Greece,1967,32.57
Greece,1968,32.02
Greece,1969,32.21
Greece,1970,31.19
Greece,1971,31.84
Greece,1972,33.34
Greece,1973,38.56
Greece,1974,40.57
Greece,1975,38.98
Greece,1976,42.2
Greece,1977,43
Greece,1978,44.71
Greece,1979,45.37
Greece,1980,43.11
Greece,1981,44.73
Greece,1982,45.99
Greece,1983,47.35
Greece,1984,47.44
Greece,1985,49.5
Greece,1986,48.81
Greece,1987,48.38
Greece,1988,48.46
Greece,1989,50.31
Greece,1990,49.38
Greece,1991,49.97
Greece,1992,49.1
Greece,1993,50.62
Greece,1994,50.75
Greece,1995,49.69
Greece,1996,49.93
Greece,1997,49.21
Greece,1998,48.41
Greece,1999,48.9
Greece,2000,48.76
Greece,2001,48.37
Greece,2002,46.22
Guam,2002,40.5
Guatemala,1963,1.53
Guatemala,1964,2.69
Guatemala,1965,2.34
Guatemala,1966,1.71
Guatemala,1967,1.68
Guatemala,1968,2.52
Guatemala,1969,2.76
Guatemala,1970,1.24
Guatemala,1971,1.53
Guatemala,1974,2.66
Guatemala,1975,2.28
Guatemala,1976,2.42
Guatemala,1977,2.11
Guatemala,1978,1.76
Guatemala,1979,0.49
Guatemala,1980,2.53
Guatemala,1981,2.3
Guatemala,1984,0.84
Guatemala,1986,2.68
Guatemala,1987,3.06
Guatemala,1988,2.87
Guatemala,1989,3.47
Guatemala,1990,3.81
Guatemala,1991,4.16
Guatemala,1992,3.43
Guatemala,1993,2.98
Guatemala,1994,4.84
Guatemala,1995,4.04
Guatemala,1996,3.28
Guatemala,1997,6.33
Guatemala,1998,5.06
Guatemala,1999,5.76
Guatemala,2000,6.18
Guatemala,2001,5.72
Guatemala,2002,5.7
Guinea,2002,7.5
Guinea-Bissau,2002,2.4
Guyana,2002,7.2
Haiti,2002,10.1
Honduras,2002,14.7
Hong Kong,1960,18.92
Hong Kong,1961,22.25
Hong Kong,1962,22.9
Hong Kong,1963,25.48
Hong Kong,1964,28.51
Hong Kong,1965,30.85
Hong Kong,1966,31.16
Hong Kong,1967,32.82
Hong Kong,1968,33.82
Hong Kong,1969,40.35
Hong Kong,1970,37.85
Hong Kong,1971,40.12
Hong Kong,1972,41.79
Hong Kong,1973,43.87
Hong Kong,1974,44.07
Hong Kong,1975,46.51
Hong Kong,1976,48.53
Hong Kong,1977,53.35
Hong Kong,1978,54.54
Hong Kong,1979,54.87
Hong Kong,1980,60.4
Hong Kong,1981,53.45
Hong Kong,1982,53.86
Hong Kong,1983,55.48
Hong Kong,1984,54.56
Hong Kong,1985,54.46
Hong Kong,1986,57.17
Hong Kong,1987,57.4
Hong Kong,1988,51.48
Hong Kong,1989,56.83
Hong Kong,1990,58.06
Hong Kong,1991,54.62
Hong Kong,1992,55.31
Hong Kong,1993,55.48
Hong Kong,1994,53.96
Hong Kong,1995,51.54
Hong Kong,1996,49.24
Hong Kong,1997,48.8
Hong Kong,1998,49.11
Hong Kong,1999,49.37
Hong Kong,2000,51.14
Hong Kong,2001,46.98
Hong Kong,2002,46.38
Hungary,1955,21.09
Hungary,1956,22.64
Hungary,1957,23.5
Hungary,1958,23.99
Hungary,1959,27.88
Hungary,1960,27.34
Hungary,1961,30.22
Hungary,1962,30.01
Hungary,1963,32.23
Hungary,1964,32.68
Hungary,1965,36.12
Hungary,1966,37.58
Hungary,1967,39.15
