Entity,Year,Ratio of exports and imports to GDP (PWT v8.1 (2015))
Antigua and Barbuda,1984,159
Antigua and Barbuda,1985,169
Antigua and Barbuda,1986,175
Antigua and Barbuda,1987,185
Antigua and Barbuda,1988,163
Antigua and Barbuda,1989,169
Antigua and Barbuda,1990,176
Antigua and Barbuda,1991,181
Antigua and Barbuda,1992,189
Antigua and Barbuda,1993,187
Antigua and Barbuda,1994,175
Antigua and Barbuda,1995,171
Antigua and Barbuda,1996,161
Antigua and Barbuda,1997,159
Antigua and Barbuda,1998,154
Antigua and Barbuda,1999,154
Antigua and Barbuda,2000,127
Antigua and Barbuda,2001,124
Antigua and Barbuda,2002,116
Antigua and Barbuda,2003,121
Antigua and Barbuda,2004,124
Antigua and Barbuda,2005,123
Antigua and Barbuda,2006,120
Antigua and Barbuda,2007,117
Antigua and Barbuda,2008,116
Antigua and Barbuda,2009,104
Antigua and Barbuda,2010,104
Antigua and Barbuda,2011,106
Argentina,1950,16
Argentina,1951,16
Argentina,1952,12
Argentina,1953,10
Argentina,1954,10
Argentina,1955,11
Argentina,1956,19
Argentina,1957,19
Argentina,1958,16
Argentina,1959,20
Argentina,1960,19
Argentina,1961,15
Argentina,1962,18
Argentina,1963,20
Argentina,1964,15
Argentina,1965,13
Argentina,1966,15
Argentina,1967,16
Argentina,1968,15
Argentina,1969,16
Argentina,1970,13
Argentina,1971,12
Argentina,1972,14
Argentina,1973,13
Argentina,1974,13
Argentina,1975,12
Argentina,1976,15
Argentina,1977,17
Argentina,1978,14
Argentina,1979,13
Argentina,1980,12
Argentina,1981,14
Argentina,1982,16
Argentina,1983,15
Argentina,1984,12
Argentina,1985,18
Argentina,1986,14
Argentina,1987,15
Argentina,1988,16
Argentina,1989,20
Argentina,1990,15
Argentina,1991,14
Argentina,1992,15
Argentina,1993,16
Argentina,1994,18
Argentina,1995,20
Argentina,1996,22
Argentina,1997,23
Argentina,1998,23
Argentina,1999,21
Argentina,2000,23
Argentina,2001,22
Argentina,2002,40
Argentina,2003,39
Argentina,2004,44
Argentina,2005,44
Argentina,2006,44
Argentina,2007,45
Argentina,2008,45
Argentina,2009,37
Argentina,2010,40
Argentina,2011,41
Armenia,1990,81
Armenia,1991,101
Armenia,1992,100
Armenia,1993,96
Armenia,1994,112
Armenia,1995,86
Armenia,1996,79
Armenia,1997,79
Armenia,1998,72
Armenia,1999,71
Armenia,2000,74
Armenia,2001,72
Armenia,2002,76
Armenia,2003,82
Armenia,2004,75
Armenia,2005,72
Armenia,2006,63
Armenia,2007,58
Armenia,2008,56
Armenia,2009,58
Armenia,2010,66
Armenia,2011,71
Aruba,1970,188
Aruba,1971,188
Aruba,1972,188
Aruba,1973,188
Aruba,1974,188
Aruba,1975,188
Aruba,1976,188
Aruba,1977,188
Aruba,1978,188
Aruba,1979,188
Aruba,1980,188
Aruba,1981,188
Aruba,1982,188
Aruba,1983,188
Aruba,1984,188
Aruba,1985,188
Aruba,1986,188
Aruba,1987,187
Aruba,1988,188
Aruba,1989,188
Aruba,1990,185
Aruba,1991,192
Aruba,1992,186
Aruba,1993,178
Aruba,1994,156
Aruba,1995,171
Aruba,1996,175
Aruba,1997,169
Aruba,1998,163
Aruba,1999,165
Aruba,2000,145
Aruba,2001,139
Aruba,2002,134
Aruba,2003,134
Aruba,2004,134
Aruba,2005,146
Aruba,2006,144
Aruba,2007,143
Aruba,2008,146
Aruba,2009,140
Aruba,2010,138
Aruba,2011,152
Austria,1950,31
Austria,1951,35
Austria,1952,28
Austria,1953,32
Austria,1954,37
Austria,1955,40
Austria,1956,44
Austria,1957,46
Austria,1958,43
Austria,1959,42
Austria,1960,46
Austria,1961,44
Austria,1962,45
Austria,1963,46
Austria,1964,46
Austria,1965,47
Austria,1966,48
Austria,1967,47
Austria,1968,48
Austria,1969,52
Austria,1970,57
Austria,1971,56
Austria,1972,56
Austria,1973,56
Austria,1974,62
Austria,1975,59
Austria,1976,62
Austria,1977,62
Austria,1978,62
Austria,1979,66
Austria,1980,69
Austria,1981,71
Austria,1982,66
Austria,1983,65
Austria,1984,69
Austria,1985,73
Austria,1986,66
Austria,1987,65
Austria,1988,69
Austria,1989,73
Austria,1990,74
Austria,1991,72
Austria,1992,70
Austria,1993,65
Austria,1994,68
Austria,1995,71
Austria,1996,73
Austria,1997,79
Austria,1998,81
Austria,1999,83
Austria,2000,91
Austria,2001,94
Austria,2002,93
Austria,2003,93
Austria,2004,99
Austria,2005,104
Austria,2006,108
Austria,2007,112
Austria,2008,113
Austria,2009,96
Austria,2010,104
Austria,2011,111
Azerbaijan,1990,83
Azerbaijan,1991,87
Azerbaijan,1992,141
Azerbaijan,1993,133
Azerbaijan,1994,143
Azerbaijan,1995,86
Azerbaijan,1996,81
Azerbaijan,1997,82
Azerbaijan,1998,77
Azerbaijan,1999,70
Azerbaijan,2000,79
Azerbaijan,2001,79
Azerbaijan,2002,93
Azerbaijan,2003,108
Azerbaijan,2004,122
Azerbaijan,2005,116
Azerbaijan,2006,105
Azerbaijan,2007,97
Azerbaijan,2008,89
Azerbaijan,2009,75
Azerbaijan,2010,75
Azerbaijan,2011,84
Bahamas,1970,161
Bahamas,1971,167
Bahamas,1972,163
Bahamas,1973,151
Bahamas,1974,187
Bahamas,1975,152
Bahamas,1976,152
Bahamas,1977,110
Bahamas,1978,114
Bahamas,1979,114
Bahamas,1980,150
Bahamas,1981,138
Bahamas,1982,142
Bahamas,1983,155
Bahamas,1984,150
Bahamas,1985,148
Bahamas,1986,139
Bahamas,1987,139
Bahamas,1988,142
Bahamas,1989,105
Bahamas,1990,104
Bahamas,1991,100
Bahamas,1992,96
Bahamas,1993,98
Bahamas,1994,99
Bahamas,1995,98
Bahamas,1996,90
Bahamas,1997,92
Bahamas,1998,86
Bahamas,1999,87
Bahamas,2000,91
Bahamas,2001,83
Bahamas,2002,81
Bahamas,2003,81
Bahamas,2004,87
Bahamas,2005,93
Bahamas,2006,100
Bahamas,2007,101
Bahamas,2008,100
Bahamas,2009,89
Bahamas,2010,92
Bahamas,2011,100
Bahrain,1970,199
Bahrain,1971,198
Bahrain,1972,200
Bahrain,1973,199
Bahrain,1974,196
Bahrain,1975,205
Bahrain,1976,194
Bahrain,1977,189
Bahrain,1978,178
Bahrain,1979,179
Bahrain,1980,195
Bahrain,1981,208
Bahrain,1982,186
Bahrain,1983,156
Bahrain,1984,160
Bahrain,1985,158
Bahrain,1986,151
Bahrain,1987,171
Bahrain,1988,154
Bahrain,1989,162
Bahrain,1990,182
Bahrain,1991,178
Bahrain,1992,181
Bahrain,1993,165
Bahrain,1994,153
Bahrain,1995,151
Bahrain,1996,163
Bahrain,1997,147
Bahrain,1998,128
Bahrain,1999,141
Bahrain,2000,153
Bahrain,2001,143
Bahrain,2002,148
Bahrain,2003,146
Bahrain,2004,165
Bahrain,2005,176
Bahrain,2006,172
Bahrain,2007,162
Bahrain,2008,169
Bahrain,2009,138
Bahrain,2010,141
Bahrain,2011,127
Bangladesh,1959,11
Bangladesh,1960,13
Bangladesh,1961,17
Bangladesh,1962,15
Bangladesh,1963,16
Bangladesh,1964,17
Bangladesh,1965,17
Bangladesh,1966,16
Bangladesh,1967,17
Bangladesh,1968,16
Bangladesh,1969,17
Bangladesh,1970,15
Bangladesh,1971,12
Bangladesh,1972,14
Bangladesh,1973,13
Bangladesh,1974,10
Bangladesh,1975,9
Bangladesh,1976,17
Bangladesh,1977,14
Bangladesh,1978,16
Bangladesh,1979,17
Bangladesh,1980,21
Bangladesh,1981,21
Bangladesh,1982,22
Bangladesh,1983,22
Bangladesh,1984,19
Bangladesh,1985,20
Bangladesh,1986,18
Bangladesh,1987,18
Bangladesh,1988,19
Bangladesh,1989,20
Bangladesh,1990,20
Bangladesh,1991,19
Bangladesh,1992,20
Bangladesh,1993,23
Bangladesh,1994,23
Bangladesh,1995,28
Bangladesh,1996,30
Bangladesh,1997,30
Bangladesh,1998,32
Bangladesh,1999,32
Bangladesh,2000,33
Bangladesh,2001,37
Bangladesh,2002,33
Bangladesh,2003,34
Bangladesh,2004,36
Bangladesh,2005,40
Bangladesh,2006,44
Bangladesh,2007,46
Bangladesh,2008,49
Bangladesh,2009,46
Bangladesh,2010,43
Bangladesh,2011,55
Barbados,1960,86
Barbados,1961,81
Barbados,1962,90
Barbados,1963,93
Barbados,1964,90
Barbados,1965,101
Barbados,1966,108
Barbados,1967,101
Barbados,1968,109
Barbados,1969,108
Barbados,1970,107
Barbados,1971,105
Barbados,1972,111
Barbados,1973,102
Barbados,1974,102
Barbados,1975,95
Barbados,1976,95
Barbados,1977,95
Barbados,1978,109
Barbados,1979,122
Barbados,1980,122
Barbados,1981,111
Barbados,1982,112
Barbados,1983,120
Barbados,1984,120
Barbados,1985,110
Barbados,1986,95
Barbados,1987,79
Barbados,1988,83
Barbados,1989,87
Barbados,1990,87
Barbados,1991,83
Barbados,1992,77
Barbados,1993,81
Barbados,1994,84
Barbados,1995,91
Barbados,1996,92
Barbados,1997,94
Barbados,1998,87
Barbados,1999,87
Barbados,2000,89
Barbados,2001,85
Barbados,2002,83
Barbados,2003,89
Barbados,2004,91
Barbados,2005,95
Barbados,2006,97
Barbados,2007,95
Barbados,2008,104
Barbados,2009,89
Barbados,2010,97
Barbados,2011,102
Belarus,1990,90
Belarus,1991,70
Belarus,1992,117
Belarus,1993,151
Belarus,1994,155
Belarus,1995,104
Belarus,1996,97
Belarus,1997,126
Belarus,1998,123
Belarus,1999,121
Belarus,2000,133
Belarus,2001,141
Belarus,2002,131
Belarus,2003,134
Belarus,2004,142
Belarus,2005,119
Belarus,2006,124
Belarus,2007,128
Belarus,2008,130
Belarus,2009,112
Belarus,2010,122
Belarus,2011,178
Belgium,1950,60
Belgium,1951,73
Belgium,1952,67
Belgium,1953,63
Belgium,1954,65
Belgium,1955,71
Belgium,1956,77
Belgium,1957,76
Belgium,1958,69
Belgium,1959,70
Belgium,1960,75
Belgium,1961,77
Belgium,1962,76
Belgium,1963,79
Belgium,1964,81
Belgium,1965,81
Belgium,1966,82
Belgium,1967,81
Belgium,1968,86
Belgium,1969,93
Belgium,1970,96
Belgium,1971,93
Belgium,1972,93
Belgium,1973,103
Belgium,1974,115
Belgium,1975,100
Belgium,1976,105
Belgium,1977,104
Belgium,1978,101
Belgium,1979,111
Belgium,1980,112
Belgium,1981,120
Belgium,1982,128
Belgium,1983,131
Belgium,1984,140
Belgium,1985,135
Belgium,1986,122
Belgium,1987,120
Belgium,1988,127
Belgium,1989,136
Belgium,1990,132
Belgium,1991,129
Belgium,1992,125
Belgium,1993,119
Belgium,1994,123
Belgium,1995,127
Belgium,1996,128
Belgium,1997,136
Belgium,1998,136
Belgium,1999,136
Belgium,2000,153
Belgium,2001,152
Belgium,2002,148
Belgium,2003,142
Belgium,2004,147
Belgium,2005,153
Belgium,2006,158
Belgium,2007,161
Belgium,2008,169
Belgium,2009,143
Belgium,2010,158
Belgium,2011,167
Belize,1970,90
Belize,1971,91
Belize,1972,95
Belize,1973,83
Belize,1974,96
Belize,1975,107
Belize,1976,97
Belize,1977,108
Belize,1978,100
Belize,1979,98
Belize,1980,81
Belize,1981,84
Belize,1982,77
Belize,1983,74
Belize,1984,112
Belize,1985,119
Belize,1986,114
Belize,1987,123
Belize,1988,130
Belize,1989,126
Belize,1990,122
Belize,1991,125
Belize,1992,152
Belize,1993,118
Belize,1994,110
Belize,1995,106
Belize,1996,100
Belize,1997,108
Belize,1998,110
Belize,1999,122
Belize,2000,127
Belize,2001,120
Belize,2002,119
Belize,2003,119
Belize,2004,109
Belize,2005,117
Belize,2006,125
Belize,2007,122
Belize,2008,132
Belize,2009,112
Belize,2010,117
Belize,2011,124
Benin,1959,25
Benin,1960,38
Benin,1961,29
Benin,1962,27
Benin,1963,31
Benin,1964,37
Benin,1965,47
Benin,1966,49
Benin,1967,56
Benin,1968,58
Benin,1969,67
Benin,1970,78
Benin,1971,87
Benin,1972,77
Benin,1973,80
Benin,1974,75
Benin,1975,91
Benin,1976,77
Benin,1977,84
Benin,1978,84
Benin,1979,90
Benin,1980,83
Benin,1981,77
Benin,1982,72
Benin,1983,57
Benin,1984,64
Benin,1985,75
Benin,1986,67
Benin,1987,66
Benin,1988,70
Benin,1989,43
Benin,1990,49
Benin,1991,53
Benin,1992,57
Benin,1993,55
Benin,1994,68
Benin,1995,64
Benin,1996,57
Benin,1997,59
Benin,1998,60
Benin,1999,64
Benin,2000,55
Benin,2001,53
Benin,2002,53
Benin,2003,52
Benin,2004,49
Benin,2005,50
Benin,2006,46
Benin,2007,48
Benin,2008,47
Benin,2009,41
Benin,2010,40
Benin,2011,39
Bermuda,1970,94
Bermuda,1971,94
Bermuda,1972,94
Bermuda,1973,94
Bermuda,1974,94
Bermuda,1975,94
Bermuda,1976,95
Bermuda,1977,92
Bermuda,1978,93
Bermuda,1979,94
Bermuda,1980,96
Bermuda,1981,95
Bermuda,1982,92
Bermuda,1983,90
Bermuda,1984,95
Bermuda,1985,90
Bermuda,1986,89
Bermuda,1987,89
Bermuda,1988,91
Bermuda,1989,90
Bermuda,1990,91
Bermuda,1991,85
Bermuda,1992,85
Bermuda,1993,86
Bermuda,1994,88
Bermuda,1995,83
Bermuda,1996,84
Bermuda,1997,88
Bermuda,1998,89
Bermuda,1999,86
Bermuda,2000,88
Bermuda,2001,86
Bermuda,2002,97
Bermuda,2003,100
Bermuda,2004,96
Bermuda,2005,91
Bermuda,2006,100
Bermuda,2007,96
Bermuda,2008,95
Bermuda,2009,97
Bermuda,2010,96
Bermuda,2011,96
Bhutan,1970,57
Bhutan,1971,57
Bhutan,1972,57
Bhutan,1973,58
Bhutan,1974,57
Bhutan,1975,58
Bhutan,1976,58
Bhutan,1977,57
Bhutan,1978,58
Bhutan,1979,58
Bhutan,1980,53
Bhutan,1981,63
Bhutan,1982,59
Bhutan,1983,55
Bhutan,1984,57
Bhutan,1985,65
Bhutan,1986,68
Bhutan,1987,62
Bhutan,1988,81
Bhutan,1989,70
Bhutan,1990,62
Bhutan,1991,76
Bhutan,1992,92
Bhutan,1993,79
Bhutan,1994,71
Bhutan,1995,83
Bhutan,1996,82
Bhutan,1997,83
Bhutan,1998,85
Bhutan,1999,84
Bhutan,2000,82
Bhutan,2001,76
Bhutan,2002,70
Bhutan,2003,70
Bhutan,2004,89
Bhutan,2005,102
Bhutan,2006,130
Bhutan,2007,112
Bhutan,2008,104
Bhutan,2009,108
Bhutan,2010,98
Bhutan,2011,102
Bolivia,1950,32
Bolivia,1951,35
Bolivia,1952,35
Bolivia,1953,14
Bolivia,1954,10
Bolivia,1955,10
Bolivia,1956,28
Bolivia,1957,52
Bolivia,1958,40
Bolivia,1959,46
Bolivia,1960,39
Bolivia,1961,39
Bolivia,1962,42
Bolivia,1963,43
Bolivia,1964,46
Bolivia,1965,49
Bolivia,1966,49
Bolivia,1967,51
Bolivia,1968,49
Bolivia,1969,50
Bolivia,1970,50
Bolivia,1971,46
Bolivia,1972,47
Bolivia,1973,54
Bolivia,1974,60
Bolivia,1975,58
Bolivia,1976,56
Bolivia,1977,55
Bolivia,1978,53
Bolivia,1979,52
Bolivia,1980,46
Bolivia,1981,45
Bolivia,1982,60
Bolivia,1983,55
Bolivia,1984,54
Bolivia,1985,46
Bolivia,1986,49
Bolivia,1987,46
Bolivia,1988,42
Bolivia,1989,46
Bolivia,1990,47
Bolivia,1991,48
Bolivia,1992,49
Bolivia,1993,47
Bolivia,1994,49
Bolivia,1995,50
Bolivia,1996,50
Bolivia,1997,50
Bolivia,1998,52
Bolivia,1999,44
Bolivia,2000,46
Bolivia,2001,45
Bolivia,2002,49
Bolivia,2003,52
Bolivia,2004,57
Bolivia,2005,68
Bolivia,2006,75
Bolivia,2007,76
Bolivia,2008,83
Bolivia,2009,69
Bolivia,2010,76
Bolivia,2011,83
Bosnia and Herzegovina,1990,99
Bosnia and Herzegovina,1991,99
Bosnia and Herzegovina,1992,97
Bosnia and Herzegovina,1993,100
Bosnia and Herzegovina,1994,100
Bosnia and Herzegovina,1995,92
Bosnia and Herzegovina,1996,108
Bosnia and Herzegovina,1997,101
Bosnia and Herzegovina,1998,100
Bosnia and Herzegovina,1999,99
Bosnia and Herzegovina,2000,104
Bosnia and Herzegovina,2001,104
Bosnia and Herzegovina,2002,96
Bosnia and Herzegovina,2003,98
Bosnia and Herzegovina,2004,99
Bosnia and Herzegovina,2005,106
Bosnia and Herzegovina,2006,102
Bosnia and Herzegovina,2007,106
Bosnia and Herzegovina,2008,106
Bosnia and Herzegovina,2009,87
Bosnia and Herzegovina,2010,96
Bosnia and Herzegovina,2011,105
Botswana,1960,70
Botswana,1961,74
Botswana,1962,78
Botswana,1963,82
Botswana,1964,84
Botswana,1965,89
Botswana,1966,92
Botswana,1967,97
Botswana,1968,98
Botswana,1969,98
Botswana,1970,97
Botswana,1971,107
Botswana,1972,110
Botswana,1973,113
Botswana,1974,107
Botswana,1975,108
Botswana,1976,109
Botswana,1977,116
Botswana,1978,120
Botswana,1979,121
Botswana,1980,119
Botswana,1981,120
Botswana,1982,123
Botswana,1983,126
Botswana,1984,126
Botswana,1985,119
Botswana,1986,117
Botswana,1987,117
Botswana,1988,122
Botswana,1989,106
Botswana,1990,105
Botswana,1991,100
Botswana,1992,90
Botswana,1993,87
Botswana,1994,88
Botswana,1995,94
Botswana,1996,90
Botswana,1997,105
Botswana,1998,90
Botswana,1999,92
Botswana,2000,94
Botswana,2001,80
Botswana,2002,82
Botswana,2003,80
Botswana,2004,81
Botswana,2005,86
Botswana,2006,78
Botswana,2007,84
Botswana,2008,81
Botswana,2009,75
Botswana,2010,73
Botswana,2011,83
Brazil,1950,19
Brazil,1951,24
Brazil,1952,17
Brazil,1953,14
Brazil,1954,16
Brazil,1955,16
Brazil,1956,14
Brazil,1957,13
Brazil,1958,14
Brazil,1959,16
Brazil,1960,14
Brazil,1961,15
Brazil,1962,9
Brazil,1963,18
Brazil,1964,12
Brazil,1965,13
Brazil,1966,13
Brazil,1967,11
Brazil,1968,12
Brazil,1969,13
Brazil,1970,14
Brazil,1971,15
Brazil,1972,16
Brazil,1973,17
Brazil,1974,21
Brazil,1975,18
Brazil,1976,16
Brazil,1977,15
Brazil,1978,15
Brazil,1979,17
Brazil,1980,17
Brazil,1981,16
Brazil,1982,16
Brazil,1983,21
Brazil,1984,22
Brazil,1985,19
Brazil,1986,15
Brazil,1987,16
Brazil,1988,17
Brazil,1989,13
Brazil,1990,14
Brazil,1991,17
Brazil,1992,19
Brazil,1993,20
Brazil,1994,19
Brazil,1995,16
Brazil,1996,15
Brazil,1997,16
Brazil,1998,16
Brazil,1999,20
Brazil,2000,22
Brazil,2001,26
Brazil,2002,27
Brazil,2003,27
Brazil,2004,29
Brazil,2005,27
Brazil,2006,26
Brazil,2007,25
Brazil,2008,27
Brazil,2009,22
Brazil,2010,23
Brazil,2011,25
British Virgin Islands,1970,123
British Virgin Islands,1971,141
British Virgin Islands,1972,137
British Virgin Islands,1973,147
British Virgin Islands,1974,140
British Virgin Islands,1975,149
British Virgin Islands,1976,154
British Virgin Islands,1977,147
British Virgin Islands,1978,151
British Virgin Islands,1979,161
British Virgin Islands,1980,164
British Virgin Islands,1981,186
British Virgin Islands,1982,190
British Virgin Islands,1983,208
British Virgin Islands,1984,209
British Virgin Islands,1985,228
British Virgin Islands,1986,234
British Virgin Islands,1987,221
British Virgin Islands,1988,241
British Virgin Islands,1989,229
British Virgin Islands,1990,187
British Virgin Islands,1991,190
British Virgin Islands,1992,186
British Virgin Islands,1993,185
British Virgin Islands,1994,200
British Virgin Islands,1995,174
British Virgin Islands,1996,182
British Virgin Islands,1997,184
British Virgin Islands,1998,181
British Virgin Islands,1999,182
British Virgin Islands,2000,183
British Virgin Islands,2001,184
British Virgin Islands,2002,185
British Virgin Islands,2003,185
British Virgin Islands,2004,186
British Virgin Islands,2005,187
British Virgin Islands,2006,189
British Virgin Islands,2007,187
British Virgin Islands,2008,188
British Virgin Islands,2009,188
British Virgin Islands,2010,188
British Virgin Islands,2011,189
Brunei,1970,110
Brunei,1971,110
Brunei,1972,111
Brunei,1973,111
Brunei,1974,107
Brunei,1975,113
Brunei,1976,112
Brunei,1977,111
Brunei,1978,109
Brunei,1979,109
Brunei,1980,105
Brunei,1981,107
Brunei,1982,107
Brunei,1983,107
Brunei,1984,101
Brunei,1985,94
Brunei,1986,110
Brunei,1987,93
Brunei,1988,95
Brunei,1989,97
Brunei,1990,99
Brunei,1991,107
Brunei,1992,106
Brunei,1993,107
Brunei,1994,99
Brunei,1995,116
Brunei,1996,121
Brunei,1997,116
Brunei,1998,108
Brunei,1999,104
Brunei,2000,103
Brunei,2001,109
Brunei,2002,109
Brunei,2003,105
Brunei,2004,101
Brunei,2005,97
Brunei,2006,97
Brunei,2007,96
Brunei,2008,106
Brunei,2009,109
Brunei,2010,114
Brunei,2011,110
Bulgaria,1970,92
Bulgaria,1971,92
Bulgaria,1972,92
Bulgaria,1973,92
Bulgaria,1974,92
Bulgaria,1975,92
Bulgaria,1976,91
Bulgaria,1977,92
Bulgaria,1978,93
Bulgaria,1979,90
Bulgaria,1980,94
Bulgaria,1981,95
Bulgaria,1982,91
Bulgaria,1983,98
Bulgaria,1984,104
Bulgaria,1985,112
Bulgaria,1986,109
Bulgaria,1987,107
Bulgaria,1988,120
Bulgaria,1989,123
Bulgaria,1990,89
Bulgaria,1991,102
Bulgaria,1992,123
Bulgaria,1993,103
Bulgaria,1994,112
Bulgaria,1995,112
Bulgaria,1996,130
Bulgaria,1997,138
Bulgaria,1998,116
Bulgaria,1999,117
Bulgaria,2000,106
Bulgaria,2001,107
Bulgaria,2002,103
Bulgaria,2003,107
Bulgaria,2004,115
Bulgaria,2005,96
Bulgaria,2006,140
Bulgaria,2007,139
Bulgaria,2008,137
Bulgaria,2009,104
Bulgaria,2010,117
Bulgaria,2011,132
Burkina Faso,1959,56
Burkina Faso,1960,21
Burkina Faso,1961,21
Burkina Faso,1962,21
