Entity,Year,CO2 emissions per capita by nation (CDIAC (2017))
Algeria,1977,2.4589
Algeria,1978,3.5599
Algeria,1979,2.4956
Algeria,1980,3.5232
Algeria,1981,2.3855
Algeria,1982,1.9451
Algeria,1983,2.5323
Algeria,1984,3.303
Algeria,1985,3.303
Algeria,1986,3.3397
Algeria,1987,3.5966
Algeria,1988,3.4865
Algeria,1989,3.2296
Algeria,1990,3.0461
Algeria,1991,3.0461
Algeria,1992,3.0094
Algeria,1993,3.0461
Algeria,1994,3.1195
Algeria,1995,3.3764
Algeria,1996,3.3764
Algeria,1997,2.9727
Algeria,1998,3.5966
Algeria,1999,3.0461
Algeria,2000,2.8626
Algeria,2001,2.7158
Algeria,2002,2.8626
Algeria,2003,2.8626
Algeria,2004,2.7525
Algeria,2005,3.2663
Algeria,2006,3.0461
Algeria,2007,3.1195
Algeria,2008,3.0828
Algeria,2009,3.4498
Algeria,2010,3.303
Algeria,2011,3.303
Algeria,2012,3.4865
Algeria,2013,3.5232
Algeria,2014,3.7434
Andorra,1990,7.6703
Andorra,1991,7.3767
Andorra,1992,7.0097
Andorra,1993,6.7895
Andorra,1994,6.4225
Andorra,1995,6.5693
Andorra,1996,6.973
Andorra,1997,7.1932
Andorra,1998,7.6703
Andorra,1999,8.0373
Andorra,2000,8.1474
Andorra,2001,7.9272
Andorra,2002,7.707
Andorra,2003,7.4134
Andorra,2004,7.4501
Andorra,2005,7.4134
Andorra,2006,6.8629
Andorra,2007,6.606
Andorra,2008,6.7161
Andorra,2009,6.0555
Andorra,2010,6.1656
Andorra,2011,5.9821
Andorra,2012,6.1656
Andorra,2013,6.2757
Andorra,2014,6.3858
Angola,1950,0.0367
Angola,1951,0.0734
Angola,1952,0.0734
Angola,1953,0.0734
Angola,1954,0.0734
Angola,1955,0.0734
Angola,1956,0.1101
Angola,1957,0.1468
Angola,1958,0.1101
Angola,1959,0.1101
Angola,1960,0.1101
Angola,1961,0.0734
Angola,1962,0.2202
Angola,1963,0.2202
Angola,1964,0.2202
Angola,1965,0.2202
Angola,1966,0.2936
Angola,1967,0.1835
Angola,1968,0.2936
Angola,1969,0.4771
Angola,1970,0.5872
Angola,1971,0.5505
Angola,1972,0.734
Angola,1973,0.7707
Angola,1974,0.7707
Angola,1975,0.6606
Angola,1976,0.4771
Angola,1977,0.5138
Angola,1978,0.7707
Angola,1979,0.734
Angola,1980,0.6973
Angola,1981,0.6606
Angola,1982,0.5505
Angola,1983,0.5872
Angola,1984,0.5872
Angola,1985,0.5138
Angola,1986,0.5138
Angola,1987,0.6239
Angola,1988,0.5138
Angola,1989,0.5138
Angola,1990,0.4771
Angola,1991,0.4771
Angola,1992,0.4771
Angola,1993,0.5138
Angola,1994,0.3303
Angola,1995,0.9175
Angola,1996,0.8441
Angola,1997,0.5872
Angola,1998,0.5505
Angola,1999,0.6606
Angola,2000,0.6973
Angola,2001,0.6606
Angola,2002,0.8441
Angola,2003,0.5872
Angola,2004,1.1744
Angola,2005,1.1744
Angola,2006,1.3212
Angola,2007,1.4313
Angola,2008,1.3946
Angola,2009,1.3579
Angola,2010,1.3579
Angola,2011,1.3946
Angola,2012,1.468
Angola,2013,1.3946
Angola,2014,1.4313
Anguilla,1990,6.2757
Anguilla,1991,6.0188
Anguilla,1992,6.1656
Anguilla,1993,6.973
Anguilla,1994,6.7528
Anguilla,1995,6.8996
Anguilla,1996,7.0464
Anguilla,1997,6.8996
Anguilla,1998,7.34
Anguilla,1999,7.4501
Anguilla,2000,8.0373
Anguilla,2001,8.2942
Anguilla,2002,7.9272
Anguilla,2003,8.3309
Anguilla,2004,9.175
Anguilla,2005,9.5053
Anguilla,2006,10.3127
Anguilla,2007,11.4504
Anguilla,2008,11.2669
Anguilla,2009,10.8632
Anguilla,2010,10.9366
Anguilla,2011,10.1292
Anguilla,2012,10.0191
Anguilla,2013,9.4686
Anguilla,2014,9.7622
Argentina,1950,1.7616
Argentina,1951,2.0185
Argentina,1952,2.0185
Argentina,1953,1.9451
Argentina,1954,1.9818
Argentina,1955,2.0919
Argentina,1956,2.3121
Argentina,1957,2.4222
Argentina,1958,2.202
Argentina,1959,2.4222
Argentina,1960,2.3855
Argentina,1961,2.4589
Argentina,1962,2.5323
Argentina,1963,2.3121
Argentina,1964,2.5323
Argentina,1965,2.6424
Argentina,1966,2.7892
Argentina,1967,2.8626
Argentina,1968,2.9727
Argentina,1969,3.2663
Argentina,1970,3.4498
Argentina,1971,3.67
Argentina,1972,3.6333
Argentina,1973,3.7434
Argentina,1974,3.7434
Argentina,1975,3.6333
Argentina,1976,3.7801
Argentina,1977,3.7434
Argentina,1978,3.7801
Argentina,1979,4.0003
Argentina,1980,3.8535
Argentina,1981,3.5599
Argentina,1982,3.5599
Argentina,1983,3.5599
Argentina,1984,3.5599
Argentina,1985,3.303
Argentina,1986,3.3764
Argentina,1987,3.67
Argentina,1988,3.8168
Argentina,1989,3.6333
Argentina,1990,3.4498
Argentina,1991,3.5232
Argentina,1992,3.6333
Argentina,1993,3.4865
Argentina,1994,3.5599
Argentina,1995,3.67
Argentina,1996,3.8168
Argentina,1997,3.8535
Argentina,1998,3.8902
Argentina,1999,4.037
Argentina,2000,3.8535
Argentina,2001,3.5966
Argentina,2002,3.303
Argentina,2003,3.5599
Argentina,2004,4.1104
Argentina,2005,4.1838
Argentina,2006,4.5141
Argentina,2007,4.4407
Argentina,2008,4.771
Argentina,2009,4.404
Argentina,2010,4.5508
Argentina,2011,4.5875
Argentina,2012,4.5875
Argentina,2013,4.4774
Argentina,2014,4.7343
Armenia,1992,1.6882
Armenia,1993,0.7707
Armenia,1994,0.8074
Armenia,1995,1.0643
Armenia,1996,0.8074
Armenia,1997,1.0276
Armenia,1998,1.0643
Armenia,1999,0.9909
Armenia,2000,1.1377
Armenia,2001,1.1377
Armenia,2002,0.9909
Armenia,2003,1.1377
Armenia,2004,1.1744
Armenia,2005,1.4313
Armenia,2006,1.4313
Armenia,2007,1.6882
Armenia,2008,1.8717
Armenia,2009,1.468
Armenia,2010,1.4313
Armenia,2011,1.6515
Armenia,2012,1.9084
Armenia,2013,1.835
Armenia,2014,1.835
Aruba,1986,2.8626
Aruba,1987,7.2666
Aruba,1988,10.0191
Aruba,1989,10.6063
Aruba,1990,26.3873
Aruba,1991,26.057
Aruba,1992,21.4695
Aruba,1993,22.02
Aruba,1994,21.0291
Aruba,1995,20.7722
Aruba,1996,20.3685
Aruba,1997,20.4786
Aruba,1998,20.6988
Aruba,1999,20.4786
Aruba,2000,26.3873
Aruba,2001,26.1304
Aruba,2002,25.8001
Aruba,2003,26.4974
Aruba,2004,26.4607
Aruba,2005,26.9378
Aruba,2006,26.4607
Aruba,2007,27.9287
Aruba,2008,26.2405
Aruba,2009,25.9469
Aruba,2010,24.6991
Aruba,2011,24.5523
Aruba,2012,13.1753
Aruba,2013,8.4043
Aruba,2014,8.441
Australia,1950,6.7161
Australia,1951,7.0464
Australia,1952,7.0097
Australia,1953,6.7528
Australia,1954,7.5602
Australia,1955,7.6703
Australia,1956,7.7804
Australia,1957,7.7437
Australia,1958,7.8905
Australia,1959,8.3309
Australia,1960,8.5878
Australia,1961,8.6245
Australia,1962,8.8814
Australia,1963,9.2851
Australia,1964,9.7989
Australia,1965,10.643
Australia,1966,10.3494
Australia,1967,10.8632
Australia,1968,11.0834
Australia,1969,11.4137
Australia,1970,11.5972
Australia,1971,11.7807
Australia,1972,11.8908
Australia,1973,12.6982
Australia,1974,12.5881
Australia,1975,12.6615
Australia,1976,12.4046
Australia,1977,13.212
Australia,1978,14.0561
Australia,1979,14.1295
Australia,1980,15.0103
Australia,1981,15.4874
Australia,1982,15.5241
Australia,1983,14.68
Australia,1984,15.1938
Australia,1985,15.2672
Australia,1986,14.9369
Australia,1987,15.7076
Australia,1988,15.7443
Australia,1989,16.4783
Australia,1990,15.4507
Australia,1991,15.1204
Australia,1992,15.3039
Australia,1993,15.6709
Australia,1994,15.5241
Australia,1995,15.5608
Australia,1996,16.515
Australia,1997,16.515
Australia,1998,16.9187
Australia,1999,17.1756
Australia,2000,17.2123
Australia,2001,16.7719
Australia,2002,17.4325
Australia,2003,16.9554
Australia,2004,17.0655
Australia,2005,17.1756
Australia,2006,17.616
Australia,2007,17.5426
Australia,2008,17.8362
Australia,2009,18.1665
Australia,2010,17.6527
Australia,2011,17.3958
Australia,2012,16.9554
Australia,2013,16.0012
Australia,2014,15.3039
Austria,1950,3.0094
Austria,1951,3.3764
Austria,1952,3.1929
Austria,1953,3.1562
Austria,1954,3.5232
Austria,1955,4.1838
Austria,1956,4.0737
Austria,1957,4.1838
Austria,1958,4.037
Austria,1959,4.0003
Austria,1960,4.3673
Austria,1961,4.5141
Austria,1962,4.771
Austria,1963,5.1747
Austria,1964,5.3949
Austria,1965,5.2481
Austria,1966,5.3582
Austria,1967,5.4316
Austria,1968,5.7252
Austria,1969,6.0188
Austria,1970,6.7895
Austria,1971,6.973
Austria,1972,7.4868
Austria,1973,7.9639
Austria,1974,7.5969
Austria,1975,7.1932
Austria,1976,7.707
Austria,1977,7.4134
Austria,1978,7.5969
Austria,1979,8.1474
Austria,1980,6.9363
Austria,1981,7.4501
Austria,1982,7.1565
Austria,1983,6.8996
Austria,1984,7.2299
Austria,1985,7.2299
Austria,1986,7.1565
Austria,1987,7.6336
Austria,1988,7.0097
Austria,1989,7.0831
Austria,1990,7.5235
Austria,1991,8.0006
Austria,1992,7.3033
Austria,1993,7.3033
Austria,1994,7.2299
Austria,1995,7.5235
Austria,1996,7.9272
Austria,1997,7.8538
Austria,1998,8.0006
Austria,1999,7.7437
Austria,2000,7.7804
Austria,2001,8.2208
Austria,2002,8.2942
Austria,2003,8.8814
Austria,2004,8.8447
Austria,2005,9.0282
Austria,2006,8.7346
Austria,2007,8.4043
Austria,2008,8.2942
Austria,2009,7.5235
Austria,2010,8.0373
Austria,2011,7.707
Austria,2012,7.3767
Austria,2013,7.3767
Austria,2014,6.8996
Azerbaijan,1992,7.5602
Azerbaijan,1993,6.4225
Azerbaijan,1994,5.4683
Azerbaijan,1995,4.2939
Azerbaijan,1996,4.0003
Azerbaijan,1997,3.7801
Azerbaijan,1998,3.9636
Azerbaijan,1999,3.5599
Azerbaijan,2000,3.6333
Azerbaijan,2001,3.5232
Azerbaijan,2002,3.5966
Azerbaijan,2003,3.67
Azerbaijan,2004,3.7801
Azerbaijan,2005,4.0003
Azerbaijan,2006,4.5141
Azerbaijan,2007,3.4865
Azerbaijan,2008,4.0003
Azerbaijan,2009,3.5599
Azerbaijan,2010,3.3764
Azerbaijan,2011,3.6333
Azerbaijan,2012,3.8168
Azerbaijan,2013,3.7434
Azerbaijan,2014,3.8902
Bahamas,1950,0.6973
Bahamas,1951,0.8074
Bahamas,1952,0.9542
Bahamas,1953,0.9542
Bahamas,1954,0.9542
Bahamas,1955,1.468
Bahamas,1956,1.5047
Bahamas,1957,1.835
Bahamas,1958,1.7983
Bahamas,1959,2.4956
Bahamas,1960,3.7434
Bahamas,1961,4.7343
Bahamas,1962,5.9821
Bahamas,1963,5.5784
Bahamas,1964,8.1474
Bahamas,1965,9.3952
Bahamas,1966,7.4868
Bahamas,1967,11.1935
Bahamas,1968,10.3127
Bahamas,1969,10.643
Bahamas,1970,15.2305
Bahamas,1971,38.7552
Bahamas,1972,36.5165
Bahamas,1973,43.4161
Bahamas,1974,39.9296
Bahamas,1975,43.7464
Bahamas,1976,33.5438
Bahamas,1977,49.3248
Bahamas,1978,32.8465
Bahamas,1979,33.6539
Bahamas,1980,37.9845
Bahamas,1981,13.0285
Bahamas,1982,10.276
Bahamas,1983,8.9548
Bahamas,1984,8.074
Bahamas,1985,6.4592
Bahamas,1986,5.9087
Bahamas,1987,5.872
Bahamas,1988,6.239
Bahamas,1989,7.7437
Bahamas,1990,7.6336
Bahamas,1991,6.8262
Bahamas,1992,6.7528
Bahamas,1993,6.2757
Bahamas,1994,6.1289
Bahamas,1995,6.0188
Bahamas,1996,5.872
Bahamas,1997,4.771
Bahamas,1998,5.7986
Bahamas,1999,5.6885
Bahamas,2000,5.6151
Bahamas,2001,5.2114
Bahamas,2002,5.1747
Bahamas,2003,4.8811
Bahamas,2004,5.4683
Bahamas,2005,5.4683
Bahamas,2006,5.138
Bahamas,2007,4.9545
Bahamas,2008,4.2939
Bahamas,2009,4.6242
Bahamas,2010,4.5875
Bahamas,2011,5.1013
Bahamas,2012,5.2848
Bahamas,2013,7.4134
Bahamas,2014,6.3124
Bahrain,1950,11.9642
Bahrain,1951,10.0558
Bahrain,1952,10.7531
Bahrain,1953,8.1107
Bahrain,1954,8.1474
Bahrain,1955,10.5696
Bahrain,1956,7.5969
Bahrain,1957,5.2114
Bahrain,1958,8.5878
Bahrain,1959,8.4043
Bahrain,1960,3.5599
Bahrain,1961,10.6063
Bahrain,1962,9.2484
Bahrain,1963,6.7528
Bahrain,1964,8.808
Bahrain,1965,6.606
Bahrain,1966,3.4131
Bahrain,1967,5.1747
Bahrain,1968,5.5417
Bahrain,1969,6.2023
Bahrain,1970,12.2578
Bahrain,1971,13.8359
Bahrain,1972,16.148
Bahrain,1973,23.1944
Bahrain,1974,21.5796
Bahrain,1975,21.7264
Bahrain,1976,23.3045
Bahrain,1977,24.7725
Bahrain,1978,24.1486
Bahrain,1979,23.8917
Bahrain,1980,22.0567
Bahrain,1981,22.9375
Bahrain,1982,25.6533
Bahrain,1983,20.8823
Bahrain,1984,22.754
Bahrain,1985,24.4789
Bahrain,1986,25.5799
Bahrain,1987,25.6533
Bahrain,1988,26.3506
Bahrain,1989,24.589
Bahrain,1990,25.2496
Bahrain,1991,23.4513
Bahrain,1992,20.9924
Bahrain,1993,27.525
Bahrain,1994,27.158
Bahrain,1995,26.5341
Bahrain,1996,27.1947
Bahrain,1997,29.2132
Bahrain,1998,30.1307
Bahrain,1999,28.7728
Bahrain,2000,29.2499
Bahrain,2001,21.6897
Bahrain,2002,24.4789
Bahrain,2003,25.4698
Bahrain,2004,26.0937
Bahrain,2005,26.5341
Bahrain,2006,23.2311
Bahrain,2007,26.0203
Bahrain,2008,26.6809
Bahrain,2009,23.5981
Bahrain,2010,23.2311
Bahrain,2011,21.9466
Bahrain,2012,20.0015
Bahrain,2013,23.2311
Bahrain,2014,23.0476
Bangladesh,1972,0.0367
Bangladesh,1973,0.0734
Bangladesh,1974,0.0734
Bangladesh,1975,0.0734
Bangladesh,1976,0.0734
Bangladesh,1977,0.0734
Bangladesh,1978,0.0734
Bangladesh,1979,0.0734
Bangladesh,1980,0.1101
Bangladesh,1981,0.1101
Bangladesh,1982,0.1101
Bangladesh,1983,0.1101
Bangladesh,1984,0.1101
Bangladesh,1985,0.1101
Bangladesh,1986,0.1101
Bangladesh,1987,0.1101
Bangladesh,1988,0.1468
Bangladesh,1989,0.1468
Bangladesh,1990,0.1468
Bangladesh,1991,0.1468
Bangladesh,1992,0.1468
Bangladesh,1993,0.1468
Bangladesh,1994,0.1468
Bangladesh,1995,0.1835
Bangladesh,1996,0.1835
Bangladesh,1997,0.2202
Bangladesh,1998,0.1835
Bangladesh,1999,0.1835
Bangladesh,2000,0.2202
Bangladesh,2001,0.2569
Bangladesh,2002,0.2569
Bangladesh,2003,0.2569
Bangladesh,2004,0.2569
Bangladesh,2005,0.2936
Bangladesh,2006,0.2936
Bangladesh,2007,0.2936
Bangladesh,2008,0.3303
Bangladesh,2009,0.367
Bangladesh,2010,0.4037
Bangladesh,2011,0.4037
Bangladesh,2012,0.4404
Bangladesh,2013,0.4404
Bangladesh,2014,0.4771
Barbados,1950,0.367
Barbados,1951,0.5138
Barbados,1952,0.4037
Barbados,1953,0.4771
Barbados,1954,0.5138
Barbados,1955,0.5505
Barbados,1956,0.5505
Barbados,1957,0.5872
Barbados,1958,0.6606
Barbados,1959,0.6606
Barbados,1960,0.734
Barbados,1961,0.8441
Barbados,1962,1.1377
Barbados,1963,0.8074
Barbados,1964,0.7707
Barbados,1965,0.8808
Barbados,1966,1.1377
Barbados,1967,1.4313
Barbados,1968,1.8717
Barbados,1969,2.0185
Barbados,1970,1.7983
Barbados,1971,2.0185
Barbados,1972,2.0919
Barbados,1973,1.9818
Barbados,1974,2.0185
Barbados,1975,2.3121
Barbados,1976,2.1653
Barbados,1977,2.3855
Barbados,1978,2.5323
Barbados,1979,2.4222
Barbados,1980,2.7158
Barbados,1981,2.7525
Barbados,1982,2.569
Barbados,1983,2.7158
Barbados,1984,2.936
Barbados,1985,3.3397
Barbados,1986,3.5966
Barbados,1987,3.67
Barbados,1988,3.67
Barbados,1989,3.8168
Barbados,1990,4.1471
Barbados,1991,4.6242
Barbados,1992,3.7434
Barbados,1993,4.2572
Barbados,1994,2.8626
Barbados,1995,3.1562
Barbados,1996,3.2296
Barbados,1997,3.4131
Barbados,1998,4.2939
Barbados,1999,4.5508
Barbados,2000,4.4407
Barbados,2001,4.5508
Barbados,2002,4.5875
Barbados,2003,4.7343
Barbados,2004,4.8077
Barbados,2005,4.9912
Barbados,2006,5.0646
Barbados,2007,4.9545
Barbados,2008,5.8353
Barbados,2009,5.7986
Barbados,2010,5.2848
Barbados,2011,5.4683
Barbados,2012,5.2481
Barbados,2013,5.138
Barbados,2014,4.4774
Belarus,1992,8.4777
Belarus,1993,7.4501
Belarus,1994,6.3124
Belarus,1995,5.9087
Belarus,1996,5.872
Belarus,1997,5.8353
Belarus,1998,5.7252
Belarus,1999,5.5417
Belarus,2000,5.3582
Belarus,2001,5.2848
Belarus,2002,5.2481
Belarus,2003,5.3949
Belarus,2004,5.9087
Belarus,2005,6.0188
Belarus,2006,6.3491
Belarus,2007,6.3124
Belarus,2008,6.606
Belarus,2009,6.4592
Belarus,2010,6.6427
Belarus,2011,6.7528
Belarus,2012,6.6794
Belarus,2013,6.7161
Belarus,2014,6.6794
Belgium,1950,8.8447
Belgium,1951,10.3494
Belgium,1952,9.6154
Belgium,1953,9.4319
Belgium,1954,9.7622
Belgium,1955,10.3861
Belgium,1956,10.8632
Belgium,1957,10.7531
Belgium,1958,9.7255
Belgium,1959,9.7255
Belgium,1960,9.9457
Belgium,1961,10.0925
Belgium,1962,10.6063
Belgium,1963,11.3403
Belgium,1964,11.0467
Belgium,1965,11.1935
Belgium,1966,11.1201
Belgium,1967,11.3036
Belgium,1968,12.4046
Belgium,1969,12.9184
Belgium,1970,13.0652
Belgium,1971,12.5881
Belgium,1972,13.5056
Belgium,1973,14.2763
Belgium,1974,13.8726
Belgium,1975,12.478
Belgium,1976,13.2487
Belgium,1977,12.8817
Belgium,1978,13.8359
Belgium,1979,14.2396
Belgium,1980,13.7625
Belgium,1981,12.5881
Belgium,1982,11.9642
Belgium,1983,10.3494
Belgium,1984,10.7164
Belgium,1985,10.643
Belgium,1986,10.4595
Belgium,1987,10.4595
Belgium,1988,10.1659
Belgium,1989,10.8265
Belgium,1990,10.6797
Belgium,1991,11.1201
Belgium,1992,11.1935
Belgium,1993,10.7531
Belgium,1994,11.1935
Belgium,1995,11.1568
Belgium,1996,11.7073
Belgium,1997,11.4137
Belgium,1998,11.7073
Belgium,1999,11.2669
Belgium,2000,11.3403
Belgium,2001,11.2302
Belgium,2002,10.4595
Belgium,2003,10.9733
Belgium,2004,10.7531
Belgium,2005,10.4228
Belgium,2006,10.2393
Belgium,2007,9.6888
Belgium,2008,9.6888
Belgium,2009,9.2117
Belgium,2010,10.1659
Belgium,2011,9.1016
Belgium,2012,8.5878
Belgium,2013,8.6979
Belgium,2014,8.3309
Belize,1950,0.2569
Belize,1951,0.3303
Belize,1952,0.3303
Belize,1953,0.367
Belize,1954,0.367
Belize,1955,0.367
Belize,1956,0.367
Belize,1957,0.3303
Belize,1958,0.4404
Belize,1959,0.4404
Belize,1960,0.4771
Belize,1961,0.4037
Belize,1962,0.734
Belize,1963,0.6239
Belize,1964,0.8074
Belize,1965,0.7707
Belize,1966,0.734
Belize,1967,1.0643
Belize,1968,0.8808
Belize,1969,1.1377
Belize,1970,0.9909
Belize,1971,1.1377
Belize,1972,1.2478
Belize,1973,1.1377
Belize,1974,1.1744
Belize,1975,1.3212
Belize,1976,1.2845
Belize,1977,1.4313
Belize,1978,1.5781
Belize,1979,1.468
Belize,1980,1.3212
Belize,1981,1.2478
Belize,1982,1.1377
Belize,1983,1.101
Belize,1984,1.0643
Belize,1985,1.1377
Belize,1986,1.2111
Belize,1987,1.2845
Belize,1988,1.3946
Belize,1989,1.6148
Belize,1990,1.6515
Belize,1991,1.835
Belize,1992,1.7616
Belize,1993,1.835
Belize,1994,1.7616
Belize,1995,1.7249
Belize,1996,1.3579
Belize,1997,1.6882
Belize,1998,1.5414
Belize,1999,1.4313
Belize,2000,1.5781
Belize,2001,1.7616
Belize,2002,1.6515
Belize,2003,1.6148
Belize,2004,1.4313
Belize,2005,1.5047
Belize,2006,1.5414
Belize,2007,1.6515
Belize,2008,1.5047
Belize,2009,1.8717
Belize,2010,1.6882
Belize,2011,1.835
Belize,2012,1.4313
Belize,2013,1.5047
Belize,2014,1.3946
Benin,1958,0.0367
Benin,1959,0.0367
Benin,1960,0.0734
Benin,1961,0.0367
Benin,1962,0.0367
Benin,1963,0.0367
Benin,1964,0.0734
Benin,1965,0.0734
Benin,1966,0.0367
Benin,1967,0.0367
Benin,1968,0.0734
Benin,1969,0.0734
Benin,1970,0.1101
Benin,1971,0.1101
Benin,1972,0.1468
Benin,1973,0.1101
Benin,1974,0.1468
Benin,1975,0.1468
Benin,1976,0.0734
Benin,1977,0.0734
Benin,1978,0.1101
Benin,1979,0.1101
Benin,1980,0.1468
Benin,1981,0.1101
Benin,1982,0.1468
Benin,1983,0.1101
Benin,1984,0.1101
Benin,1985,0.1835
Benin,1986,0.1468
Benin,1987,0.1101
Benin,1988,0.1101
Benin,1989,0.1468
Benin,1990,0.1468
Benin,1991,0.1835
Benin,1992,0.1835
Benin,1993,0.2202
Benin,1994,0.2202
Benin,1995,0.2202
Benin,1996,0.2202
Benin,1997,0.2202
Benin,1998,0.1835
Benin,1999,0.2569
Benin,2000,0.2569
Benin,2001,0.2569
Benin,2002,0.2936
Benin,2003,0.3303
Benin,2004,0.3303
Benin,2005,0.3303
Benin,2006,0.4771
Benin,2007,0.5138
Benin,2008,0.4771
Benin,2009,0.5138
Benin,2010,0.5505
Benin,2011,0.5505
Benin,2012,0.5505
Benin,2013,0.5505
Benin,2014,0.5872
Bermuda,1950,1.1377
Bermuda,1951,1.5414
Bermuda,1952,2.7525
Bermuda,1953,2.3488
Bermuda,1954,2.1653
Bermuda,1955,2.7158
Bermuda,1956,3.303
Bermuda,1957,3.2663
Bermuda,1958,3.4131
Bermuda,1959,3.0828
Bermuda,1960,3.4865
Bermuda,1961,3.8535
Bermuda,1962,3.3764
Bermuda,1963,3.1929
Bermuda,1964,4.2205
Bermuda,1965,3.6333
Bermuda,1966,4.1104
Bermuda,1967,4.2205
Bermuda,1968,4.4407
Bermuda,1969,3.8535
Bermuda,1970,4.404
Bermuda,1971,4.404
Bermuda,1972,4.8444
Bermuda,1973,8.0006
Bermuda,1974,8.2942
Bermuda,1975,8.4777
Bermuda,1976,8.5878
Bermuda,1977,8.2575
Bermuda,1978,7.707
Bermuda,1979,8.3309
Bermuda,1980,7.7804
Bermuda,1981,6.9363
Bermuda,1982,6.973
Bermuda,1983,7.9272
Bermuda,1984,7.7437
Bermuda,1985,7.8171
Bermuda,1986,7.2299
Bermuda,1987,9.7622
Bermuda,1988,10.9366
Bermuda,1989,13.1753
Bermuda,1990,8.441
Bermuda,1991,8.9548
Bermuda,1992,7.6703
Bermuda,1993,8.8447
