Entity,Year,"Net investment (Blum, Ducoing, McLaughlin (2017))","Green investment (Blum, Ducoing, McLaughlin (2017))","Genuine saving (Blum, Ducoing, McLaughlin (2017))","GSTFP (Blum, Ducoing, McLaughlin (2017))","GDP (Blum, Ducoing, McLaughlin (2017))","Green carbon (Blum, Ducoing, McLaughlin (2017))"
Argentina,1964,179.84,139.97,173.46,675.83,6272.20,
Argentina,1965,198.03,162.27,199.04,769.74,6744.35,
Argentina,1966,202.66,166.57,203.29,752.89,6689.25,
Argentina,1967,211.25,172.60,210.19,761.82,6769.67,
Argentina,1968,233.87,193.79,233.91,803.74,6961.49,
Argentina,1969,275.95,235.49,260.34,894.86,7447.23,
Argentina,1970,323.79,284.02,313.57,978.83,7729.55,
Argentina,1971,341.45,288.86,334.40,1012.03,7891.25,
Argentina,1972,386.09,333.73,358.15,1024.86,7920.04,
Argentina,1973,330.14,280.52,300.97,992.26,8077.01,
Argentina,1974,354.28,261.16,283.60,1016.70,8370.75,
Argentina,1975,425.95,336.76,374.88,1060.85,8186.54,
Argentina,1976,505.09,408.50,424.01,1070.06,8059.07,
Argentina,1977,495.62,390.23,417.27,1097.62,8444.84,
Argentina,1978,436.92,333.13,355.35,948.08,8051.68,
Argentina,1979,448.36,298.64,319.57,963.79,8489.39,
Argentina,1980,447.79,260.18,277.53,893.67,8356.33,
Argentina,1981,342.34,173.68,191.10,719.72,7903.31,
Argentina,1982,187.64,37.29,65.00,540.99,7537.66,
Argentina,1983,163.50,23.90,51.24,545.85,7728.89,
Argentina,1984,229.56,103.54,134.08,630.40,7765.05,
Argentina,1985,100.20,-11.67,10.76,427.41,7118.28,
Argentina,1986,75.35,12.18,34.45,498.56,7514.24,
Argentina,1987,110.62,39.56,61.73,531.92,7596.01,
Argentina,1988,110.14,47.46,68.29,504.77,7344.30,
Argentina,1989,79.03,7.65,24.70,394.34,6737.73,
Argentina,1990,35.61,-44.96,-28.24,326.97,6522.79,
Argentina,1991,41.25,-31.87,5.31,423.95,7115.06,
Argentina,1992,91.56,18.44,79.10,554.61,7694.52,
Argentina,1993,122.00,57.22,123.70,629.06,8028.73,
Argentina,1994,79.12,2.32,82.29,616.47,8389.56,
Argentina,1995,86.45,-0.02,70.40,547.35,8051.01,
Argentina,1996,99.28,-26.02,47.75,562.74,8395.43,
Argentina,1997,145.85,33.46,105.02,661.68,8972.19,
Argentina,1998,145.92,58.19,152.31,729.40,9213.84,
Argentina,1999,233.04,124.88,220.24,735.57,8736.28,
Argentina,2000,87.10,-73.06,26.34,525.72,8644.77,
Australia,1900,33.49,-247.06,-208.56,742.03,4954.99,
Australia,1901,118.64,-157.34,-119.40,806.15,4811.64,
Australia,1902,304.38,26.47,68.12,1086.06,5227.56,
Australia,1903,135.86,-174.45,-134.01,804.30,4837.13,
Australia,1904,683.81,359.23,402.08,1448.29,5312.99,
Australia,1905,487.81,147.09,189.50,1201.81,5146.46,
Australia,1906,657.60,299.18,340.43,1393.60,5299.32,
Australia,1907,922.08,538.43,580.66,1765.37,5945.79,
Australia,1908,467.68,187.43,228.49,1283.95,5402.58,
Australia,1909,628.89,384.48,425.14,1496.63,5489.25,
Australia,1910,849.93,622.50,663.81,1767.18,5673.27,
Australia,1911,672.06,452.07,494.36,1642.56,5984.05,
Australia,1912,416.38,198.26,240.71,1281.19,5682.04,
Australia,1913,749.91,536.03,581.25,1654.80,6060.71,
Australia,1914,698.82,538.47,583.43,1617.35,6004.97,
Australia,1915,-140.73,-296.22,-254.42,631.05,5296.42,
Australia,1916,187.87,26.29,68.09,1053.79,5963.87,
Australia,1917,423.52,250.79,291.53,1226.79,5708.21,
Australia,1918,416.13,250.06,290.25,1196.22,5498.80,
Australia,1919,353.72,260.21,299.64,1202.99,5389.19,
Australia,1920,353.62,260.69,306.89,1154.19,4992.18,
Australia,1921,712.91,638.35,700.32,1648.05,5571.73,
Australia,1922,768.17,690.47,751.39,1734.96,5733.52,
Australia,1923,499.48,420.99,473.67,1490.41,5805.97,
Australia,1924,433.75,342.52,395.82,1454.26,5903.61,
Australia,1925,820.97,740.57,793.09,1916.80,6161.19,
Australia,1926,308.40,228.13,282.33,1354.49,5862.57,
Australia,1927,285.38,210.08,266.31,1363.06,5985.80,
Australia,1928,328.52,269.28,326.96,1390.48,5832.91,
Australia,1929,302.59,251.80,313.68,1349.30,5649.51,
Australia,1930,-103.24,-144.11,-75.79,971.21,5673.50,
Australia,1931,-63.02,-114.55,-43.70,917.24,5100.12,
Australia,1932,117.34,31.43,101.58,1119.59,5145.07,
Australia,1933,67.37,-29.12,36.37,1156.49,5411.77,
Australia,1934,243.36,133.23,197.07,1385.92,5571.46,
Australia,1935,98.26,-34.60,28.42,1267.86,5654.60,
Australia,1936,206.90,57.48,120.89,1443.17,5894.24,
Australia,1937,402.74,230.67,294.69,1669.24,6030.45,
Australia,1938,432.13,267.63,335.92,1803.31,6358.11,
Australia,1939,278.69,90.04,158.47,1560.60,6044.64,
Australia,1940,494.38,291.57,358.08,1840.45,6310.21,
Australia,1941,499.03,287.66,364.47,1966.01,6719.89,
Australia,1942,829.46,636.06,701.90,2529.06,7644.72,
Australia,1943,1128.60,973.81,1037.02,2972.31,8232.03,
Australia,1944,1603.20,1462.80,1526.84,3374.69,8047.66,
Australia,1945,1192.52,1068.66,1134.48,2824.56,7498.93,
Australia,1946,1074.63,929.70,998.36,2585.24,7103.96,
Australia,1947,590.68,407.08,485.51,1992.81,6781.65,
Australia,1948,819.02,622.16,699.86,2301.16,7184.80,
Australia,1949,751.33,568.78,646.89,2270.95,7302.90,
Australia,1950,675.14,455.99,537.58,2239.27,7652.41,
Australia,1951,1173.94,941.31,1018.71,2765.95,7874.54,
Australia,1952,340.60,117.61,212.62,1972.22,7952.14,
Australia,1953,948.52,768.50,866.31,2577.77,7738.65,
Australia,1954,980.01,789.19,890.65,2677.59,8047.85,
Australia,1955,725.05,520.76,632.77,2481.76,8320.01,
Australia,1956,817.75,610.22,731.21,2620.86,8529.85,
Australia,1957,1021.90,846.10,968.31,2844.03,8499.82,
Australia,1958,795.08,643.16,775.91,2652.49,8510.41,
Australia,1959,892.31,730.44,875.62,2848.66,8948.47,
Australia,1960,506.61,341.95,494.87,2527.75,9270.38,
Australia,1961,591.27,485.13,651.67,2673.72,9294.46,
Australia,1962,622.81,508.45,691.35,2690.36,9225.20,
Australia,1963,654.53,530.14,724.45,2818.32,9662.93,
Australia,1964,851.51,704.05,910.41,3082.23,10078.40,
Australia,1965,848.38,698.11,926.55,3176.03,10527.07,
Australia,1966,753.21,576.26,818.57,3067.27,10617.00,
Australia,1967,938.22,757.11,1011.98,3354.73,11106.64,
Australia,1968,689.41,459.82,735.02,3134.20,11452.89,
Australia,1969,1037.78,801.95,1092.19,3570.36,11916.75,
Australia,1970,865.28,547.27,867.55,3440.99,12509.39,
Australia,1971,902.77,535.84,889.00,3430.78,12510.64,
Australia,1972,849.93,466.07,859.52,3440.60,12855.40,
Australia,1973,961.91,574.23,998.41,3556.33,12898.12,
Australia,1974,1041.76,639.22,1102.60,3701.87,13232.52,
Australia,1975,1263.85,783.47,1347.42,3939.42,13319.10,
Australia,1976,1220.12,736.52,1339.61,3949.00,13480.11,
Australia,1977,1271.22,759.56,1401.44,4071.01,13839.62,
Australia,1978,998.37,493.93,1167.02,3816.00,13780.23,
Australia,1979,1331.02,798.07,1513.46,4245.08,14216.91,
Australia,1980,1444.69,824.16,1521.15,4298.90,14442.83,
Australia,1981,1429.79,794.68,1540.80,4372.70,14694.00,
Australia,1982,1509.34,890.26,1760.05,4647.42,14942.55,
Australia,1983,815.63,198.71,985.15,3777.20,14418.98,
Australia,1984,928.21,256.29,1048.05,3954.22,14910.65,
Australia,1985,1023.40,250.57,1096.19,4119.22,15417.54,
Australia,1986,1056.53,330.05,1129.83,4260.52,15906.23,
Australia,1987,1046.43,255.54,953.01,4117.30,16054.27,
Australia,1988,1200.90,318.99,1013.54,4306.95,16656.76,
Australia,1989,1154.96,234.54,1038.67,4422.05,17064.53,
Australia,1990,1317.72,243.69,1065.51,4532.71,17434.84,
Australia,1991,712.60,-401.96,447.22,3856.63,17153.56,
Australia,1992,345.69,-765.80,171.75,,17056.09,
Australia,1993,620.62,-475.07,474.09,,17583.19,
Australia,1994,487.01,-664.30,195.24,,18091.15,
Australia,1995,800.31,-407.96,532.70,,18565.91,
Australia,1996,957.49,-336.32,533.33,,19061.50,
Australia,1997,1151.07,-137.79,835.91,,19600.34,
Australia,1998,911.27,-379.00,630.46,,20268.46,
Australia,1999,982.38,-343.63,630.27,,21029.56,
Australia,2000,1365.31,-77.01,995.23,,21552.43,
Brazil,1900,0.00,0.00,0.00,0.00,0.00,
Brazil,1901,97.81,-31.48,-27.91,5.71,614.14,
Brazil,1902,127.97,-5.90,-2.10,35.64,638.98,
Brazil,1903,130.80,5.94,9.74,47.02,625.33,
Brazil,1904,122.91,4.03,7.81,43.94,609.53,
Brazil,1905,196.08,80.63,84.48,120.41,605.67,
Brazil,1906,175.54,73.31,77.30,114.10,615.85,
Brazil,1907,216.46,109.11,113.64,158.11,681.77,
Brazil,1908,207.57,108.77,112.82,146.17,596.99,
Brazil,1909,218.20,120.17,124.62,162.85,641.67,
Brazil,1910,249.49,154.21,158.96,199.96,669.36,
Brazil,1911,258.01,127.11,131.85,170.17,653.35,
Brazil,1912,292.07,162.15,167.35,210.40,702.28,
Brazil,1913,299.43,176.75,182.01,223.26,693.82,
Brazil,1914,76.97,-39.98,-34.87,3.55,659.82,
Brazil,1915,27.92,-89.34,-84.03,-42.12,670.25,
Brazil,1916,27.78,-79.90,-74.48,-30.08,670.64,
Brazil,1917,14.01,-73.15,-67.39,-16.35,697.09,
Brazil,1918,8.12,-63.75,-58.14,-8.98,663.94,
Brazil,1919,50.52,-13.57,-7.25,55.47,730.69,
Brazil,1920,67.80,15.16,22.06,95.38,780.44,
Brazil,1921,57.32,-0.64,6.45,81.34,784.98,
Brazil,1922,76.92,16.62,24.25,108.16,826.69,
Brazil,1923,39.97,-16.83,-8.70,83.94,861.27,
Brazil,1924,71.59,17.05,25.23,114.40,848.00,
Brazil,1925,97.33,43.85,52.12,137.13,838.85,
Brazil,1926,103.01,52.43,60.94,145.91,844.16,
Brazil,1927,117.92,68.87,78.06,171.61,892.10,
Brazil,1928,113.24,64.08,74.41,186.46,980.20,
Brazil,1929,145.68,97.09,107.52,214.62,967.88,
Brazil,1930,41.88,-4.65,5.22,98.50,896.82,
Brazil,1931,8.74,-21.91,-12.19,77.51,863.85,
Brazil,1932,3.67,-29.54,-19.40,78.33,880.76,
Brazil,1933,21.47,-12.78,-1.93,113.11,935.40,
Brazil,1934,42.18,9.14,19.63,154.14,998.72,
Brazil,1935,89.24,57.35,68.98,204.34,1010.92,
Brazil,1936,64.22,34.02,45.16,203.57,1091.62,
Brazil,1937,86.42,57.65,69.31,230.49,1110.71,
Brazil,1938,66.03,36.98,50.78,219.54,1140.06,
Brazil,1939,25.06,-3.02,11.50,178.28,1134.40,
Brazil,1940,32.62,4.49,19.85,184.79,1128.77,
Brazil,1941,19.52,-33.08,-18.68,163.38,1180.27,
Brazil,1942,-1.88,-47.83,-35.95,127.07,1110.61,
Brazil,1943,-4.87,-49.59,-38.46,170.03,1236.39,
Brazil,1944,8.13,-33.25,-21.71,194.56,1253.15,
Brazil,1945,40.96,1.65,14.23,228.21,1257.33,
Brazil,1946,77.67,42.83,57.50,299.22,1358.25,
Brazil,1947,114.64,84.45,100.40,334.42,1374.17,
Brazil,1948,43.29,15.84,33.78,289.82,1445.71,
Brazil,1949,55.06,28.01,47.87,321.02,1503.42,
Brazil,1950,57.14,31.08,52.92,341.97,1559.46,
Brazil,1951,81.09,2.40,27.28,331.52,1604.11,
Brazil,1952,77.28,1.55,28.38,359.77,1676.04,
Brazil,1953,81.88,9.39,37.93,373.33,1677.94,
Brazil,1954,97.42,25.74,55.25,452.64,1809.64,
Brazil,1955,62.99,-5.25,24.02,446.95,1851.78,
Brazil,1956,84.86,18.35,46.95,475.99,1856.43,
Brazil,1957,98.54,33.23,65.62,544.17,1950.28,
Brazil,1958,136.39,74.28,114.47,642.00,2039.13,
Brazil,1959,155.19,94.65,128.87,679.27,2085.52,
Brazil,1960,110.18,-102.95,-64.73,496.85,2221.23,
Brazil,1961,58.30,-125.06,-81.45,562.99,2382.37,
Brazil,1962,106.73,-66.27,-17.66,637.43,2416.91,
Brazil,1963,132.76,-35.33,8.66,633.42,2376.94,
Brazil,1964,88.71,-76.33,-37.91,594.40,2399.81,
Brazil,1965,89.27,-70.02,-11.47,616.28,2398.16,
Brazil,1966,112.22,-39.72,21.38,653.74,2423.15,
Brazil,1967,116.20,-29.44,34.66,687.62,2473.76,
Brazil,1968,184.72,44.38,115.97,877.76,2680.18,
Brazil,1969,210.77,76.95,160.02,1019.89,2872.88,
Brazil,1970,335.99,218.49,300.92,1130.31,2870.90,
Brazil,1971,392.68,-54.59,35.30,995.99,3119.33,
Brazil,1972,431.68,3.06,109.14,1232.61,3409.23,
Brazil,1973,505.59,105.52,211.45,1571.88,3794.79,
Brazil,1974,553.65,165.88,272.16,1735.23,4008.81,
Brazil,1975,630.51,264.80,372.74,1853.03,4117.62,
Brazil,1976,620.24,272.05,386.49,2065.09,4433.45,
Brazil,1977,582.24,257.90,373.35,2095.57,4543.21,
Brazil,1978,625.95,322.13,439.10,2216.24,4657.69,
Brazil,1979,694.15,401.93,521.96,2437.17,4857.43,
Brazil,1980,961.02,670.14,797.80,3010.92,5229.35,
Brazil,1981,927.56,651.30,778.56,2649.36,4892.21,
Brazil,1982,836.13,576.83,707.03,2503.82,4819.85,
Brazil,1983,635.14,367.25,490.32,2090.67,4572.75,
Brazil,1984,583.75,314.78,429.38,2150.41,4713.94,
Brazil,1985,550.15,282.24,425.66,2369.31,4977.49,
Brazil,1986,659.01,474.14,658.27,2814.74,5243.06,
Brazil,1987,866.58,688.00,885.57,3086.62,5322.66,
Brazil,1988,916.57,750.01,958.38,3039.73,5219.72,
Brazil,1989,1046.66,872.41,1077.30,3203.54,5291.58,
Brazil,1990,679.33,504.08,691.49,2523.97,4968.70,
Brazil,1991,537.61,317.74,505.41,2315.92,4936.29,
Brazil,1992,558.60,355.30,540.44,2272.98,4831.42,
Brazil,1993,606.96,429.09,621.33,2482.41,4990.76,
Brazil,1994,560.51,387.78,589.73,2618.62,5202.23,
Brazil,1995,444.16,271.62,479.95,2614.32,5339.11,
Brazil,1996,387.06,215.19,419.91,2564.85,5370.59,
Brazil,1997,469.79,303.52,509.21,2720.97,5467.75,
Brazil,1998,522.72,369.06,597.61,2719.33,5387.65,
Brazil,1999,570.06,411.09,640.02,2687.31,5321.21,
Brazil,2000,645.96,459.47,678.35,2873.88,5469.12,
Chile,1900,-3.88,-90.27,-77.13,-15.47,2132.73,
Chile,1901,68.97,-35.98,-20.22,42.83,2153.22,
Chile,1902,-7.11,-74.03,-57.60,10.01,2213.63,
Chile,1903,5.32,-63.89,-48.11,10.87,2058.03,
Chile,1904,94.82,17.80,34.60,101.67,2193.06,
Chile,1905,181.03,101.92,122.61,186.62,2158.10,
Chile,1906,315.48,224.03,247.32,317.75,2292.01,
Chile,1907,374.63,279.15,297.69,371.34,2376.99,
Chile,1908,273.58,172.45,190.92,277.87,2600.40,
Chile,1909,147.13,57.46,77.69,163.48,2584.88,
Chile,1910,190.89,108.79,131.77,235.92,2845.48,
Chile,1911,280.42,211.92,236.24,331.19,2738.10,
Chile,1912,361.21,257.54,292.37,391.14,2815.42,
Chile,1913,318.33,227.85,253.95,352.98,2835.56,
Chile,1914,32.19,-34.71,-13.67,55.78,2369.87,
Chile,1915,-101.15,-209.89,-192.42,-126.96,2268.34,
Chile,1916,-28.50,-300.12,-278.53,-179.45,2750.18,
Chile,1917,-49.48,-321.39,-303.01,-200.83,2765.45,
Chile,1918,-54.78,-262.90,-241.84,-136.45,2782.88,
Chile,1919,-59.90,-139.47,-121.49,-44.72,2361.21,
Chile,1920,-16.15,-115.93,-97.41,0.34,2638.04,
Chile,1921,0.89,-27.79,-13.26,58.68,2254.86,
Chile,1922,65.23,-43.86,-19.17,56.78,2305.13,
Chile,1923,84.68,-111.43,-79.46,29.41,2738.04,
Chile,1924,70.55,-88.66,-62.64,60.77,2903.80,
Chile,1925,80.74,-82.02,-56.30,75.13,2988.21,
Chile,1926,169.10,27.00,63.98,170.23,2701.45,
Chile,1927,147.54,-22.58,13.84,113.67,2615.74,
Chile,1928,197.87,-88.59,-44.10,103.84,3160.02,
Chile,1929,508.88,160.52,195.42,350.83,3279.18,
Chile,1930,475.03,373.15,415.09,502.18,2497.37,
Chile,1931,158.75,108.97,141.49,203.88,2106.21,
Chile,1932,-0.07,-6.64,14.86,59.25,1751.75,
Chile,1933,40.51,-65.41,-29.21,38.71,2124.60,
Chile,1934,104.33,-100.71,-68.44,30.74,2524.51,
Chile,1935,233.62,56.73,88.04,196.64,2627.94,
Chile,1936,220.43,53.25,92.20,208.95,2713.76,
Chile,1937,251.64,-141.20,-101.31,46.15,3036.91,
Chile,1938,255.92,32.63,69.10,214.78,3023.68,
Chile,1939,-86.38,-325.10,-294.03,-146.92,3038.56,
Chile,1940,-44.63,-284.08,-252.57,-98.92,3110.68,
Chile,1941,-83.25,-369.30,-334.37,-190.00,3033.04,
Chile,1942,-151.79,-406.16,-375.92,-222.44,3130.22,
Chile,1943,-174.62,-409.67,-374.62,-216.76,3175.25,
Chile,1944,-142.09,-355.14,-320.32,-161.73,3190.53,
Chile,1945,-124.11,-324.21,-273.69,-92.46,3418.57,
Chile,1946,-29.77,-178.21,-125.08,79.28,3660.17,
Chile,1947,38.17,-197.88,-161.28,-8.84,3220.17,
Chile,1948,42.92,-277.77,-223.08,-24.13,3704.12,
Chile,1949,80.57,-100.42,-56.91,122.64,3574.33,
Chile,1950,-9.64,-216.13,-164.87,26.75,3741.04,
Chile,1951,-45.36,-292.82,-225.80,-25.06,3829.78,
Chile,1952,-43.89,-282.88,-214.57,1.29,3966.49,
Chile,1953,-66.30,-338.35,-263.83,-32.93,4084.31,
Chile,1954,-245.37,-502.94,-458.20,-232.69,4010.29,
Chile,1955,-172.13,-578.15,-549.22,-332.43,3914.40,
Chile,1956,-158.66,-636.98,-579.65,-369.30,3844.77,
Chile,1957,29.75,-297.66,-212.09,33.13,4146.00,
Chile,1958,-26.49,-275.10,-198.68,53.51,4199.78,
Chile,1959,-94.79,-433.15,-365.49,-124.73,4074.84,
Chile,1960,-14.47,-463.54,-366.31,-87.45,4367.66,
Chile,1961,-24.70,-420.05,-314.69,-50.40,4259.92,
Chile,1962,-183.38,-621.38,-524.86,-233.25,4469.40,
Chile,1963,-211.72,-665.08,-580.66,-274.83,4583.38,
Chile,1964,-219.29,-681.77,-610.01,-306.25,4572.26,
Chile,1965,-218.42,-674.48,-594.75,-299.31,4503.76,
Chile,1966,-174.22,-679.60,-578.35,-225.81,4897.71,
Chile,1967,-236.05,-708.81,-593.78,-232.62,4952.02,
Chile,1968,-149.66,-646.29,-522.67,-150.40,5026.28,
Chile,1969,-219.92,-749.58,-625.52,-239.81,5112.77,
Chile,1970,-45.67,-605.68,-464.71,-79.37,5120.27,
Chile,1971,-305.21,-923.70,-690.09,-251.35,5478.71,
Chile,1972,-583.44,-1123.33,-1052.81,-640.87,5318.34,
Chile,1973,-683.24,-1270.26,-1238.62,-885.83,4938.23,
Chile,1974,-732.63,-1556.30,-1539.33,-1192.37,4906.06,
Chile,1975,-567.59,-1112.04,-1068.17,-815.14,4206.18,
Chile,1976,-442.47,-1185.75,-1118.93,-853.87,4290.31,
Chile,1977,-277.54,-1004.91,-909.59,-597.06,4648.19,
Chile,1978,-152.76,-794.94,-655.10,-300.21,4962.53,
Chile,1979,4.31,-814.11,-648.80,-246.31,5299.83,
Chile,1980,207.46,-690.31,-430.82,18.22,5638.54,
Chile,1981,395.51,-317.42,-45.64,433.49,5897.51,
Chile,1982,-211.97,-744.12,-530.69,-189.23,5017.01,
Chile,1983,-201.80,-790.32,-552.46,-239.85,4798.92,
Chile,1984,-157.24,-696.80,-445.80,-106.87,4999.50,
Chile,1985,20.73,-452.01,-201.64,137.05,5014.46,
Chile,1986,94.44,-275.15,-34.52,329.25,5207.30,
Chile,1987,386.06,-69.92,152.81,547.48,5458.01,
Chile,1988,549.78,-77.07,163.20,595.08,5757.68,
Chile,1989,724.20,10.65,244.05,740.53,6257.03,
Chile,1990,450.49,-128.63,53.95,554.68,6376.66,
Chile,1991,449.30,-85.34,116.27,669.59,6763.27,
Chile,1992,757.56,199.00,435.07,1093.03,7455.25,
Chile,1993,846.82,406.18,649.32,1352.71,7831.72,
Chile,1994,974.40,416.45,678.43,1411.91,8134.93,
Chile,1995,1322.08,524.50,875.56,1706.43,8854.46,
Chile,1996,1520.21,784.82,1123.40,2036.76,9370.27,
Chile,1997,1753.53,1024.51,1365.48,2326.84,9849.71,
Chile,1998,1526.16,1001.02,1331.43,2302.32,10033.83,
Chile,1999,1317.91,774.61,1062.91,1979.35,9831.15,
Chile,2000,870.00,192.66,519.33,1485.28,10146.38,
Colombia,1900,-37.33,-76.34,-73.69,-56.46,658.73,
Colombia,1901,-44.67,-81.81,-79.17,-62.13,660.21,
Colombia,1902,-21.26,-84.90,-82.28,-65.42,661.83,
Colombia,1903,-13.98,-66.14,-63.54,-46.87,663.35,
Colombia,1904,-21.53,-67.69,-65.11,-48.63,664.79,
Colombia,1905,-22.32,-64.86,-62.31,-46.02,666.13,
Colombia,1906,-24.26,-64.97,-62.15,-46.10,665.60,
Colombia,1907,-20.38,-57.80,-54.52,-38.12,689.37,
Colombia,1908,-19.34,-61.72,-58.36,-41.76,707.11,
Colombia,1909,-14.13,-55.71,-52.58,-35.83,723.27,
Colombia,1910,-9.19,-47.51,-43.89,-26.93,742.61,
Colombia,1911,-3.53,-55.51,-52.08,-35.02,757.18,
Colombia,1912,1.74,-47.73,-44.80,-27.51,771.73,
Colombia,1913,18.64,-29.18,-25.84,-8.32,786.31,
Colombia,1914,11.20,-35.81,-32.02,-14.35,796.91,
Colombia,1915,-16.76,-62.44,-59.01,-41.05,814.11,
Colombia,1916,-21.28,-60.82,-57.42,-39.07,835.65,
Colombia,1917,-24.62,-58.81,-55.64,-37.08,849.47,
Colombia,1918,-44.89,-74.41,-71.38,-52.35,875.44,
Colombia,1919,-28.59,-55.16,-51.31,-31.21,929.59,
Colombia,1920,40.18,18.03,20.72,41.67,973.65,
Colombia,1921,28.90,4.69,8.19,29.80,1009.45,
Colombia,1922,8.17,-15.15,-12.89,9.72,1056.71,
Colombia,1923,30.62,5.20,7.38,30.95,1102.01,
Colombia,1924,48.88,25.36,27.52,51.93,1141.74,
Colombia,1925,96.02,72.11,74.21,99.42,1179.75,
Colombia,1926,184.29,147.11,149.09,176.16,1267.11,
Colombia,1927,231.06,166.66,168.22,197.14,1354.16,
Colombia,1928,273.87,182.69,184.06,214.48,1425.05,
Colombia,1929,227.58,112.01,113.48,144.37,1447.38,
Colombia,1930,43.84,-15.43,-13.63,16.37,1406.72,
Colombia,1931,-35.65,-69.17,-66.97,-38.03,1357.20,
Colombia,1932,-53.18,-75.96,-73.44,-42.23,1418.75,
Colombia,1933,-27.32,-59.81,-57.27,-23.99,1468.42,
Colombia,1934,0.31,-89.40,-87.19,-51.48,1530.92,
Colombia,1935,7.75,-73.45,-70.03,-33.15,1537.59,
Colombia,1936,42.19,-53.98,-47.33,-8.23,1587.18,
Colombia,1937,90.55,-11.29,-3.93,36.03,1580.22,
Colombia,1938,130.56,44.40,52.32,95.09,1650.09,
