Entity,Year,Share in extreme poverty,Share not in extreme poverty
Poland,1890,7,93
Poland,1900,3,97
Poland,1910,2,98
Poland,1920,1,99
Poland,1930,1,99
Poland,1940,0,100
Poland,1950,0,100
Poland,1960,3,97
Poland,1970,0,100
Poland,1980,0,100
Poland,1990,0,100
Poland,2000,1,99
Poland,2010,1,99
Poland,2018,0,100
Russia,1820,98,2
Russia,1830,90,10
Russia,1840,90,10
Russia,1850,85,15
Russia,1860,70,30
Russia,1870,65,35
Russia,1880,49,51
Russia,1890,46,54
Russia,1900,31,69
Russia,1910,27,73
Russia,1920,70,30
Russia,1930,27,73
Russia,1940,11,89
Russia,1950,3,97
Russia,1960,0,100
Russia,1970,0,100
Russia,1980,0,100
Russia,1990,0,100
Russia,2000,18,82
Russia,2010,2,98
Russia,2018,2,98
South Africa,1820,86,14
South Africa,1830,82,18
South Africa,1840,86,14
South Africa,1850,90,10
South Africa,1860,83,17
South Africa,1870,83,17
South Africa,1880,54,46
South Africa,1890,67,33
South Africa,1900,77,23
South Africa,1910,69,31
South Africa,1920,70,30
South Africa,1930,68,32
South Africa,1940,52,48
South Africa,1950,40,60
South Africa,1960,38,62
South Africa,1970,24,76
South Africa,1980,15,85
South Africa,1990,29,71
South Africa,2000,28,72
South Africa,2010,18,82
South Africa,2018,21,79
South and Southeast Asia,1820,69,31
South and Southeast Asia,1850,69,31
South and Southeast Asia,1870,74,26
South and Southeast Asia,1900,66,34
South and Southeast Asia,1920,62,38
South and Southeast Asia,1950,67,33
South and Southeast Asia,1960,69,31
South and Southeast Asia,1970,64,36
South and Southeast Asia,1980,50,50
South and Southeast Asia,1990,47,53
South and Southeast Asia,2000,35,65
South and Southeast Asia,2010,23,77
South and Southeast Asia,2018,10,90
Spain,1820,83,17
Spain,1830,81,19
Spain,1840,78,22
Spain,1850,74,26
Spain,1860,67,33
Spain,1870,71,29
Spain,1880,52,48
Spain,1890,51,49
Spain,1900,53,47
Spain,1910,46,54
Spain,1920,51,49
Spain,1930,42,58
Spain,1940,42,58
Spain,1950,34,66
Spain,1960,20,80
Spain,1970,5,95
Spain,1980,0,100
Spain,1990,0,100
Spain,2000,0,100
Spain,2010,1,99
Spain,2018,2,98
Sub-Saharan Africa,1820,91,9
Sub-Saharan Africa,1850,95,5
Sub-Saharan Africa,1870,93,7
Sub-Saharan Africa,1900,91,9
Sub-Saharan Africa,1920,87,13
Sub-Saharan Africa,1950,70,30
Sub-Saharan Africa,1960,67,33
Sub-Saharan Africa,1970,62,38
Sub-Saharan Africa,1980,63,37
Sub-Saharan Africa,1990,58,42
Sub-Saharan Africa,2000,50,50
Sub-Saharan Africa,2010,41,59
Sub-Saharan Africa,2018,37,63
Sweden,1820,86,14
Sweden,1830,83,17
Sweden,1840,82,18
Sweden,1850,78,22
Sweden,1860,72,28
Sweden,1870,71,29
Sweden,1880,68,32
Sweden,1890,66,34
Sweden,1900,55,45
Sweden,1910,46,54
Sweden,1920,34,66
Sweden,1930,19,81
Sweden,1940,19,81
Sweden,1950,4,96
Sweden,1960,2,98
Sweden,1970,1,99
Sweden,1980,0,100
Sweden,1990,0,100
Sweden,2000,0,100
Sweden,2010,1,99
Sweden,2018,1,99
Thailand,1820,82,18
Thailand,1830,82,18
Thailand,1840,82,18
Thailand,1850,81,19
Thailand,1860,81,19
Thailand,1870,81,19
Thailand,1880,75,25
Thailand,1890,69,31
Thailand,1900,68,32
Thailand,1910,67,33
Thailand,1920,69,31
Thailand,1930,71,29
Thailand,1940,68,32
Thailand,1950,67,33
Thailand,1960,60,40
Thailand,1970,40,60
Thailand,1980,32,68
Thailand,1990,18,82
Thailand,2000,10,90
Thailand,2010,3,97
Thailand,2018,1,99
Turkey,1820,90,10
Turkey,1830,90,10
Turkey,1840,89,11
Turkey,1850,88,12
Turkey,1860,88,12
Turkey,1870,87,13
Turkey,1880,86,14
Turkey,1890,85,15
Turkey,1900,84,16
Turkey,1910,82,18
Turkey,1920,92,8
Turkey,1930,78,22
Turkey,1940,66,34
Turkey,1950,62,38
Turkey,1960,51,49
Turkey,1970,45,55
Turkey,1980,32,68
Turkey,1990,12,88
Turkey,2000,8,92
Turkey,2010,5,95
Turkey,2018,2,98
United Kingdom,1820,80,20
United Kingdom,1830,78,22
United Kingdom,1840,78,22
United Kingdom,1850,69,31
United Kingdom,1860,68,32
United Kingdom,1870,55,45
United Kingdom,1880,48,52
United Kingdom,1890,35,65
United Kingdom,1900,32,68
United Kingdom,1910,35,65
United Kingdom,1920,33,67
United Kingdom,1930,20,80
United Kingdom,1940,6,94
United Kingdom,1950,2,98
United Kingdom,1960,4,96
United Kingdom,1970,0,100
United Kingdom,1980,0,100
United Kingdom,1990,0,100
United Kingdom,2000,0,100
United Kingdom,2010,1,99
United Kingdom,2018,1,99
United States,1820,52,48
United States,1830,43,57
United States,1840,34,66
United States,1850,26,74
United States,1860,28,72
United States,1870,31,69
United States,1880,18,82
United States,1890,9,91
United States,1900,9,91
United States,1910,8,92
United States,1920,2,98
United States,1930,4,96
United States,1940,1,99
United States,1950,1,99
United States,1960,0,100
United States,1970,0,100
United States,1980,1,99
United States,1990,0,100
United States,2000,1,99
United States,2010,1,99
United States,2018,1,99
Western Europe,1820,73,27
Western Europe,1850,65,35
Western Europe,1870,59,41
Western Europe,1900,41,59
Western Europe,1920,38,62
Western Europe,1950,21,79
Western Europe,1960,11,89
Western Europe,1970,2,98
Western Europe,1980,0,100
Western Europe,1990,0,100
Western Europe,2000,0,100
Western Europe,2010,1,99
Western Europe,2018,1,99
Western Offshoots,1820,55,45
Western Offshoots,1850,28,72
Western Offshoots,1870,31,69
Western Offshoots,1900,9,91
Western Offshoots,1920,3,97
Western Offshoots,1950,1,99
Western Offshoots,1960,0,100
Western Offshoots,1970,0,100
Western Offshoots,1980,1,99
Western Offshoots,1990,1,99
Western Offshoots,2000,1,99
Western Offshoots,2010,1,99
Western Offshoots,2018,1,99
World,1820,75.6467,24.3533
World,1850,73.8068,26.1932
World,1870,71.4972,28.5028
World,1900,59.7436,40.2564
World,1920,59.2104,40.7896
World,1950,53.1318,46.8682
World,1960,47.5142,52.4858
World,1970,44.6203,55.3797
World,1980,33.8568,66.1432
World,1990,30.8594,69.1406
World,2000,25.3321,74.6679
World,2010,16.9678,83.0322
World,2018,10.0145,89.9855
