Entity,Year,Family
Netherlands,2013,1.3
Netherlands,2014,..
Netherlands,2015,..
New Zealand,1980,2.1
New Zealand,1985,2.3
New Zealand,1990,2.5
New Zealand,1995,2.2
New Zealand,2000,2.7
New Zealand,2005,2.5
New Zealand,2010,3.4
New Zealand,2013,2.8
New Zealand,2014,2.6
New Zealand,2015,..
Norway,1980,1.8
Norway,1985,1.9
Norway,1990,2.7
Norway,1995,3.5
Norway,2000,3
Norway,2005,2.8
Norway,2010,3.1
Norway,2013,3
Norway,2014,..
Norway,2015,..
OECD - Total,1980,1.5
OECD - Total,1985,1.5
OECD - Total,1990,1.6
OECD - Total,1995,1.8
OECD - Total,2000,1.8
OECD - Total,2005,1.9
OECD - Total,2010,2.2
OECD - Total,2013,2.1
OECD - Total,2014,..
OECD - Total,2015,..
Poland,1980,..
Poland,1985,..
Poland,1990,1.6
Poland,1995,1
Poland,2000,1.2
Poland,2005,1.2
Poland,2010,1.3
Poland,2013,..
Poland,2014,..
Poland,2015,..
Portugal,1980,0.6
Portugal,1985,0.6
Portugal,1990,0.7
Portugal,1995,0.7
Portugal,2000,1
Portugal,2005,1.2
Portugal,2010,1.4
Portugal,2013,1.2
Portugal,2014,..
Portugal,2015,..
Slovak Republic,1980,..
Slovak Republic,1985,..
Slovak Republic,1990,..
Slovak Republic,1995,2.4
Slovak Republic,2000,2
Slovak Republic,2005,1.9
Slovak Republic,2010,2
Slovak Republic,2013,2.1
Slovak Republic,2014,..
Slovak Republic,2015,..
Slovenia,1980,..
Slovenia,1985,..
Slovenia,1990,..
Slovenia,1995,..
Slovenia,2000,2.1
Slovenia,2005,1.9
Slovenia,2010,2.1
Slovenia,2013,2
Slovenia,2014,..
Slovenia,2015,..
Spain,1980,0.5
Spain,1985,0.3
Spain,1990,0.3
Spain,1995,0.4
Spain,2000,0.9
Spain,2005,1.2
Spain,2010,1.5
Spain,2013,1.3
Spain,2014,..
Spain,2015,..
Sweden,1980,3.5
Sweden,1985,3.7
Sweden,1990,4
Sweden,1995,3.6
Sweden,2000,2.8
Sweden,2005,3.2
Sweden,2010,3.4
Sweden,2013,3.6
Sweden,2014,..
Sweden,2015,..
Switzerland,1980,0.9
Switzerland,1985,0.9
Switzerland,1990,1.1
Switzerland,1995,1.3
Switzerland,2000,1.4
Switzerland,2005,1.5
Switzerland,2010,1.5
Switzerland,2013,1.6
Switzerland,2014,..
Switzerland,2015,..
Turkey,1980,0.6
Turkey,1985,0.5
Turkey,1990,0.9
Turkey,1995,0.2
Turkey,2000,0.2
Turkey,2005,0.3
Turkey,2010,0.3
Turkey,2013,0.4
Turkey,2014,..
Turkey,2015,..
United Kingdom,1980,2.2
United Kingdom,1985,2.1
United Kingdom,1990,1.8
United Kingdom,1995,2.2
United Kingdom,2000,2.6
United Kingdom,2005,3
United Kingdom,2010,4
United Kingdom,2013,3.8
United Kingdom,2014,..
United Kingdom,2015,..
United States,1980,0.8
United States,1985,0.6
United States,1990,0.5
United States,1995,0.6
United States,2000,0.8
United States,2005,0.7
United States,2010,0.7
United States,2013,0.7
United States,2014,..
United States,2015,..
