Entity,Year,Human Development Index (Prados de la Escosura)
Belize,2000,0.48
Belize,2005,0.51
Belize,2007,0.46
Belize,2010,0.49
Belize,2015,0.43
Benin,1870,0.02
Benin,1880,0.02
Benin,1890,0.02
Benin,1900,0.03
Benin,1913,0.03
Benin,1925,0.04
Benin,1929,0.04
Benin,1933,0.04
Benin,1938,0.05
Benin,1950,0.06
Benin,1955,0.07
Benin,1960,0.09
Benin,1965,0.10
Benin,1970,0.11
Benin,1975,0.12
Benin,1980,0.15
Benin,1985,0.16
Benin,1990,0.17
Benin,1995,0.19
Benin,2000,0.21
Benin,2005,0.24
Benin,2007,0.22
Benin,2010,0.25
Benin,2015,0.26
Bolivia,1870,0.04
Bolivia,1880,0.04
Bolivia,1890,0.05
Bolivia,1900,0.06
Bolivia,1913,0.08
Bolivia,1925,0.10
Bolivia,1929,0.10
Bolivia,1933,0.10
Bolivia,1938,0.11
Bolivia,1950,0.14
Bolivia,1955,0.15
Bolivia,1960,0.15
Bolivia,1965,0.19
Bolivia,1970,0.21
Bolivia,1975,0.23
Bolivia,1980,0.27
Bolivia,1985,0.29
Bolivia,1990,0.31
Bolivia,1995,0.34
Bolivia,2000,0.37
Bolivia,2005,0.41
Bolivia,2007,0.41
Bolivia,2010,0.43
Bolivia,2015,0.47
Botswana,1870,0.02
Botswana,1880,0.02
Botswana,1890,0.03
Botswana,1900,0.04
Botswana,1913,0.04
Botswana,1925,0.05
Botswana,1929,0.05
Botswana,1933,0.06
Botswana,1938,0.07
Botswana,1950,0.10
Botswana,1955,0.11
Botswana,1960,0.12
Botswana,1965,0.15
Botswana,1970,0.17
Botswana,1975,0.21
Botswana,1980,0.26
Botswana,1985,0.29
Botswana,1990,0.32
Botswana,1995,0.32
Botswana,2000,0.30
Botswana,2005,0.31
Botswana,2007,0.33
Botswana,2010,0.35
Botswana,2015,0.40
Brazil,1870,0.05
Brazil,1880,0.06
Brazil,1890,0.07
Brazil,1900,0.08
Brazil,1913,0.09
Brazil,1925,0.10
Brazil,1929,0.11
Brazil,1933,0.12
Brazil,1938,0.13
Brazil,1950,0.19
Brazil,1955,0.21
Brazil,1960,0.23
Brazil,1965,0.25
Brazil,1970,0.27
Brazil,1975,0.32
Brazil,1980,0.34
Brazil,1985,0.36
Brazil,1990,0.38
Brazil,1995,0.42
Brazil,2000,0.48
Brazil,2005,0.49
Brazil,2007,0.49
Brazil,2010,0.51
Brazil,2015,0.54
Brunei,1990,0.45
Brunei,1995,0.48
Brunei,2000,0.50
Brunei,2005,0.52
Brunei,2007,0.54
Brunei,2010,0.55
Brunei,2015,0.58
Bulgaria,1870,0.09
Bulgaria,1880,0.10
Bulgaria,1890,0.11
Bulgaria,1900,0.13
Bulgaria,1913,0.17
Bulgaria,1925,0.18
Bulgaria,1929,0.20
Bulgaria,1933,0.23
Bulgaria,1938,0.26
Bulgaria,1950,0.30
Bulgaria,1955,0.34
Bulgaria,1960,0.38
Bulgaria,1965,0.42
Bulgaria,1970,0.45
Bulgaria,1975,0.46
Bulgaria,1980,0.47
Bulgaria,1985,0.48
Bulgaria,1990,0.50
Bulgaria,1995,0.49
Bulgaria,2000,0.51
Bulgaria,2005,0.53
Bulgaria,2007,0.54
Bulgaria,2010,0.55
Bulgaria,2015,0.59
Burkina Faso,1870,0.02
Burkina Faso,1880,0.02
Burkina Faso,1890,0.02
Burkina Faso,1900,0.02
Burkina Faso,1913,0.03
Burkina Faso,1925,0.03
Burkina Faso,1929,0.03
Burkina Faso,1933,0.03
Burkina Faso,1938,0.03
Burkina Faso,1950,0.04
Burkina Faso,1955,0.05
Burkina Faso,1960,0.06
Burkina Faso,1965,0.07
Burkina Faso,1970,0.08
Burkina Faso,1975,0.08
Burkina Faso,1980,0.09
Burkina Faso,1985,0.10
Burkina Faso,1990,0.12
Burkina Faso,1995,0.13
Burkina Faso,2000,0.15
Burkina Faso,2005,0.16
Burkina Faso,2007,0.17
Burkina Faso,2010,0.19
Burkina Faso,2015,0.22
Burundi,1870,0.02
Burundi,1880,0.02
Burundi,1890,0.02
Burundi,1900,0.02
Burundi,1913,0.03
Burundi,1925,0.03
Burundi,1929,0.03
Burundi,1933,0.04
Burundi,1938,0.05
Burundi,1950,0.06
Burundi,1955,0.07
Burundi,1960,0.09
Burundi,1965,0.09
Burundi,1970,0.11
Burundi,1975,0.11
Burundi,1980,0.11
Burundi,1985,0.13
Burundi,1990,0.15
Burundi,1995,0.15
Burundi,2000,0.16
Burundi,2005,0.16
Burundi,2007,0.21
Burundi,2010,0.22
Burundi,2015,0.25
Cambodia,1870,0.02
Cambodia,1880,0.02
Cambodia,1890,0.02
Cambodia,1900,0.02
Cambodia,1913,0.02
Cambodia,1925,0.03
Cambodia,1929,0.05
Cambodia,1933,0.05
Cambodia,1938,0.06
Cambodia,1950,0.09
Cambodia,1955,0.12
Cambodia,1960,0.14
Cambodia,1965,0.16
Cambodia,1970,0.13
Cambodia,1975,0.11
Cambodia,1980,0.17
Cambodia,1985,0.23
Cambodia,1990,0.22
Cambodia,1995,0.24
Cambodia,2000,0.26
Cambodia,2005,0.29
Cambodia,2007,0.31
Cambodia,2010,0.32
Cambodia,2015,0.37
Cameroon,1870,0.03
Cameroon,1880,0.03
Cameroon,1890,0.03
Cameroon,1900,0.03
Cameroon,1913,0.04
Cameroon,1925,0.04
Cameroon,1929,0.04
Cameroon,1933,0.05
Cameroon,1938,0.06
Cameroon,1950,0.08
Cameroon,1955,0.08
Cameroon,1960,0.10
Cameroon,1965,0.11
Cameroon,1970,0.16
Cameroon,1975,0.17
Cameroon,1980,0.20
Cameroon,1985,0.23
Cameroon,1990,0.23
Cameroon,1995,0.23
Cameroon,2000,0.22
Cameroon,2005,0.24
Cameroon,2007,0.23
Cameroon,2010,0.24
Cameroon,2015,0.28
Canada,1870,0.21
Canada,1880,0.23
Canada,1890,0.25
Canada,1900,0.27
Canada,1913,0.32
Canada,1925,0.37
Canada,1929,0.39
Canada,1933,0.38
Canada,1938,0.41
Canada,1950,0.47
Canada,1955,0.50
Canada,1960,0.53
Canada,1965,0.58
Canada,1970,0.59
Canada,1975,0.59
Canada,1980,0.60
Canada,1985,0.66
Canada,1990,0.71
Canada,1995,0.78
Canada,2000,0.75
Canada,2005,0.82
Canada,2007,0.83
Canada,2010,0.85
Canada,2015,0.88
Cape Verde,1950,0.11
Cape Verde,1955,0.12
Cape Verde,1960,0.14
Cape Verde,1965,0.16
Cape Verde,1970,0.19
Cape Verde,1975,0.21
Cape Verde,1980,0.23
Cape Verde,1985,0.26
Cape Verde,1990,0.29
Cape Verde,1995,0.34
Cape Verde,2000,0.38
Cape Verde,2005,0.39
Cape Verde,2007,0.42
Cape Verde,2010,0.43
Cape Verde,2015,0.46
Central African Republic,1870,0.02
Central African Republic,1880,0.02
Central African Republic,1890,0.02
Central African Republic,1900,0.02
Central African Republic,1913,0.02
Central African Republic,1925,0.02
Central African Republic,1929,0.02
Central African Republic,1933,0.02
Central African Republic,1938,0.03
Central African Republic,1950,0.05
Central African Republic,1955,0.07
Central African Republic,1960,0.10
Central African Republic,1965,0.11
Central African Republic,1970,0.12
Central African Republic,1975,0.13
Central African Republic,1980,0.15
Central African Republic,1985,0.15
Central African Republic,1990,0.16
Central African Republic,1995,0.15
Central African Republic,2000,0.16
Central African Republic,2005,0.16
Central African Republic,2007,0.16
Central African Republic,2010,0.16
Central African Republic,2015,0.16
Chad,1870,0.02
Chad,1880,0.02
Chad,1890,0.02
Chad,1900,0.02
Chad,1913,0.02
Chad,1925,0.02
Chad,1929,0.02
Chad,1933,0.03
Chad,1938,0.03
Chad,1950,0.03
Chad,1955,0.05
Chad,1960,0.06
Chad,1965,0.08
Chad,1970,0.08
Chad,1975,0.09
Chad,1980,0.10
Chad,1985,0.12
Chad,1990,0.13
Chad,1995,0.14
Chad,2000,0.13
Chad,2005,0.15
Chad,2007,0.16
Chad,2010,0.18
Chad,2015,0.19
Chile,1870,0.07
Chile,1880,0.07
Chile,1890,0.09
Chile,1900,0.11
Chile,1913,0.15
Chile,1925,0.17
Chile,1929,0.18
Chile,1933,0.18
Chile,1938,0.20
Chile,1950,0.28
Chile,1955,0.30
Chile,1960,0.32
Chile,1965,0.35
Chile,1970,0.38
Chile,1975,0.41
Chile,1980,0.44
Chile,1985,0.45
Chile,1990,0.48
Chile,1995,0.53
Chile,2000,0.57
Chile,2005,0.61
Chile,2007,0.66
Chile,2010,0.65
Chile,2015,0.74
China,1870,0.04
China,1880,0.04
China,1890,0.05
China,1900,0.04
China,1913,0.04
China,1925,0.05
China,1929,0.07
China,1933,0.08
China,1938,0.09
China,1950,0.12
China,1955,0.16
China,1960,0.15
China,1965,0.23
China,1970,0.25
China,1975,0.28
China,1980,0.29
China,1985,0.30
China,1990,0.31
China,1995,0.35
China,2000,0.39
China,2005,0.42
China,2007,0.46
China,2010,0.48
China,2015,0.54
Colombia,1870,0.06
Colombia,1880,0.06
Colombia,1890,0.06
Colombia,1900,0.08
Colombia,1913,0.10
Colombia,1925,0.12
Colombia,1929,0.13
Colombia,1933,0.13
Colombia,1938,0.14
Colombia,1950,0.20
Colombia,1955,0.23
Colombia,1960,0.24
Colombia,1965,0.27
Colombia,1970,0.31
Colombia,1975,0.33
Colombia,1980,0.36
Colombia,1985,0.37
Colombia,1990,0.39
Colombia,1995,0.42
Colombia,2000,0.45
Colombia,2005,0.48
Colombia,2007,0.50
Colombia,2010,0.53
Colombia,2015,0.55
Comoros,1980,0.19
Comoros,1985,0.20
Comoros,1990,0.20
Comoros,1995,0.22
Comoros,2000,0.24
Comoros,2005,0.25
Comoros,2007,0.26
Comoros,2010,0.28
Comoros,2015,0.28
Congo,1870,0.02
Congo,1880,0.02
Congo,1890,0.02
Congo,1900,0.02
Congo,1913,0.03
Congo,1925,0.03
Congo,1929,0.03
Congo,1933,0.04
Congo,1938,0.05
Congo,1950,0.08
Congo,1955,0.11
Congo,1960,0.13
Congo,1965,0.15
Congo,1970,0.19
Congo,1975,0.21
Congo,1980,0.29
Congo,1985,0.32
Congo,1990,0.32
Congo,1995,0.30
Congo,2000,0.27
Congo,2005,0.29
Congo,2007,0.28
Congo,2010,0.29
Congo,2015,0.34
Costa Rica,1913,0.13
Costa Rica,1925,0.16
Costa Rica,1929,0.17
Costa Rica,1933,0.19
Costa Rica,1938,0.21
Costa Rica,1950,0.26
Costa Rica,1955,0.29
Costa Rica,1960,0.31
Costa Rica,1965,0.35
Costa Rica,1970,0.38
Costa Rica,1975,0.41
Costa Rica,1980,0.44
Costa Rica,1985,0.44
Costa Rica,1990,0.47
Costa Rica,1995,0.50
Costa Rica,2000,0.52
Costa Rica,2005,0.57
Costa Rica,2007,0.58
Costa Rica,2010,0.62
Costa Rica,2015,0.67
Cote d'Ivoire,1870,0.03
Cote d'Ivoire,1880,0.03
Cote d'Ivoire,1890,0.03
Cote d'Ivoire,1900,0.03
Cote d'Ivoire,1913,0.03
Cote d'Ivoire,1925,0.03
Cote d'Ivoire,1929,0.04
Cote d'Ivoire,1933,0.04
Cote d'Ivoire,1938,0.04
Cote d'Ivoire,1950,0.06
Cote d'Ivoire,1955,0.07
Cote d'Ivoire,1960,0.10
Cote d'Ivoire,1965,0.12
Cote d'Ivoire,1970,0.15
Cote d'Ivoire,1975,0.16
Cote d'Ivoire,1980,0.20
Cote d'Ivoire,1985,0.21
Cote d'Ivoire,1990,0.21
Cote d'Ivoire,1995,0.21
Cote d'Ivoire,2000,0.22
Cote d'Ivoire,2005,0.22
Cote d'Ivoire,2007,0.21
Cote d'Ivoire,2010,0.24
Cote d'Ivoire,2015,0.22
Croatia,1980,0.47
Croatia,1985,0.48
Croatia,1990,0.48
Croatia,1995,0.49
Croatia,2000,0.52
Croatia,2005,0.56
Croatia,2007,0.59
Croatia,2010,0.60
Croatia,2015,0.63
Cuba,1870,0.08
Cuba,1880,0.10
Cuba,1890,0.12
Cuba,1900,0.13
Cuba,1913,0.17
Cuba,1925,0.19
Cuba,1929,0.19
Cuba,1933,0.19
Cuba,1938,0.21
Cuba,1950,0.28
Cuba,1955,0.29
Cuba,1960,0.33
Cuba,1965,0.36
Cuba,1970,0.39
Cuba,1975,0.42
Cuba,1980,0.47
Cuba,1985,0.48
Cuba,1990,0.48
Cuba,1995,0.47
Cuba,2000,0.51
Cuba,2005,0.56
Cuba,2007,0.69
Cuba,2010,0.73
Cuba,2015,0.64
Cyprus,1913,0.14
Cyprus,1925,0.18
Cyprus,1929,0.19
Cyprus,1933,0.20
Cyprus,1938,0.23
Cyprus,1950,0.29
Cyprus,1955,0.33
Cyprus,1960,0.36
Cyprus,1965,0.37
Cyprus,1970,0.38
Cyprus,1975,0.40
Cyprus,1980,0.43
Cyprus,1985,0.45
Cyprus,1990,0.49
Cyprus,1995,0.54
Cyprus,2000,0.59
Cyprus,2005,0.62
Cyprus,2007,0.64
Cyprus,2010,0.66
Cyprus,2015,0.66
Czech Republic,1870,0.15
Czech Republic,1880,0.16
Czech Republic,1890,0.19
Czech Republic,1900,0.22
Czech Republic,1913,0.25
Czech Republic,1925,0.28
Czech Republic,1929,0.30
Czech Republic,1933,0.32
Czech Republic,1938,0.35
Czech Republic,1950,0.39
Czech Republic,1955,0.43
Czech Republic,1960,0.47
Czech Republic,1965,0.48
Czech Republic,1970,0.49
Czech Republic,1975,0.50
Czech Republic,1980,0.52
Czech Republic,1985,0.53
Czech Republic,1990,0.53
Czech Republic,1995,0.54
Czech Republic,2000,0.54
Czech Republic,2005,0.60
Czech Republic,2007,0.62
Czech Republic,2010,0.64
Czech Republic,2015,0.68
Democratic Republic of Congo,1870,0.02
Democratic Republic of Congo,1880,0.02
Democratic Republic of Congo,1890,0.02
Democratic Republic of Congo,1900,0.02
Democratic Republic of Congo,1913,0.02
Democratic Republic of Congo,1925,0.03
Democratic Republic of Congo,1929,0.03
Democratic Republic of Congo,1933,0.04
Democratic Republic of Congo,1938,0.06
Democratic Republic of Congo,1950,0.08
Democratic Republic of Congo,1955,0.10
Democratic Republic of Congo,1960,0.12
Democratic Republic of Congo,1965,0.13
Democratic Republic of Congo,1970,0.15
Democratic Republic of Congo,1975,0.16
Democratic Republic of Congo,1980,0.16
Democratic Republic of Congo,1985,0.17
Democratic Republic of Congo,1990,0.17
Democratic Republic of Congo,1995,0.15
Democratic Republic of Congo,2000,0.14
Democratic Republic of Congo,2005,0.15
Democratic Republic of Congo,2007,0.17
Democratic Republic of Congo,2010,0.18
Democratic Republic of Congo,2015,0.22
Denmark,1870,0.24
Denmark,1880,0.24
Denmark,1890,0.27
Denmark,1900,0.31
Denmark,1913,0.34
Denmark,1925,0.36
Denmark,1929,0.38
Denmark,1933,0.39
Denmark,1938,0.40
Denmark,1950,0.44
Denmark,1955,0.47
Denmark,1960,0.49
Denmark,1965,0.50
Denmark,1970,0.55
Denmark,1975,0.56
Denmark,1980,0.59
Denmark,1985,0.60
Denmark,1990,0.61
Denmark,1995,0.63
Denmark,2000,0.69
Denmark,2005,0.78
Denmark,2007,0.79
Denmark,2010,0.80
Denmark,2015,0.83
Djibouti,1950,0.08
Djibouti,1955,0.09
Djibouti,1960,0.10
Djibouti,1965,0.11
Djibouti,1970,0.12
Djibouti,1975,0.13
Djibouti,1980,0.15
Djibouti,1985,0.16
Djibouti,1990,0.18
Djibouti,1995,0.18
Djibouti,2000,0.18
Djibouti,2005,0.20
Djibouti,2007,0.22
Djibouti,2010,0.23
Djibouti,2015,0.26
Dominican Republic,1950,0.16
Dominican Republic,1955,0.20
Dominican Republic,1960,0.23
Dominican Republic,1965,0.24
Dominican Republic,1970,0.27
Dominican Republic,1975,0.29
Dominican Republic,1980,0.32
Dominican Republic,1985,0.35
Dominican Republic,1990,0.37
Dominican Republic,1995,0.38
Dominican Republic,2000,0.41
Dominican Republic,2005,0.43
Dominican Republic,2007,0.45
Dominican Republic,2010,0.47
Dominican Republic,2015,0.49
Ecuador,1870,0.04
Ecuador,1880,0.05
Ecuador,1890,0.05
Ecuador,1900,0.07
Ecuador,1913,0.07
Ecuador,1925,0.09
Ecuador,1929,0.10
Ecuador,1933,0.11
Ecuador,1938,0.12
Ecuador,1950,0.19
Ecuador,1955,0.22
Ecuador,1960,0.24
Ecuador,1965,0.26
Ecuador,1970,0.29
Ecuador,1975,0.32
Ecuador,1980,0.36
Ecuador,1985,0.40
Ecuador,1990,0.42
Ecuador,1995,0.44
Ecuador,2000,0.46
Ecuador,2005,0.48
Ecuador,2007,0.47
Ecuador,2010,0.51
Ecuador,2015,0.55
Egypt,1870,0.04
Egypt,1880,0.04
Egypt,1890,0.04
Egypt,1900,0.05
Egypt,1913,0.06
Egypt,1925,0.08
Egypt,1929,0.08
Egypt,1933,0.08
Egypt,1938,0.09
Egypt,1950,0.13
Egypt,1955,0.14
Egypt,1960,0.16
Egypt,1965,0.17
Egypt,1970,0.18
Egypt,1975,0.20
Egypt,1980,0.23
Egypt,1985,0.26
Egypt,1990,0.29
Egypt,1995,0.31
Egypt,2000,0.34
Egypt,2005,0.38
Egypt,2007,0.38
Egypt,2010,0.39
Egypt,2015,0.41
El Salvador,1913,0.07
El Salvador,1925,0.08
El Salvador,1929,0.08
El Salvador,1933,0.09
El Salvador,1938,0.11
El Salvador,1950,0.16
El Salvador,1955,0.18
El Salvador,1960,0.20
El Salvador,1965,0.23
El Salvador,1970,0.26
El Salvador,1975,0.27
El Salvador,1980,0.27
El Salvador,1985,0.28
El Salvador,1990,0.33
El Salvador,1995,0.35
El Salvador,2000,0.38
El Salvador,2005,0.41
El Salvador,2007,0.43
El Salvador,2010,0.43
El Salvador,2015,0.45
Equatorial Guinea,1950,0.10
Equatorial Guinea,1955,0.12
Equatorial Guinea,1960,0.13
Equatorial Guinea,1965,0.16
Equatorial Guinea,1970,0.18
Equatorial Guinea,1975,0.18
Equatorial Guinea,1980,0.21
Equatorial Guinea,1985,0.23
Equatorial Guinea,1990,0.25
Equatorial Guinea,1995,0.26
Equatorial Guinea,2000,0.31
Equatorial Guinea,2005,0.33
Equatorial Guinea,2007,0.36
Equatorial Guinea,2010,0.37
Equatorial Guinea,2015,0.40
Eritrea,1950,0.05
Eritrea,1955,0.05
Eritrea,1960,0.06
Eritrea,1965,0.09
Eritrea,1970,0.11
Eritrea,1975,0.13
Eritrea,1980,0.14
Eritrea,1985,0.14
Eritrea,1990,0.15
Eritrea,1995,0.16
Eritrea,2000,0.18
Eritrea,2005,0.20
Eritrea,2007,0.22
Eritrea,2010,0.23
Eritrea,2015,0.26
Estonia,1980,0.54
Estonia,1985,0.55
Estonia,1990,0.53
Estonia,1995,0.51
Estonia,2000,0.56
Estonia,2005,0.63
Estonia,2007,0.65
Estonia,2010,0.65
Estonia,2015,0.73
Ethiopia,1870,0.02
Ethiopia,1880,0.02
Ethiopia,1890,0.02
Ethiopia,1900,0.02
Ethiopia,1913,0.02
Ethiopia,1925,0.02
Ethiopia,1929,0.03
Ethiopia,1933,0.03
Ethiopia,1938,0.03
Ethiopia,1950,0.04
Ethiopia,1955,0.04
Ethiopia,1960,0.05
Ethiopia,1965,0.06
Ethiopia,1970,0.08
Ethiopia,1975,0.09
Ethiopia,1980,0.12
Ethiopia,1985,0.12
Ethiopia,1990,0.13
Ethiopia,1995,0.13
Ethiopia,2000,0.15
Ethiopia,2005,0.18
Ethiopia,2007,0.19
Ethiopia,2010,0.22
Ethiopia,2015,0.26
Finland,1870,0.08
Finland,1880,0.09
Finland,1890,0.12
Finland,1900,0.15
Finland,1913,0.18
Finland,1925,0.25
Finland,1929,0.27
Finland,1933,0.29
Finland,1938,0.32
Finland,1950,0.42
Finland,1955,0.45
Finland,1960,0.47
Finland,1965,0.47
Finland,1970,0.51
Finland,1975,0.53
Finland,1980,0.56
Finland,1985,0.59
Finland,1990,0.62
Finland,1995,0.68
Finland,2000,0.77
Finland,2005,0.80
Finland,2007,0.81
Finland,2010,0.82
Finland,2015,0.84
France,1870,0.19
France,1880,0.21
France,1890,0.24
France,1900,0.26
France,1913,0.28
France,1925,0.30
France,1929,0.33
France,1933,0.35
France,1938,0.36
France,1950,0.41
France,1955,0.45
France,1960,0.49
France,1965,0.50
France,1970,0.53
France,1975,0.55
France,1980,0.57
France,1985,0.59
France,1990,0.62
France,1995,0.67
France,2000,0.72
France,2005,0.74
France,2007,0.77
France,2010,0.79
France,2015,0.82
Gabon,1870,0.03
Gabon,1880,0.03
Gabon,1890,0.03
Gabon,1900,0.03
Gabon,1913,0.04
Gabon,1925,0.04
Gabon,1929,0.04
Gabon,1933,0.04
Gabon,1938,0.05
Gabon,1950,0.09
Gabon,1955,0.12
Gabon,1960,0.15
Gabon,1965,0.18
Gabon,1970,0.21
Gabon,1975,0.24
Gabon,1980,0.28
Gabon,1985,0.33
Gabon,1990,0.34
Gabon,1995,0.36
Gabon,2000,0.34
Gabon,2005,0.36
Gabon,2007,0.38
Gabon,2010,0.38
Gabon,2015,0.40
Gambia,1913,0.03
Gambia,1925,0.03
Gambia,1929,0.03
Gambia,1933,0.03
Gambia,1938,0.04
Gambia,1950,0.06
Gambia,1955,0.06
Gambia,1960,0.06
Gambia,1965,0.08
Gambia,1970,0.09
Gambia,1975,0.10
Gambia,1980,0.13
